00:02.396,2L5
00:02.771,4
00:02.959,3
00:03.146,25+
00:03.428,3+5-
00:03.709,63-
00:03.896,1L4
00:04.271,63
00:04.646,1L4
00:05.021,63
00:05.208,63+
00:05.397,5
00:05.583,1=4
00:05.771,5
00:05.959,3-6
00:06.147,2
00:06.240,5
00:06.334,1
00:06.428,4
00:06.521,2
00:06.614,5
00:06.709,3
00:06.800,6
00:06.895,2L
00:07.628,16
00:07.815,2
00:07.909,5
00:08.005,3
00:08.378,6
00:08.472,2
00:08.566,5
00:08.753,1
00:08.847,5
00:08.941,2
00:09.128,16
00:09.316,4
00:09.410,2+
00:09.598,62-
00:09.693,3
00:09.785,5
00:09.879,2
00:09.972,4
00:10.065,1
00:10.253,6
00:10.347,2
00:10.441,5
00:10.629,16
00:10.815,3
00:10.911,4+
00:11.097,24-
00:11.191,5
00:11.286,3
00:11.379,6
00:11.566,2
00:11.660,5
00:11.847,1
00:11.940,4
00:12.035,2
00:12.129,5
00:12.222,3
00:12.315,6
00:12.504,25
00:12.692,1
00:12.785,4
00:12.879,1L
00:13.254,2R5R
00:13.629,6U3U
00:14.003,2L5L
00:14.379,1
00:14.472,5
00:14.565,2
00:14.754,6
00:14.847,2
00:14.941,5
00:15.128,16
00:15.317,3
00:15.411,5+
00:15.597,15-
00:15.691,4
00:15.785,2
00:15.879,5
00:15.973,3
00:16.066,6
00:16.253,1
00:16.348,5
00:16.441,2
00:16.629,16
00:16.816,4
00:16.911,3+
00:17.099,3-5
00:17.191,1
00:17.285,6
00:17.380,3
00:17.566,5
00:17.660,2
00:17.848,6
00:17.942,3
00:18.035,5
00:18.129,2
00:18.224,4
00:18.317,1
00:18.504,25
00:18.692,1U6U
00:19.067,34
00:19.254,25
00:19.441,1L6U
00:19.816,4
00:20.005,3
00:20.098,5
00:20.192,2
00:20.379,63
00:20.755,25
00:21.130,1+4
00:21.411,1-5
00:21.692,5+
00:22.067,25-
00:22.255,4
00:22.442,3
00:22.629,2+5
00:23.005,2-4
00:23.379,53
00:23.568,2
00:23.754,3
00:23.943,4
00:24.130,15+
00:24.504,35-
00:24.692,2
00:24.879,16
00:25.254,5
00:25.442,2R5
00:25.630,6
00:26.005,6
00:26.192,2+
00:26.380,5
00:26.567,2-5
00:26.755,4
00:26.943,3
00:27.129,25
00:27.317,4
00:27.505,3
00:27.692,6+
00:27.879,1
00:28.067,16-
00:28.254,5
00:28.442,4
00:28.630,3+
00:29.006,63-
00:29.193,2+
00:29.380,5
00:29.567,2-5
00:29.755,3
00:29.942,4
00:30.129,25
00:30.411,34
00:30.691,16
00:31.067,25
00:31.254,16
00:31.443,25
00:31.631,34
00:31.817,25
00:32.004,1
00:32.098,4
00:32.193,2
00:32.287,5
00:32.379,3
00:32.755,25
00:33.131,1+4
00:33.412,1-5
00:33.693,4
00:33.881,5+3
00:34.255,25-
00:34.442,4
00:34.630,3
00:34.818,2
00:35.006,63
00:35.193,5
00:35.380,24
00:35.568,3
00:35.756,4
00:35.942,3
00:36.131,25
00:36.411,16
00:36.693,2+5+
00:37.068,2-5-
00:37.443,25
00:37.630,1L6U
00:38.005,4
00:38.193,2+
00:38.381,5
00:38.568,2-5
00:38.756,4
00:38.943,3
00:39.131,62+
00:39.318,2-5
00:39.412,3
00:39.505,4
00:39.693,5
00:39.880,6+3
00:40.256,16-
00:40.443,4
00:40.631,2+5
00:40.819,2-4
00:40.911,3
00:41.005,5
00:41.193,6
00:41.381,2L5L
00:41.662,14
00:41.943,24
00:42.131,2R5R
00:42.411,63
00:42.692,35
00:42.881,2
00:42.975,5
00:43.162,1
00:43.256,4
00:43.443,25
00:43.631,1
00:43.723,4
00:43.818,2
00:43.912,5
00:44.006,3
00:44.193,4
00:44.381,3+5
00:44.755,6+3-
00:44.945,1
00:45.131,6-2+
00:45.506,2-5
00:45.881,1+6
00:46.068,6
00:46.443,1-4
00:46.631,25
00:47.006,4
00:47.193,3
00:47.381,25+
00:47.756,25-
00:47.943,3
00:48.131,2+4
00:48.506,2-5
00:48.694,16+
00:49.069,6-3
00:49.256,5
00:49.443,24
00:49.818,3
00:50.006,4
00:50.193,1+5
00:50.569,2-5
00:50.756,4
00:50.944,3+
00:51.131,5
00:51.319,5
00:51.506,1-6
00:51.693,6+
00:51.881,1
00:52.070,25-
00:52.256,3
00:52.443,4
00:52.632,5+
00:52.818,3
00:53.005,6-2
00:53.382,15
00:53.663,24
00:53.945,35
00:54.130,62
00:54.412,35
00:54.693,24
00:54.881,15
00:55.162,24
00:55.446,35
00:55.631,62
00:55.912,35
00:56.194,24
00:56.381,16
00:56.569,25
00:56.756,16
00:56.943,25
00:57.131,1
00:57.225,6
00:57.319,2
00:57.412,5
00:57.506,3
00:57.600,4
00:57.694,2
00:57.787,5
00:59.007,2U5U
00:59.382,34
00:59.756,16+
01:00.132,6-2+
01:00.319,5
01:00.506,2-4
01:00.694,5+
01:00.882,3
01:01.069,5-3
01:01.256,2
01:01.443,1+
01:01.631,4
01:01.819,5
01:02.007,1-4
01:02.195,2+5
01:02.381,6
01:02.569,2-5
01:02.757,14
01:02.944,1
01:03.132,24
01:03.320,5
01:03.507,63
01:03.694,6
01:03.882,2
01:03.976,5
01:04.069,2
01:04.256,1
01:04.350,4
01:04.444,1
01:04.632,5
01:04.725,2
01:04.820,5
01:05.007,6
01:05.101,3
01:05.194,6
01:05.381,2L5
01:05.569,5
01:05.757,4
01:05.944,3
01:06.132,2L5
01:06.320,4
01:06.507,3
01:06.694,2+
01:06.881,2-5R
01:07.069,2
01:07.257,3
01:07.444,4
01:07.632,25R
01:07.820,3
01:07.914,4
01:08.007,2
01:08.194,5
01:08.382,1U6
01:08.570,5
01:08.757,24
01:08.944,5
01:09.132,52R
01:09.320,3
01:09.507,4
01:09.694,3
01:09.882,2
01:09.976,4
01:10.069,2
01:10.257,15
01:10.444,24
01:10.632,5
01:10.726,2
01:10.913,6
01:11.007,3
01:11.194,25
01:11.382,1L
01:11.569,4
01:11.757,24
01:11.944,5
01:12.132,16
01:12.320,2
01:12.413,5
01:12.508,3
01:12.601,5
01:12.694,2
01:12.882,1L
01:13.070,5
01:13.257,53
01:13.445,2
01:13.632,16
01:13.820,5
01:13.913,2
01:14.008,4
01:14.101,2
01:14.195,5
01:14.382,1L
01:14.569,4
01:14.758,24
01:14.945,5
01:15.132,16
01:15.320,2
