0:0:3.687,24
0:0:4.143,13
0:0:4.597,23
0:0:5.052,14
0:0:5.507,1U4U
0:0:7.328,2
0:0:7.669,3
0:0:8.008,1L4R
0:0:9.146,2+3+
0:0:9.829,2-3-
0:0:10.056,23
0:0:10.965,1+4+
0:0:11.637,1-4-
0:0:11.865,14
0:0:12.774,1U4U
0:0:13.457,23
0:0:13.913,14
0:0:14.366,1U4U
0:0:15.489,1R
0:0:15.829,1R
0:0:16.404,14
0:0:16.854,23
0:0:17.309,14
0:0:17.747,23
0:0:18.215,1L4R
0:0:20.028,4+1+
0:0:20.718,2-3-
0:0:20.935,2+3+
0:0:23.219,1-4-
0:0:24.129,1R4L
0:0:25.039,1R4L
0:0:25.949,1R4L
0:0:26.632,14
0:0:26.859,14
0:0:27.314,1+4+
0:0:28.679,1-4-
0:0:29.136,1+3+
0:0:29.477,4-2-
0:0:29.816,14
0:0:30.269,4R
0:0:30.498,1L
0:0:30.952,23
0:0:31.407,14
0:0:31.862,23
0:0:32.316,14
0:0:32.770,1+4+
0:0:33.113,1-4-
0:0:33.453,1L4L
0:0:34.589,4L
0:0:35.499,4
0:0:35.955,4
0:0:36.408,3
0:0:36.863,2
0:0:37.316,14
0:0:37.771,2
0:0:38.225,2L3U
0:0:39.133,14
0:0:39.588,14
0:0:40.042,2
0:0:40.498,3
0:0:40.954,2R4R
0:0:41.408,3
0:0:41.863,2+4+
0:0:42.322,1-3-
0:0:42.771,1+3+
0:0:43.218,1-3-
0:0:43.670,1+3+
0:0:44.126,2-4-
0:0:44.574,2+4+
0:0:45.028,2-4-
0:0:45.486,1+4+
0:0:46.618,3-2-
0:0:47.083,2+3+
0:0:47.770,1U4U
0:0:49.136,1+4+
0:0:49.478,1-4-
0:0:49.819,1+4+
0:0:50.727,1-4-
0:0:50.954,3
0:0:51.296,2
0:0:51.627,3
0:0:52.759,1+4+
0:0:53.100,1-4-
0:0:53.441,4+1+
0:0:54.351,1-4-
0:0:54.579,2
0:0:54.919,3
0:0:55.262,2
0:0:56.400,14
0:0:56.854,3
0:0:57.310,2
0:0:57.765,14
0:0:58.221,23
0:0:58.676,23
0:0:59.131,1+4+
0:0:59.472,4-1-
0:0:59.814,1U4U
0:1:0.497,1+4+
0:1:1.290,2-3-
0:1:1.630,23
0:1:3.675,2
0:1:4.016,3
0:1:4.357,1+4+
0:1:5.268,1R4L
0:1:6.178,3R
0:1:6.633,2
0:1:6.861,3
0:1:7.315,2
0:1:7.657,3
0:1:7.998,1+4+
0:1:8.909,1R4L
0:1:9.815,3R
0:1:10.256,2
0:1:10.492,2
0:1:10.949,3+1+
0:1:12.308,4-2-
0:1:12.764,2+4+
0:1:14.138,1-3-
0:1:14.593,1+4+
0:1:15.201,2=3=
0:1:15.730,1-4-
0:1:16.185,1R4L
0:1:16.866,2U3U
0:1:17.323,2U3U
0:1:17.776,2U3U
0:1:18.232,2+3+
0:1:18.686,1-4-
0:1:19.139,2+3+
0:1:19.591,1-4-
0:1:20.046,1+4+
0:1:20.500,2-3-
0:1:20.956,2+3+
0:1:23.230,1-4-
0:1:23.685,23
0:1:24.026,14
0:1:24.366,1U4U
0:1:25.504,2U
0:1:25.957,3
0:1:26.413,14
0:1:26.867,14
0:1:27.324,3U
0:1:27.776,2
0:1:28.232,14
0:1:28.686,14
0:1:29.139,13
0:1:29.594,24
0:1:30.049,23
0:1:30.500,2U3U
0:1:30.950,1+4+
0:1:32.316,1-4-
0:1:32.772,3
0:1:33.226,2
0:1:33.682,14
0:1:34.137,2
0:1:34.592,3
0:1:35.046,2U
0:1:35.498,2
0:1:35.960,3U
0:1:36.403,1+4+
0:1:36.742,1-4-
0:1:37.321,2+3+
0:1:37.651,2-3-
0:1:38.217,1+4+
0:1:38.563,1-4-
0:1:38.900,1U4U
0:1:40.044,1!
0:1:47.329,1U4U
0:1:48.011,23
0:1:48.466,14
0:1:48.923,1U4U
0:1:50.058,14
0:1:50.399,14
0:1:50.969,23
0:1:51.423,14
0:1:51.876,23
0:1:52.332,14
0:1:52.786,13
0:1:53.241,13
0:1:53.696,24
0:1:54.149,24
0:1:54.605,1+4+
0:1:55.285,2-3-
0:1:55.512,2+3+
0:1:56.651,1-4-
0:1:57.332,1U
0:1:57.672,1U
0:1:58.239,14
0:1:58.695,23
0:1:59.155,14
0:1:59.602,23
0:2:0.052,1L4R
0:2:1.862,1L4R
0:2:2.310,23
0:2:2.775,2+3+
0:2:3.454,1-4-
0:2:4.133,14
0:2:4.583,1+4+
0:2:5.268,1-4-
0:2:5.959,23
0:2:6.420,1+4+
0:2:7.104,1-4-
0:2:7.331,2+3+
0:2:8.013,2-3-
0:2:8.239,1+4+
0:2:8.923,1-4-
0:2:9.606,4+2+
0:2:13.240,1U3U
