0:0:2.306,1U
0:0:3.639,3R
0:0:4.975,2U
0:0:6.311,4R
0:0:7.634,4U
0:0:8.958,2L
0:0:10.293,3U
0:0:11.627,1L
0:0:12.295,2
0:0:12.629,3
0:0:12.963,4
0:0:13.296,4
0:0:13.629,4
0:0:13.963,4
0:0:14.297,3
0:0:14.631,3
0:0:14.964,3
0:0:15.298,3
0:0:15.628,2
0:0:15.960,2
0:0:16.294,2
0:0:16.627,2L
0:0:17.629,2
0:0:17.963,3
0:0:18.296,2+3+
0:0:20.293,1-4-
0:0:20.966,2R
0:0:21.467,2R
0:0:21.984,2R
0:0:22.318,3U
0:0:23.987,4
0:0:24.654,3
0:0:25.322,2
0:0:25.990,1
0:0:26.658,24
0:0:27.325,13
0:0:27.993,24
0:0:28.674,13
0:0:29.318,4
0:0:29.984,3
0:0:30.651,2
0:0:31.317,1
0:0:31.666,1R4L
0:0:32.001,3
0:0:32.331,2
0:0:32.824,1L
0:0:33.163,1L
0:0:33.498,1L
0:0:34.662,1
0:0:35.326,2
0:0:35.993,3
0:0:36.665,4
0:0:37.333,3
0:0:37.992,2
0:0:38.660,1
0:0:39.325,2
0:0:39.992,3
0:0:40.640,4
0:0:41.307,3
0:0:41.973,4
0:0:42.303,4+
0:0:43.946,4-
0:0:44.613,4
0:0:44.950,2+4+
0:0:47.300,1-4-
0:0:47.634,1+4+
0:0:49.303,4-2-
0:0:49.986,3
0:0:50.320,3+
0:0:52.656,4-
0:0:52.990,1U
0:0:53.323,2R
0:0:53.657,1L
0:0:54.324,2
0:0:54.641,3
0:0:54.972,4
0:0:55.306,3
0:0:55.640,1+3R
0:0:56.308,3R
0:0:56.974,4L
0:0:57.642,2=4L
0:0:58.311,3R
0:0:58.978,1=3R
0:0:59.645,4L
0:1:0.313,2-4L
0:1:0.964,1+3R
0:1:1.623,3R
0:1:2.283,4L
0:1:2.946,2=4L
0:1:3.614,3R
0:1:4.282,1=3R
0:1:4.946,4L
0:1:5.612,2-4L
0:1:6.280,1+3R
0:1:6.967,3R
0:1:7.631,4L
0:1:8.299,2=4L
0:1:8.949,3R
0:1:9.023,1=3R
0:1:9.617,2-4R
0:1:9.951,4
0:1:10.118,2U
0:1:10.952,1L
0:1:11.625,1+4
0:1:11.966,4
0:1:12.310,4
0:1:12.624,1-4
0:1:12.964,14+
0:1:13.302,1
0:1:13.636,1
0:1:13.970,14-
0:1:14.304,1+4
0:1:14.637,4
0:1:14.971,4
0:1:15.305,1-4
0:1:15.628,3
0:1:15.954,2
0:1:16.288,14
0:1:16.623,2+3+
0:1:18.285,1-4-
0:1:18.967,1L
0:1:19.637,1+4+
0:1:20.956,2-3-
0:1:21.612,2
0:1:21.944,3
0:1:22.278,4+
0:1:22.611,4-
0:1:22.946,3
0:1:23.280,2
0:1:23.614,1+
0:1:23.947,1-
0:1:24.281,2
0:1:24.615,3
0:1:24.948,4
0:1:25.282,3
0:1:25.616,2
0:1:25.950,1L
0:1:26.951,3
0:1:27.285,2
0:1:27.619,1+
0:1:27.952,1-
0:1:28.286,2
0:1:28.620,3
0:1:28.954,2+
0:1:29.287,2-
0:1:29.622,3
0:1:29.955,4
0:1:30.289,1R
0:1:30.623,2
0:1:30.957,3
0:1:31.290,4
0:1:32.292,3
0:1:32.626,4
0:1:32.973,3+
0:1:33.294,3-
0:1:33.628,2
0:1:33.961,1
0:1:34.292,1R
0:1:34.625,2
0:1:34.959,3
0:1:35.293,4
0:1:35.626,4
0:1:35.961,3
0:1:36.294,2
0:1:36.627,1L
0:1:37.637,2
0:1:37.966,3
0:1:38.299,4+
0:1:39.303,3-
0:1:40.309,3
0:1:40.643,2
0:1:40.974,1+
0:1:41.974,2-
0:1:42.308,1L
0:1:42.642,2
0:1:42.975,3
0:1:43.309,4
0:1:43.642,1!
0:1:48.978,4U1R
0:1:50.135,1U4L
0:1:51.619,1+4+
0:1:52.787,3-2U
0:1:53.635,2
0:1:53.968,3
0:1:54.303,4+
0:1:54.636,4-
0:1:54.969,3
0:1:55.303,2
0:1:55.637,1+
0:1:55.970,1-
0:1:56.303,2
0:1:56.636,3
0:1:56.969,4
0:1:57.298,3
0:1:57.615,2
0:1:57.948,1L
0:1:58.951,3
0:1:59.284,2
0:1:59.618,1+
0:1:59.951,1-
0:2:0.286,2
0:2:0.619,3
0:2:0.953,2+
0:2:1.287,2-
0:2:1.621,3
0:2:1.955,4
0:2:2.288,1R4
0:2:2.621,3
0:2:2.956,2
0:2:3.289,14
0:2:4.290,3
0:2:4.629,4
0:2:4.968,3+
0:2:5.308,3-
0:2:5.643,2
0:2:5.975,1
0:2:6.311,1R
0:2:6.645,2
0:2:6.978,3
0:2:7.312,4
0:2:7.646,4
0:2:7.979,3
0:2:8.313,2
0:2:8.646,1L
0:2:9.647,3
0:2:9.977,2
0:2:10.311,1+
0:2:11.293,2-
0:2:12.295,3
0:2:12.628,2
0:2:12.962,1+4+
0:2:13.964,1-4-
0:2:14.298,1U
0:2:14.632,2
0:2:14.965,3
0:2:15.298,4
0:2:15.632,1+
0:2:17.959,2-
0:2:19.474,23
0:2:19.799,14
0:2:20.124,23
0:2:20.458,14
0:2:20.792,23
