0:0:2.084,1U
0:0:3.420,5R
0:0:4.755,2U
0:0:6.087,6R
0:0:7.455,5U
0:0:8.785,2L
0:0:10.122,4U
0:0:11.455,1L
0:0:12.120,4
0:0:12.437,3
0:0:12.770,2+4
0:0:13.104,5
0:0:13.267,2-6+
0:0:13.435,3
0:0:13.761,1+6-
0:0:14.095,1-4+
0:0:14.429,2
0:0:14.596,1+4-
0:0:14.763,5
0:0:15.096,1-4
0:0:15.430,26+
0:0:15.764,1
0:0:16.098,2
0:0:16.431,6-1L
0:0:16.782,25
0:0:16.949,4
0:0:17.116,3
0:0:17.283,4
0:0:17.450,3
0:0:17.616,2
0:0:17.783,16
0:0:18.117,25+
0:0:18.283,1
0:0:18.609,2+5-
0:0:18.776,4
0:0:19.110,2-6+
0:0:19.294,1
0:0:19.637,36-
0:0:19.799,4
0:0:19.961,25
0:0:20.123,1
0:0:20.222,6
0:0:20.333,3
0:0:20.445,4
0:0:20.559,1
0:0:20.661,5
0:0:20.762,2+
0:0:20.940,6
0:0:21.113,2-5
0:0:21.279,1+4+
0:0:21.446,4-
0:0:21.613,5
0:0:21.780,1-6
0:0:21.947,2
0:0:22.114,5U
0:0:23.448,25
0:0:23.782,16
0:0:24.116,3
0:0:24.283,4
0:0:24.449,25
0:0:24.616,4
0:0:24.947,3
0:0:25.109,25
0:0:25.244,3
0:0:25.411,4
0:0:25.601,3
0:0:25.762,16
0:0:26.093,25
0:0:26.446,16
0:0:26.613,3
0:0:26.746,4
0:0:26.913,3
0:0:27.080,25
0:0:27.247,3
0:0:27.615,4
0:0:27.781,25
0:0:27.931,4
0:0:28.094,3
0:0:28.244,4
0:0:28.409,16
0:0:28.659,4
0:0:28.739,3
0:0:29.070,16
0:0:29.401,3
0:0:29.568,4
0:0:29.735,25
0:0:29.902,4
0:0:30.236,3
0:0:30.402,25
0:0:30.579,3
0:0:30.737,4
0:0:30.904,3
0:0:31.070,16
0:0:31.404,2R5L
0:0:31.571,3
0:0:31.738,16
0:0:32.073,5
0:0:32.168,2
0:0:32.253,5
0:0:32.337,3
0:0:32.418,5
0:0:32.585,2L5U
0:0:32.918,2L5U
0:0:33.250,2L5U
0:0:33.593,4
0:0:33.752,3
0:0:34.095,2+5
0:0:34.429,4
0:0:34.598,2-5+
0:0:34.947,1
0:0:35.097,15-
0:0:35.431,5+
0:0:35.598,3
0:0:35.765,3
0:0:35.932,2+5-
0:0:36.243,6
0:0:36.409,2-6
0:0:36.743,1+4
0:0:37.077,1-5+
0:0:37.413,3+5-
0:0:37.594,6
0:0:37.761,3-6
0:0:37.928,2+
0:0:38.095,4
0:0:38.263,5
0:0:38.429,2-6
0:0:38.763,3
0:0:38.930,4
0:0:39.097,2+5
0:0:39.431,2-6+
0:0:39.764,1
0:0:39.931,1+6-
0:0:40.252,4
0:0:40.415,1-4
0:0:40.748,2+
0:0:40.915,5
0:0:41.082,2-5
0:0:41.250,1+
0:0:41.584,6
0:0:41.766,1-6
0:0:42.100,25+
0:0:42.434,35-
0:0:42.593,6+
0:0:42.751,2
0:0:42.918,2
0:0:43.085,16-
0:0:43.418,5
0:0:43.602,4
0:0:43.770,3
0:0:44.102,4
0:0:44.270,3
0:0:44.437,2
0:0:44.770,2+5
0:0:45.104,4
0:0:45.271,2-5+
0:0:45.605,1
0:0:45.772,15-
0:0:46.091,5+
0:0:46.272,2
0:0:46.439,25-
0:0:46.600,4+
0:0:46.923,14-
0:0:47.089,1
0:0:47.423,2+4
0:0:47.757,2-5+
0:0:48.090,3+5-
0:0:48.258,6
0:0:48.425,3-6
0:0:48.592,2+
0:0:48.760,4
0:0:48.926,5
0:0:49.092,2-6
0:0:49.443,3
0:0:49.618,4
0:0:49.794,15+
0:0:50.118,2+5-
0:0:50.444,6
0:0:50.620,2-5+
0:0:50.944,1
0:0:51.111,15-
0:0:51.445,2+
0:0:51.612,6
0:0:51.771,2-6
0:0:51.929,1+
0:0:52.263,5
0:0:52.430,1-5+
0:0:52.763,5-1U
0:0:53.097,2R
0:0:53.430,1L
0:0:53.597,5
0:0:53.764,4
0:0:53.931,5R
0:0:54.098,1+
0:0:54.431,1-4
0:0:54.596,5
0:0:54.680,3
0:0:54.763,6+
0:0:54.930,1
0:0:55.096,16-
0:0:55.264,1
0:0:55.430,2+
0:0:55.597,6
0:0:55.764,2-6
0:0:55.930,1+
0:0:56.098,5
0:0:56.415,1-4
0:0:56.589,5
0:0:56.760,26+
0:0:57.091,36-
0:0:57.409,2+6
0:0:57.762,2-5
0:0:58.087,4+
0:0:58.259,1
0:0:58.420,14-
0:0:58.587,5+
0:0:58.747,2
0:0:59.074,35-
0:0:59.237,3
0:0:59.414,2+
0:0:59.750,1-4
0:1:0.080,25+
0:1:0.263,1
0:1:0.426,26-
0:1:0.760,3+
0:1:0.919,6
0:1:1.090,3-6
0:1:1.257,1+
0:1:1.408,5
0:1:1.762,1-4
0:1:1.903,5
0:1:2.070,6+2
0:1:2.414,6-3
0:1:2.742,62+
0:1:3.089,2-5
0:1:3.404,4+
0:1:3.578,1
0:1:3.754,2+4-
0:1:4.088,2-5+
0:1:4.414,15-
0:1:4.593,1
0:1:4.767,2+
0:1:5.090,3-5
0:1:5.446,26+
0:1:5.601,3
0:1:5.756,25-
0:1:6.090,3+
0:1:6.255,6
0:1:6.407,3-6
0:1:6.574,1+
0:1:6.741,5
0:1:7.091,1-4
0:1:7.241,5
0:1:7.410,26+
0:1:7.749,36-
0:1:8.087,2+6
0:1:8.414,2-5
0:1:8.591,1
0:1:8.743,2+
0:1:8.909,6
0:1:9.076,2-6
0:1:9.243,1+
0:1:9.411,4
0:1:9.594,1-5
0:1:9.761,6
0:1:9.928,2U
0:1:10.261,5
