00:04.597,14+
0:00:05.19,2
0:00:05.65,3+
0:00:05.80,3-
0:00:05.95,2+6=
0:00:06.44,1-
0:00:07.05,14-
0:00:07.37,5+
0:00:07.52,3+5-
0:00:07.60,5
0:00:07.69,3-
0:00:07.84,3+5
0:00:08.17,6
0:00:08.32,1U6U
0:00:08.47,5
0:00:08.55,2
0:00:08.64,5+
0:00:08.95,2U5-
0:00:09.25,4
0:00:09.44,3
0:00:09.59,2U6U
0:00:09.90,2+
0:00:10.05,5
0:00:10.22,25U
0:00:10.37,1+
0:00:10.69,1-4
0:00:10.84,1U5U
0:00:11.15,5+
0:00:11.30,2
0:00:11.47,2U5-
0:00:11.77,4
0:00:11.94,3
0:00:12.09,2U6U
0:00:12.40,2+
0:00:12.55,5
0:00:12.72,2-5U
0:00:12.87,1
0:00:13.04,6+
0:00:13.10,2+
0:00:13.19,6-
0:00:13.27,2-
0:00:13.34,5+
0:00:13.42,1+
0:00:13.50,5-
0:00:13.57,1-
0:00:13.65,2R6+
0:00:13.97,3U6-
0:00:14.29,3
0:00:14.44,4
0:00:14.59,1U5U
0:00:14.90,2+
0:00:15.05,5+
0:00:15.22,2L5R
0:00:15.37,5
0:00:15.45,2
0:00:15.52,4
0:00:15.69,3
0:00:15.84,25
0:00:16.00,3+4+
0:00:17.09,1-
0:00:17.25,1+6=
0:00:18.32,3-4-\
0:00:18.65,1R
0:00:18.80,6L
0:00:18.97,2
0:00:19.12,5
0:00:19.27,1
0:00:19.44,4
0:00:19.59,2
0:00:19.75,5+
0:00:19.90,3+
0:00:20.05,3-
0:00:20.22,2+
0:00:20.37,2-
0:00:20.54,1+
0:00:20.69,1-
0:00:20.84,2+6-
0:00:20.99,2-
0:00:21.15,5U
0:00:21.30,2U
0:00:21.47,5
0:00:21.77,3+6+
0:00:21.94,6-
0:00:22.09,5+
0:00:22.24,1=5-
0:00:22.39,6+
0:00:22.52,6-
0:00:22.69,5+
0:00:22.84,5-
0:00:22.99,6+
0:00:23.17,6-
0:00:23.32,3-5+
0:00:23.49,5-
0:00:23.65,2R
0:00:23.80,5L
0:00:23.97,3
0:00:24.27,2
0:00:24.57,3
0:00:24.72,4+
0:00:24.89,1+
0:00:25.04,1-
0:00:25.20,3+
0:00:25.35,3-
0:00:25.50,2+
0:00:25.67,2-
0:00:25.82,1+6-
0:00:25.99,1-
0:00:26.14,2+
0:00:26.60,2U5
0:00:27.07,5
0:00:27.22,3+
0:00:27.52,4
0:00:27.69,5+
0:00:27.84,5-
0:00:27.99,1R6
0:00:28.30,3L6+
0:00:28.62,2
0:00:28.94,14-
0:00:29.09,5
0:00:29.17,2
0:00:29.24,4
0:00:29.42,3
0:00:29.55,5
0:00:29.72,16+
0:00:30.02,2+6-
0:00:30.19,5+
0:00:30.34,2-5-
0:00:30.42,5
0:00:30.49,3
0:00:30.65,4
0:00:30.80,2+
0:00:31.12,3-6+
0:00:31.44,15-
0:00:31.60,5
0:00:31.67,2
0:00:31.75,4
0:00:31.90,3
0:00:32.05,5
0:00:32.24,1+4
0:00:32.54,1-5+
0:00:32.69,2+
0:00:32.84,2-5-
0:00:32.92,2
0:00:33.00,5R
0:00:33.15,3
0:00:33.30,5+
0:00:33.62,1+4-
0:00:33.92,2-6
0:00:34.10,2
0:00:34.19,5
0:00:34.25,3
0:00:34.42,4
0:00:34.57,2
0:00:34.72,36+
0:00:35.04,2+6-
0:00:35.19,5+
0:00:35.35,2-5-
0:00:35.44,5
0:00:35.50,2U
0:00:35.69,5U
0:00:35.84,3
0:00:36.00,2
0:00:36.15,1+4
0:00:36.47,1-6+
0:00:36.62,6-
0:00:36.77,2+5
0:00:36.94,2-
0:00:37.09,4
0:00:37.25,1+
0:00:37.55,4
0:00:37.72,5+
0:00:37.87,5-
0:00:38.02,6+
0:00:38.19,1R6-
0:00:38.25,6
0:00:38.34,3
0:00:38.49,5+
0:00:38.65,2+5-
0:00:38.97,2-5
0:00:39.12,4+
0:00:39.27,14-
0:00:39.44,5
0:00:39.59,24
0:00:39.75,1+
0:00:40.05,6
0:00:40.22,5
0:00:40.37,4
0:00:40.54,3-5
0:00:40.77,34
0:00:41.00,2L
0:00:41.47,1+
0:00:41.62,1-4
0:00:41.77,2+6+
0:00:41.94,2-
0:00:42.09,3+6-
0:00:42.24,3-5+
0:00:42.40,2+5-
0:00:42.57,6
0:00:42.72,2-5
0:00:42.87,4
0:00:43.02,3+
0:00:43.19,3-
0:00:43.34,24+
0:00:43.49,1
0:00:43.65,1+4-
0:00:43.82,5+
0:00:43.97,5-
0:00:44.12,1-6+
0:00:44.44,3
0:00:44.59,2+6-
0:00:44.74,2-5
0:00:44.90,1+
0:00:45.05,6
0:00:45.22,1-5
0:00:45.37,4
0:00:45.52,36
0:00:45.77,25
0:00:46.00,14
0:00:46.15,1R
0:00:47.09,5
0:00:47.25,2+5L
0:00:48.04,1-6+
0:00:48.64,1+5-
0:00:49.57,3-5
0:00:49.74,2
0:00:49.89,6+
0:00:50.22,6-
0:00:50.37,25
0:00:50.69,3L6+
0:00:50.84,6-
0:00:50.99,4
0:00:51.15,2
0:00:51.47,1R4
0:00:51.77,26+
0:00:51.94,6-
0:00:52.09,3L5
0:00:52.24,4+
0:00:52.55,24-
0:00:52.70,1+4R
0:00:52.85,1-
0:00:53.00,2+5
0:00:53.17,2-
0:00:53.32,3+6L
0:00:53.47,3-
0:00:53.62,2+4+
0:00:53.94,5-
0:00:54.09,5
0:00:54.24,6+
0:00:54.40,6-
0:00:54.55,5
0:00:54.72,1R4+
0:00:55.02,2+4-
0:00:55.19,2-
0:00:55.34,5+
0:00:55.42,3
0:00:55.50,5-
0:00:55.65,4
0:00:55.80,35
0:00:55.95,2
0:00:56.12,1+5U
0:00:56.75,3-5+
0:00:57.22,2U6-
0:00:57.54,25
0:00:57.84,2+
0:00:57.92,4
0:00:58.00,2R
0:00:58.15,6
0:00:58.47,2L5
0:00:58.77,6+
0:00:58.94,1+
0:00:59.25,5-
0:00:59.40,6
0:00:59.70,6+
0:01:00.04,3-5-
0:01:00.10,3
0:01:00.20,5
0:01:00.34,4
0:01:00.50,3
0:01:00.59,5
0:01:00.67,2
0:01:00.74,4
0:01:00.82,1+
0:01:01.14,1U6+
0:01:01.45,36-
0:01:01.60,2
0:01:01.75,1+
0:01:01.92,5+
0:01:02.07,1-5-
0:01:02.24,6+
0:01:02.55,26-
0:01:02.72,1+
0:01:02.87,5+
0:01:03.04,1-5-
0:01:03.19,3+6+
0:01:03.34,3U6U
