00:03.569,1L2L
00:04.114,2
00:04.295,1
00:04.387,2
00:04.569,1
00:04.660,2
00:04.842,1
00:05.114,2
00:05.205,1
00:05.387,2
00:05.478,1
00:05.660,12
00:06.296,1
00:06.478,2
00:06.570,1
00:06.751,2
00:06.842,1
00:07.024,2
00:07.296,12
00:07.570,12
00:07.842,1R2
00:08.478,2
00:08.661,1
00:08.752,2
00:08.933,1
00:09.024,2
00:09.205,1
00:09.478,2
00:09.569,1
00:09.751,2
00:09.842,1
00:10.023,12
00:10.842,1
00:11.024,1
00:11.205,1
00:11.387,2
00:11.569,2
00:11.752,1U2U
00:13.115,1
00:13.388,1
00:13.660,1
00:13.933,2
00:14.115,1
00:14.206,2
00:14.388,1
00:15.298,2
00:15.570,2
00:15.843,2
00:16.116,1
00:16.298,2
00:16.388,1
00:16.570,2
00:17.479,1
00:17.752,1
00:18.025,1
00:18.297,2
00:18.479,1+
00:18.751,1-2
00:19.297,1+
00:19.570,1-2
00:19.661,1
00:19.842,2
00:19.933,1
00:20.116,2
00:20.207,1
00:20.479,12
00:20.661,12
00:20.933,1L2R
00:21.843,1
00:22.116,1
00:22.389,1
00:22.660,2
00:22.842,1
00:22.934,2
00:23.116,1+
00:23.388,1-2
00:23.480,1
00:23.751,2
00:24.025,2
00:24.298,2
00:24.570,2
00:24.843,1+
00:25.298,1-2
00:25.934,1
00:26.207,1
00:26.479,1
00:26.752,1
00:27.025,2
00:27.207,1
00:27.297,2
00:27.480,1
00:28.025,1L2R
00:28.298,1
00:28.389,2
00:28.570,1
00:28.661,2
00:28.844,1
00:28.935,2
00:29.116,1
00:29.207,2
00:29.389,12
00:29.661,1L2R
00:30.298,12
00:30.480,12
00:30.752,1U2
00:31.661,1L2R
00:32.117,1
00:32.207,2
00:32.388,1
00:32.479,2
00:32.662,1
00:32.935,12
00:33.480,2
00:33.571,1+
00:33.844,1-2+
00:34.116,1+2-
00:34.389,1-2
00:34.662,2+
00:35.116,12-
00:36.026,1+
00:36.298,21-
00:36.479,1+
00:36.753,1-2+
00:37.117,2-1
00:37.389,2
00:37.662,1
00:37.935,1+2+
00:39.844,1-2-
00:40.298,1
00:40.479,1
00:40.662,1
00:40.843,2
00:41.025,2
00:41.208,1U2U
00:42.298,1+
00:42.571,1-2
00:42.753,1
00:42.844,2
00:43.026,1
00:43.935,2+
00:44.208,12-
00:44.480,2+
00:44.753,12-
00:44.935,2
00:45.026,1
00:45.207,2
00:45.571,1
00:45.752,2
00:45.844,1
00:46.026,2
00:46.298,12
00:46.662,1
00:46.935,2
00:47.207,1
00:47.481,2
00:47.753,2
00:48.026,1
00:48.299,2
00:48.572,1
00:48.844,1L2
00:49.390,2R1
00:49.844,1U2
00:50.480,1+
00:50.754,1-2
00:51.026,1
00:51.208,2
00:51.299,1
00:51.481,2
00:51.572,1
00:51.754,2
00:52.663,2+
00:52.935,12-
