00:04.051,4L1L
00:04.596,3
00:05.142,2
00:05.687,2
00:06.232,3
00:06.778,1U
00:07.324,4U
00:07.778,1+
00:08.324,1R
00:08.960,3
00:09.506,1U4R
00:10.051,2
00:10.597,3
00:11.323,2+3+
00:11.869,2L3-
00:12.233,1U4U
00:13.324,2+3+
00:13.870,4-1-
00:14.415,2
00:14.869,2R
00:15.506,4+2+
00:16.051,4-2-
00:16.597,1+3+
00:17.051,1-3-
00:17.687,1L
00:18.233,42
00:18.779,13
00:19.234,3R
00:19.779,1+
00:20.688,2-
00:20.960,1+4+
00:21.416,4R1L
00:22.052,4+1+
00:22.597,1-4-
00:23.143,1+3+
00:23.598,4-2-
00:24.234,4R
00:24.779,3
00:25.325,1L
00:25.779,2
00:26.415,1+
00:26.962,42-
00:27.507,4+
00:27.961,13-
00:28.507,1+4+
00:29.416,4-1-
00:29.688,1+4+
00:30.142,4L1-
00:30.779,2+3+
00:31.234,2U3-
00:32.143,2+3+
00:33.416,1-4-
00:34.052,2+
00:34.598,1R
00:35.144,3+
00:35.598,4L
00:36.234,1L
00:36.780,4R
00:37.326,2U
00:37.871,3U
00:38.416,4+1+
00:39.536,2=
00:40.326,1-4-
00:40.780,2R
00:41.325,3L
00:41.694,1U4U
00:42.780,4+2+
00:43.327,4-1-
00:43.871,1L
00:44.416,1L
00:44.962,1+3+
00:45.508,4L2L
00:46.053,2
00:46.598,3
00:47.144,2+
00:47.690,1-4
00:48.235,2
00:48.781,3
00:49.325,2L
00:49.872,3R
00:50.325,2U
00:51.508,1+
00:52.054,1-3
00:52.599,4+2+
00:53.145,4-2-
00:53.689,4+2+
00:54.235,1-3-
00:54.780,2
00:54.962,3
00:55.235,14
00:55.871,4L
00:56.417,1R
00:56.962,4L
00:57.508,1R
00:57.963,2+3+
00:59.054,4-1-
00:59.417,2R
01:00.235,1
01:00.690,1
01:01.054,1
01:01.326,4
01:01.780,4
01:02.144,4
01:02.417,13
01:02.872,13
01:03.235,13
01:03.509,42
01:03.963,42
01:04.327,42
01:04.599,4+2+
01:05.432,1=
01:06.145,4-2-
01:06.781,2+3+
01:07.327,1-4-
01:07.873,4+1+
01:08.327,1-4-
01:08.963,1L
01:09.510,42
01:10.055,13
01:10.509,3R
01:11.055,1+
01:11.963,2-
01:12.236,1+4+
01:12.691,4R1L
01:13.327,4+1+
01:13.874,1-4-
01:14.419,3+
01:14.872,4U
01:15.509,2+
01:17.055,1-3L
01:17.691,1+
01:18.237,2-
01:18.783,4+
01:19.237,3-
01:19.874,4R1L
01:20.964,1+4+
01:21.418,4L1-
01:22.056,2+3+
01:22.510,2U3-
01:23.418,2+3+
01:24.692,1-4-
01:25.328,1L
01:25.874,1R
01:26.419,4R2R
01:26.873,1L3L
01:27.510,1L
01:28.056,4R
01:28.600,2U
01:29.147,3U
01:29.692,1+3+
01:30.237,1L3-
01:30.783,4+2+
01:31.328,4R2-
01:32.056,2R
01:32.600,3L
01:32.965,1U4U
01:34.055,1+3+
01:34.601,1-4-
01:35.147,4R
01:35.693,4R
01:36.237,1+3+
01:36.783,4L2L
01:37.328,2
01:37.874,3
01:38.419,2+
01:38.965,1-4
01:39.510,2
01:40.056,3
01:40.603,2U
01:41.147,2U
01:41.601,1L
01:42.784,2
01:43.329,3
01:43.874,1+4+
01:44.420,4-1-
01:44.965,3
01:45.510,2
01:46.056,4+1+
01:46.511,1-4-
01:47.147,2+3+
01:47.692,1R4L
01:48.238,2+3+
01:48.784,1R4L
01:49.328,2L
01:49.875,3R
01:50.329,2U
01:51.776,(2.5)
01:55.875,4L
01:56.421,1R
01:56.965,4L
01:57.512,1R
01:57.966,2+3+
01:59.058,1-4-
01:59.421,2R
02:00.239,3+
02:01.784,4-
02:02.421,1U
02:02.966,4U
02:03.422,1+4+
02:03.966,1R4-
02:04.603,3
02:05.149,1U4R
02:05.694,2
02:06.239,3
02:06.966,2+3+
02:07.513,2L3-
02:07.876,4U1U
