00:02.872,6
00:02.963,3
00:03.055,5
00:03.145,2
00:03.236,4
00:03.327,1
00:03.417,6+
00:03.599,6-3
00:03.690,5+
00:03.871,25-
00:03.962,4+
00:04.145,14-
00:04.418,5
00:04.509,2+
00:04.690,2-4
00:04.781,1+
00:04.962,1-6+
00:05.236,6-2
00:05.327,5
00:05.599,1+
00:05.780,1-4
00:05.872,2+
00:06.053,2-5
00:06.144,3+
00:06.327,63-
00:06.599,25
00:06.872,16
00:07.145,2R5
00:07.418,4
00:07.510,3
00:07.781,6+
00:07.963,6-3
00:08.055,5+
00:08.236,25-
00:08.327,4+
00:08.508,14-
00:08.781,5
00:08.872,2+
00:09.054,2-4
00:09.145,1+
00:09.327,1-6+
00:09.599,6-2
00:09.691,5
00:09.782,3
00:09.872,4
00:09.964,2
00:10.145,16
00:10.328,25
00:10.511,34
00:10.690,34
00:10.873,25
00:11.055,1U6U
00:12.146,16
00:12.418,2
00:12.600,5
00:12.691,3
00:12.964,4
00:13.236,25
00:13.418,3
00:13.508,4
00:13.691,2+
00:14.054,2-5
00:14.328,16
00:14.600,5
00:14.782,2
00:14.873,4
00:15.146,3
00:15.418,25
00:15.600,4
00:15.691,3
00:15.873,5+
00:16.237,25-
00:16.509,16
00:16.782,2
00:16.964,5
00:17.055,3
00:17.327,4
00:17.600,5
00:17.782,3+
00:18.055,63-
00:18.418,25
00:18.600,1+
00:18.691,4
00:18.873,1-4
00:18.964,1
00:19.146,5
00:19.236,2
00:19.419,6
00:19.509,3
00:19.782,25
00:19.964,25
00:20.236,1L6R
00:20.873,25
00:21.147,16
00:21.328,2
00:21.419,5
00:21.600,3
00:21.691,4
00:21.963,25
00:22.146,3
00:22.237,4
00:22.419,2+
00:22.510,5
00:22.692,2-5
00:22.783,2
00:23.055,16
00:23.327,25
00:23.509,3
00:23.601,4
00:23.782,2
00:23.873,5
00:24.146,1+6
00:24.419,5
00:24.600,1-5
00:24.692,2
00:24.873,4
00:24.965,3
00:25.237,25
00:25.509,34
00:25.692,5
00:25.783,2
00:25.964,4
00:26.055,3
00:26.328,25
00:26.510,3
00:26.600,4
00:26.783,2
00:26.874,5
00:27.055,3
00:27.146,4
00:27.328,2L5R
00:27.601,1
00:27.691,6
00:27.874,2
00:27.964,5
00:28.146,3
00:28.237,4
00:28.419,2
00:28.510,5
00:28.692,25
00:28.964,1L6R
00:29.328,34
00:29.602,16
00:29.783,16
00:30.055,2U5
00:30.237,4
00:30.328,3
00:30.419,5
00:30.510,2
00:30.600,6
00:30.964,1L6R
00:31.419,2
00:31.510,4
00:31.692,3
00:31.782,5+
00:31.965,25-
00:32.055,5
00:32.237,16+
00:32.511,6-2
00:32.601,6
00:32.783,3
00:32.873,5+
00:33.147,2+5-
00:33.329,2-4
00:33.420,1+
00:33.601,1-5
00:33.692,2
00:33.965,6+3
00:34.238,6-2
00:34.420,6
