00:00.706,1U2U
00:01.248,2+
00:01.698,12-
00:01.789,2
00:02.058,12
00:02.598,2
00:02.869,1L2R
00:03.410,1+
00:03.860,1-2
00:03.950,1
00:04.220,12
00:04.762,1
00:05.031,1L2R
00:05.572,2+
00:06.022,12-
00:06.113,2
00:06.382,12
00:06.924,2
00:07.194,1L2L
00:07.734,1+
00:08.185,1-2
00:08.274,1
00:08.546,12
00:08.996,2
00:09.086,1
00:09.356,1U2U
00:09.897,1+
00:10.347,1-2
00:10.437,1
00:10.708,12
00:11.159,2
00:11.248,1
00:11.519,1U2U
00:12.060,2+
00:12.509,12-
00:12.600,2
00:12.870,12
00:13.321,1
00:13.411,2
00:13.680,1L2R
00:14.221,1+
00:14.672,1-2
00:14.762,1
00:15.032,12
00:15.483,2
00:15.573,1
00:15.843,2R1R
00:16.384,2+
00:16.835,12-
00:16.924,2
00:17.195,12
00:17.629,1
00:17.719,2
00:17.988,1L2L
00:18.531,1U2U
00:18.980,2
00:19.070,1
00:19.339,1L2R
00:19.882,1
00:20.152,12
00:20.421,1+
00:21.788,2S-
00:22.059,2
00:22.511,12
00:22.870,1+2+
00:23.411,1-2-
00:23.952,1+
00:24.222,1-2
00:24.672,1
00:24.763,2
00:25.034,1+2+
00:25.574,1-2-
00:26.098,2+
00:26.369,12-
00:26.819,2
00:26.909,1
00:27.179,1+2+
00:27.720,1-2-
00:28.170,1R
00:28.532,1R
00:28.981,1
00:29.071,2
00:29.341,1+2+
00:29.881,1-2-
00:30.332,1+2+
00:30.693,1R2-
00:31.234,12
00:31.503,1+
00:32.044,2S-
00:32.314,2+
00:32.855,1DR
00:33.396,1+2+
00:33.666,1U2U
00:34.207,1U2U
00:34.747,1R2R
00:35.287,1L2L
00:35.558,1+2+
00:36.639,1U2U
00:37.720,1
00:37.990,12
00:38.531,12
00:39.072,1L2L
00:40.153,1+
00:40.694,1-2
00:40.964,1+
00:41.505,1-2
00:41.774,1+
00:42.045,2+
00:43.397,1-2-
00:43.936,1
00:44.207,2
00:44.477,2+
00:44.928,1D-
00:45.288,1+
00:45.829,2S-
00:46.102,2
00:46.370,2+
00:47.731,1D-
00:48.274,2+
00:48.819,12-
00:49.087,1
00:49.360,1
00:49.630,1
00:49.900,12
00:50.171,2
00:50.441,2
00:50.712,2
00:50.980,12
00:51.252,1
00:51.522,1
00:51.793,1
00:52.063,12
00:52.333,2
00:52.604,2
00:52.874,2
00:53.143,1+2
00:53.548,1-2+
00:53.954,1+2-
00:54.495,1-2
00:54.764,12
00:55.035,1+2+
00:55.306,1U2U
00:55.847,1R2L
00:56.393,1+2+
00:56.928,1U2U
00:57.468,2+
00:57.828,1+2-
00:58.279,1L
00:58.819,2
00:59.090,12
00:59.360,1+2+
00:59.900,1-2-
01:00.171,1+2+
01:00.712,1-2-
01:01.253,1R
01:01.794,1+
01:02.198,2+1L
01:02.604,2R
01:03.145,12
01:03.415,2+
01:03.685,1+
01:03.955,1L2R
01:04.766,2L
01:05.037,1+
01:05.577,1R
01:06.118,2+
01:06.523,1+2-
01:06.928,1R
01:07.469,1+
01:07.739,1L
01:08.010,12
01:08.262,1+2+
01:08.669,1-2-
01:09.074,1+2+
01:09.885,1-2-
01:10.156,1+
01:10.425,2+1R
01:10.840,1+2-
01:11.236,1L
01:11.778,1+
01:12.048,1-2+
01:12.319,12-
01:12.591,2+
01:12.993,1+2-
01:13.411,1U
01:14.221,12
01:14.759,1+
01:15.169,1-2+
01:15.576,1L2L
01:16.119,2
01:16.389,1
01:16.659,1+2+
01:17.206,1-2-
01:17.486,1+2+
