00:01.310,2
00:01.459,1
00:01.609,2
00:01.760,1
00:02.192,1
00:02.344,2
00:02.493,1
00:02.643,2
00:03.694,1U2U
00:04.896,1L
00:06.097,1L2R
00:07.887,1+
00:08.187,1-2
00:08.505,2+
00:08.805,12-
00:08.956,2+
00:09.257,1+2-
00:09.557,1-2
00:09.708,1
00:09.858,2
00:10.008,1U
00:10.909,1
00:11.059,2
00:11.209,1
00:11.359,2
00:11.660,12
00:11.960,2+
00:12.261,12-
00:12.410,2
00:12.561,1
00:12.712,2
00:12.862,1
00:13.012,2
00:13.162,1+
00:13.462,1-2
00:13.613,1
00:13.764,2
00:13.913,1
00:14.063,2
00:14.362,1+2+
00:14.663,1-2-
00:14.815,1
00:14.964,2
00:15.114,1L
00:15.716,2
00:15.866,1
00:16.016,2
00:16.165,1
00:16.466,12
00:16.733,1+
00:17.034,1-2
00:17.184,1
00:17.334,2
00:17.484,1
00:17.634,2
00:17.786,1
00:17.935,2+
00:18.234,12-
00:18.385,2
00:18.535,1
00:18.685,2
00:18.835,1
00:18.986,2
00:19.136,1
00:19.286,2
00:19.486,2
00:19.687,1
00:19.887,2
00:20.087,2
00:20.287,1
00:20.488,2
00:20.788,2
00:21.089,1
00:21.389,1
00:21.690,2
00:21.990,2
00:22.291,1
00:22.591,1
00:22.908,2
00:23.210,2
00:23.509,2
00:23.802,2
00:24.105,1
00:24.407,1
00:24.709,1
00:25.015,1
00:25.315,1U2U
00:25.616,2
00:25.916,1L2R
00:26.201,2
00:26.487,1U
00:26.788,2
00:27.089,2
00:27.403,2
00:27.682,12
00:27.983,2
00:28.283,1
00:28.433,2
00:28.583,1
00:28.733,2
00:28.883,1R
00:30.385,12
00:30.685,2
00:30.985,2
00:31.136,1+
00:31.436,1-2
00:31.587,1
00:31.737,2
00:32.037,1+
00:32.338,1-2
00:32.487,1+
00:32.788,1-2
00:33.085,1
00:33.235,2
00:33.535,1+2+
00:34.136,1-2-
00:34.586,12
00:34.887,1+
00:35.188,1-2
00:35.338,1
00:35.638,12
00:35.939,1
00:36.089,2
00:36.389,1R
00:36.689,2
00:36.990,1R
00:37.289,2+
00:37.591,12-
00:37.740,2
00:38.040,12
00:38.341,1
00:38.491,2+
00:38.791,12-
00:39.091,1+
00:39.392,1-2
00:39.692,1U2L
00:40.293,1+
00:40.894,1-2+
