00:01.238,25
00:01.389,4
00:01.539,3
00:01.689,25
00:02.139,25
00:02.273,3
00:02.424,4
00:02.574,25
00:03.624,2U5U
00:04.827,2L
00:06.021,3+6+
00:06.750,1=4=
00:07.538,3-6-
00:07.845,1+
00:08.135,1-6
00:08.438,5+
00:08.742,25-
00:08.889,6+
00:09.206,1+6-
00:09.513,1-5
00:09.671,2
00:09.820,4
00:09.967,3U
00:10.855,3
00:11.006,5
00:11.156,2
00:11.307,4
00:11.607,16
00:11.907,5+
00:12.190,25-
00:12.357,4
00:12.508,1
00:12.658,5
00:12.808,2
00:12.959,4
00:13.109,3+
00:13.409,3-5
00:13.561,2
00:13.709,6
00:13.860,3
00:14.008,5
00:14.309,2+6+
00:14.609,2-6-
00:14.759,3
00:14.908,5
00:15.057,2L
00:15.657,4
00:15.806,2
00:15.957,5
00:16.108,3
00:16.407,16
00:16.706,2+
00:16.996,2-5
00:17.128,3
00:17.278,6
00:17.428,2
00:17.578,5
00:17.722,3
00:17.862,4+
00:18.169,24-
00:18.313,5
00:18.463,1
00:18.613,6
00:18.763,2
00:18.914,5
00:19.065,3
00:19.214,6
00:19.414,4
00:19.615,2
00:19.815,5
00:20.025,3
00:20.212,1
00:20.412,5
00:20.712,5
00:21.014,2
00:21.313,2
00:21.613,5
00:21.913,4
00:22.214,3
00:22.514,2
00:22.815,2
00:23.115,3
00:23.416,4
00:23.716,5
00:24.016,5
00:24.317,4
00:24.617,3
00:24.918,2
00:25.217,2U5U
00:25.519,5
00:25.819,2L5R
00:26.120,5
00:26.419,2U
00:26.720,5
00:27.035,5
00:27.333,5
00:27.633,25
00:27.936,4
00:28.232,3
00:28.382,5
00:28.533,2
00:28.683,6
00:28.830,1+6+
00:29.565,3U4U
00:30.316,16
00:30.615,5
00:30.916,4
00:31.066,2+
00:31.366,2-5
00:31.516,3
00:31.667,4
00:31.967,2+
00:32.268,2-5
00:32.417,1+
00:32.718,1-4
00:33.018,2
00:33.169,5
00:33.469,2+5+
00:34.070,1-6-
00:34.525,25
00:34.825,2+
00:35.123,2-5
00:35.285,3
00:35.583,25
00:35.877,1
00:36.034,5
00:36.334,2R
00:36.634,5
00:36.935,2R
00:37.233,6+
00:37.534,16-
00:37.683,6
00:37.984,25
00:38.284,3
00:38.434,5+
00:38.734,25-
00:39.034,2+
00:39.336,2-5
00:39.635,2U5L
00:40.237,1+
00:40.838,1-6+
00:41.155,26-
00:41.455,3
00:41.605,36R
00:42.057,16
00:42.356,4
00:42.507,3
00:42.807,5
00:42.957,2
00:43.258,4
00:43.407,3
00:43.709,5
00:43.858,2
00:44.158,61
00:44.459,3
00:44.610,4
00:44.910,2
00:45.058,5
00:45.357,3
00:45.501,4
00:45.801,2
00:45.951,5
00:46.252,16
00:46.552,5+
00:46.853,25-
00:47.002,5
00:47.133,2U
00:47.584,5
00:47.734,2+
00:48.012,2-5
00:48.162,1
00:48.762,3
00:48.911,5+
00:49.212,25-
00:49.363,6
00:49.663,25
00:49.976,1
00:50.113,6+
00:50.415,26-
00:50.564,5
00:50.864,2U
00:51.315,16
00:51.616,4
00:51.766,3
00:52.066,5
00:52.216,2
00:52.516,4
00:52.667,3
00:52.967,5
00:53.118,2
00:53.423,16
00:53.718,3
00:53.887,4
00:54.185,2
00:54.333,5
00:54.618,3
00:54.782,4
00:55.082,2
00:55.236,5
00:55.522,25+
00:55.836,2+5-
00:55.979,6
00:56.271,2U5U
00:56.738,2+
00:57.019,2-5+
00:57.188,1
00:57.489,2U5U
00:57.940,2+6
00:58.222,3-5+
00:58.525,6-3+
00:58.853,2-5+
00:59.142,1+4-
00:59.429,2L5
00:59.882,2+5+
01:00.630,5R
01:00.789,2L
01:01.544,4
01:01.693,3
01:02.475,2L5R
01:03.060,6+
01:03.361,6-2
01:03.511,5
01:03.812,4
01:03.952,1+
01:04.253,1-5
01:04.412,2
01:04.712,3
01:04.863,5+
01:05.146,25-
01:05.296,4
01:05.446,3+
01:05.747,5
01:06.204,6
01:06.659,2-5+
01:06.952,1U5-
01:07.263,5+
01:07.563,1U5-
01:07.863,1+4
01:08.163,1-5
01:08.313,2
01:08.763,36+
01:09.062,26-
01:09.212,5
01:09.663,2+4
01:09.963,2-5
01:10.108,3
01:10.246,5+
01:10.546,25-
01:10.697,6+
01:11.448,2+6-
01:11.749,2-5
01:12.049,1+
01:12.350,1-6
01:12.650,5+
01:12.950,5-2R
01:13.234,5+
01:13.534,5-2R
01:13.835,1+6+
01:14.149,1R6L
01:14.449,4
01:14.749,25
01:15.050,6+
01:15.333,16-
01:15.634,2+
01:15.934,2-5
01:16.234,2L5R
01:16.985,5+
01:17.285,25-
01:17.436,2+
01:17.735,2-5
01:17.884,3
01:18.183,6+
01:18.477,16-
01:18.627,5
01:19.224,2+
01:19.524,2-5
01:19.675,2+
01:19.825,6+
01:20.539,1=5=
01:21.327,6-2-
01:21.777,25
01:22.078,3+
01:22.232,4+
01:23.277,1-6-
01:23.427,2
01:23.579,5
01:23.729,3U
01:24.618,1!
01:29.454,1+
01:29.738,1-4
01:29.890,5+
01:30.203,25-
01:30.353,2+
01:30.652,2-6
01:30.789,6+
01:31.095,36-
01:31.268,4+
01:31.552,14-
01:31.834,4
01:31.980,2L
01:32.298,3
01:32.451,5R
01:32.732,4
01:32.885,2L
01:33.188,3
01:33.332,5R
01:34.216,3
01:34.389,6R
01:34.663,4
01:34.819,1L
01:35.117,3
01:35.265,6U
01:36.032,4
01:36.315,5
01:36.615,16
01:36.933,4
01:37.084,3
01:37.532,16
01:37.834,3
01:37.980,4
01:38.417,16
01:38.717,2
01:38.884,5+
01:39.334,1
01:39.786,2
01:40.237,3
01:40.536,25-
01:40.837,16
01:41.437,25
01:41.737,4
01:41.887,1
01:42.037,3
01:42.348,25
01:42.652,3
01:42.788,6
01:42.939,4
01:43.238,25
01:43.539,4
01:43.690,1
01:43.838,3
01:44.140,2+
01:44.290,5+
01:45.031,6-1U
01:45.321,6U
01:45.620,1L
01:45.925,6R
01:46.222,5+
01:46.522,2R5-
01:46.823,5+
01:47.140,2R5-
01:47.424,1+6+
01:47.724,1R6L
01:48.024,4
01:48.324,25
01:48.633,6+
01:48.932,16-
01:49.225,2+
01:49.526,2-5
01:49.825,2L5R
01:50.574,5+
01:50.874,25-
01:51.038,2+
01:51.343,2-5
01:51.496,3
01:51.792,6+
01:52.076,16-
01:52.228,5
01:52.830,2+
01:53.129,2-5
01:53.291,2+
01:53.447,6+
01:54.176,1=5=
01:54.945,2-6-
01:55.396,25
01:55.696,4
01:55.846,2+
01:56.146,2-5
01:56.296,1+
01:56.597,1-6+
01:56.897,26-
01:57.037,4+
01:57.347,5L
01:57.648,25
01:57.947,3
01:58.248,5+
01:58.549,25-
01:58.699,6+
01:58.999,2+6-
01:59.300,2-5
01:59.466,1L6R
02:00.068,3
02:00.367,4
02:00.669,2+5+
02:01.772,1-6-
02:01.870,2
02:02.019,5
02:02.170,3U
02:03.069,3+4+
02:05.135,1-6-
02:05.436,3
02:05.580,5
02:05.721,2
02:05.887,4L
02:06.337,4
