0:0:9.138,25
0:0:9.457,1+6+
0:0:9.801,1-6-
0:0:10.145,25
0:0:10.317,4
0:0:10.492,3
0:0:10.664,2+5
0:0:10.983,2-4
0:0:11.132,3
0:0:11.301,5
0:0:11.400,2
0:0:11.483,5
0:0:11.652,1
0:0:11.819,14
0:0:11.987,5
0:0:12.155,25+
0:0:12.491,15-
0:0:12.659,6+
0:0:12.827,2
0:0:13.002,26-
0:0:13.179,5
0:0:13.347,1+4
0:0:13.682,1-5
0:0:13.849,1
0:0:14.017,4
0:0:14.102,2
0:0:14.185,4
0:0:14.353,2R
0:0:14.521,5
0:0:14.690,2
0:0:14.852,1+6+
0:0:15.144,1-6-
0:0:15.318,5
0:0:15.401,2
0:0:15.483,5L
0:0:15.646,3
0:0:15.814,4
0:0:15.983,2
0:0:16.072,5
0:0:16.156,2+
0:0:16.336,6
0:0:16.518,2-6
0:0:16.686,35
0:0:17.019,34
0:0:17.173,2
0:0:17.341,1+5
0:0:17.676,1-4
0:0:17.844,3
0:0:18.013,26+
0:0:18.334,36-
0:0:18.524,4
0:0:18.750,1+5
0:0:19.048,1-5
0:0:19.129,2
0:0:19.217,5
0:0:19.298,2
0:0:19.386,5L
0:0:20.054,1
0:0:20.141,4
0:0:20.223,1
0:0:20.375,2
0:0:20.540,3
0:0:20.708,4
0:0:20.874,15
0:0:21.040,2
0:0:21.209,3
0:0:21.371,4
0:0:21.540,25
0:0:21.710,4
0:0:21.873,3
0:0:22.041,2
0:0:22.202,1L5+
0:0:22.546,25-
0:0:22.724,5
0:0:22.895,61+
0:0:23.211,2-5
0:0:23.389,2
0:0:23.559,4
0:0:23.715,3
0:0:23.891,5
0:0:24.062,2
0:0:24.217,2+5
0:0:24.548,6
0:0:24.883,1-5
0:0:25.066,2
0:0:25.227,4
0:0:25.387,1+
0:0:25.571,5
0:0:25.891,62-
0:0:26.072,1+
0:0:26.242,5
0:0:26.560,1-4
0:0:26.728,2
0:0:26.812,5
0:0:26.898,2
0:0:27.079,3
0:0:27.247,4
0:0:27.415,5
0:0:27.582,2+6
0:0:27.905,2-5
0:0:28.074,2
0:0:28.224,6+1
0:0:28.560,25-
0:0:28.728,5
0:0:28.895,3
0:0:29.076,4
0:0:29.247,2
0:0:29.416,5
0:0:29.583,15+
0:0:29.918,2
0:0:30.254,6-3
0:0:30.423,6
0:0:30.589,3
0:0:30.757,6+
0:0:30.926,2
0:0:31.265,15-
0:0:31.429,5
0:0:31.572,2
0:0:31.740,4
0:0:31.902,3
0:0:32.079,5
0:0:32.243,6+2L
0:0:32.579,6-3
0:0:32.747,5+
0:0:32.915,2
0:0:33.082,25-
0:0:33.250,5L
0:0:33.418,2R
0:0:33.585,4
0:0:33.921,3
0:0:34.090,6+
0:0:34.257,2
0:0:34.593,6-1
0:0:34.761,5
0:0:34.929,1+4
0:0:35.264,1-4
0:0:35.432,1+
0:0:35.600,5
0:0:35.768,2-5+
0:0:35.935,1
0:0:36.103,1+6-
0:0:36.271,5
0:0:36.440,1-4
0:0:36.607,1L
0:0:36.942,25
0:0:37.279,4
0:0:37.446,3
0:0:37.530,5
0:0:37.615,2+
0:0:37.949,1-6
0:0:38.118,1+
0:0:38.285,1-5
0:0:38.618,3
0:0:38.786,4
0:0:38.870,2
0:0:38.957,5+
0:0:39.288,6-1
0:0:39.455,6+
0:0:39.605,6-2
0:0:39.779,3
0:0:39.946,4
0:0:40.115,2L5R
0:0:40.449,16
0:0:40.618,61
0:0:40.786,25
0:0:40.954,25
0:0:41.121,16
0:0:41.290,2
0:0:41.374,5
0:0:41.457,2
0:0:41.541,5
0:0:41.625,2
0:0:41.793,1+6+
0:0:42.146,1U6U
0:0:42.481,61
0:0:42.649,5
0:0:42.732,2
0:0:42.816,5+
0:0:43.145,5-3
0:0:43.320,4
0:0:43.488,5
0:0:43.655,6R2+
0:0:43.991,2-5
0:0:44.159,2
0:0:44.327,6+1
0:0:44.663,25-
0:0:44.830,4
0:0:44.999,3
0:0:45.166,5
0:0:45.333,2
0:0:45.502,6
0:0:45.669,6+2
0:0:46.004,1
0:0:46.341,5-2
0:0:46.507,4
0:0:46.676,3
0:0:46.844,5
0:0:46.927,2
0:0:47.011,5+
0:0:47.347,6-1
0:0:47.515,5
0:0:47.682,2
0:0:47.850,4
0:0:48.018,3
0:0:48.185,52+
0:0:48.521,2-4
0:0:48.689,3
0:0:48.857,2
0:0:49.025,15+
0:0:49.361,25-
0:0:49.516,3
0:0:49.592,4
0:0:49.676,2+
0:0:50.012,61-
0:0:50.179,2
0:0:50.347,5
0:0:50.516,3
0:0:50.683,4
0:0:50.867,2
0:0:50.952,5
0:0:51.035,2+
0:0:51.371,6
0:0:51.690,1-5
0:0:51.857,2
0:0:52.026,4
0:0:52.193,3+
0:0:52.370,5
0:0:52.691,2-5
0:0:52.860,61
0:0:53.028,2
0:0:53.111,5
0:0:53.195,2
0:0:53.280,5
0:0:53.363,3
0:0:53.531,4
0:0:53.699,2U5U
0:0:54.034,3
0:0:54.202,5+
0:0:54.376,2
0:0:54.552,5-2
0:0:54.721,5L
0:0:54.890,2R
0:0:55.058,6+
0:0:55.226,1
0:0:55.402,6-1+
0:0:55.578,5
0:0:55.745,1-5+
0:0:55.894,2
0:0:56.062,35-
0:0:56.243,4
0:0:56.414,1+5
0:0:56.747,1-4
0:0:56.907,1+
0:0:57.066,5
0:0:57.234,2-5+
0:0:57.402,1
0:0:57.574,1+6-
0:0:57.754,5
0:0:57.921,1-4
0:0:58.089,1L
0:0:58.257,5
0:0:58.423,3
0:0:58.591,5
0:0:58.758,4
0:0:58.926,3
0:0:59.010,5
0:0:59.094,2+
0:0:59.429,61-
0:0:59.596,1+
0:0:59.773,1-5
0:0:59.932,2
0:1:0.099,3
