0:00:01.62,2R
0:00:02.07,1
0:00:02.52,2
0:00:02.82,1L
0:00:03.27,2
0:00:03.72,1
0:00:04.04,2U
0:00:04.32,1
0:00:04.61,2
0:00:04.92,1
0:00:05.22,2
0:00:05.49,1
0:00:05.81,2
0:00:06.11,1
00:06.430,2L
00:08.810,1L
00:09.710,1
00:09.860,2
00:10.010,1
00:10.310,1
00:10.620,2
00:10.920,2
00:11.070,1+
00:11.820,21-
00:12.130,2
00:12.280,1
00:12.430,2
00:12.730,2
00:13.030,1
00:13.330,1
00:13.470,2+
0:00:14.21,12-
0:00:14.51,1
0:00:14.67,2
0:00:14.82,1
0:00:15.12,1
0:00:15.42,2
0:00:15.72,2
0:00:15.86,1+
0:00:16.62,21-
0:00:16.92,2
0:00:17.07,1
0:00:17.22,2
0:00:17.52,2
0:00:17.82,1
0:00:18.12,2+
00:18.720,2-1
00:19.020,2+
00:20.820,1DR
00:22.610,21
00:22.940,1
00:23.270,1
00:23.490,21
00:23.820,2
00:24.160,2
00:24.390,21
00:24.610,2+
00:24.710,1+
0:00:25.72,2-1-
0:00:26.16,21
0:00:26.49,2
0:00:26.83,2
0:00:27.05,21
0:00:27.39,1
0:00:27.71,1
0:00:27.92,21
0:00:28.14,1+
0:00:28.27,2+
0:00:28.84,2-1-
0:00:29.07,2
0:00:29.29,1
0:00:29.50,2
00:29.730,21+
00:30.050,2+1-
00:30.370,2-1+
00:30.810,21-
00:31.040,1
00:31.270,2
00:31.480,2+1
00:31.820,2-1+
00:32.160,2+1-
00:32.820,2-1
00:33.270,1+
00:33.600,2+1-
00:33.930,12-
00:34.160,2+
00:34.490,2-1+
00:34.830,21-
00:35.060,2+1+
00:36.390,2-1-
00:36.820,1+2+
0:00:38.15,2L1R
0:00:38.59,21
0:00:38.81,1
0:00:39.04,2
0:00:39.25,1+
0:00:39.70,21-
0:00:39.92,1
0:00:40.15,2+1+
0:00:41.71,2-1-
0:00:42.15,21
0:00:42.37,2
0:00:42.59,1
0:00:42.82,2+
0:00:43.27,12-
0:00:43.72,2U1U
0:00:44.83,21
0:00:45.27,2L1R
0:00:45.71,21
0:00:45.94,1
0:00:46.15,2
0:00:46.38,1+
0:00:46.82,21-
0:00:47.04,1
0:00:47.27,2+
0:00:47.92,1
0:00:48.37,2-1
0:00:48.81,2+
0:00:49.04,2-1+
0:00:49.25,2+1-
0:00:49.70,2-1
0:00:49.92,1+
0:00:50.37,21-
0:00:50.82,2+1+
0:00:51.27,2-1-
0:00:51.49,2+
0:00:51.94,2-1
0:00:52.39,2
