00:08.166,2
00:08.353,5+
00:08.912,25-
00:09.099,1+
00:09.658,1-4
00:09.844,1U4R
00:10.589,3
00:10.776,5
00:10.962,4
00:11.148,3
00:11.335,2+
00:11.894,2-5
00:12.080,6+
00:12.640,6-3
00:12.825,6L3R
00:13.571,5
00:13.757,3
00:13.943,4
00:14.130,5
00:14.316,2+
00:14.875,1-4
00:15.062,1+
00:15.620,1-4
00:15.807,5
00:16.552,5
00:16.738,4
00:16.925,3
00:17.112,4
00:17.298,5+
00:17.670,25-
00:17.857,1+
00:18.229,1-6
00:18.602,2+5+
00:19.161,1-6-
00:19.347,6L
00:19.534,1R
00:20.466,3
00:20.652,5
00:20.838,2
00:21.024,4
00:21.211,5
00:21.397,4
00:21.584,3
00:21.769,4
00:21.956,3
00:22.143,2
00:22.515,1+
00:22.888,1-6
00:23.074,5
00:23.447,4
00:23.633,2
00:23.820,5
00:24.006,3
00:24.192,4
00:24.378,5
00:24.565,4
00:24.752,2+
00:25.125,63-
00:25.310,6+
00:25.683,35-
00:25.869,2
00:26.057,1
00:26.242,5L
00:26.801,2
00:26.988,5+
00:27.546,25-
00:27.732,2R
00:28.478,2+
00:28.851,2-5
00:29.224,25+
00:29.597,16-
00:29.783,1+6
00:30.156,2-5
00:30.527,2U5U
00:31.460,2+5+
00:32.205,2L5R
00:33.323,5
00:33.510,4
00:33.696,3+
00:34.069,63-
00:34.255,2
00:34.442,4+
00:34.814,14-
00:35.000,5
00:35.187,62+
00:35.746,5
00:35.932,5
00:36.305,6
00:36.678,1R6L
00:37.423,3+5
00:37.796,63-
00:37.982,5
00:38.168,24+
00:38.727,14-
00:38.914,5
00:39.473,5
00:39.659,4
00:39.845,3
00:40.031,4
00:40.218,25
00:40.591,4
00:40.777,3
00:40.964,4
00:41.150,2+5
00:41.708,2-5
00:41.895,25+
00:42.268,3
00:42.641,2
00:43.199,1
00:43.386,16-
00:43.759,25
00:44.131,1+6
00:44.877,1-5+
00:45.623,25-
00:46.368,25+
00:46.740,1+5-
00:46.927,4
00:47.114,1-6+
00:47.486,6-2+
00:47.859,2-5+
00:48.231,25-
00:48.604,1L6R
00:49.350,4
00:49.536,3
00:49.721,4
00:49.908,5
00:50.002,3
00:50.095,6+
00:50.467,16-
00:50.654,1+6
00:51.027,1-4
00:51.213,2
00:51.399,35+
00:51.772,25-
00:51.958,3
00:52.145,4
00:52.331,3
00:52.517,25
00:52.703,4
00:52.796,2
00:52.890,5
00:52.983,2
00:53.076,6+
00:53.449,16-
00:53.636,6
00:53.821,1U6U
00:54.195,25
00:54.380,1
00:54.566,16
00:54.754,5
00:54.939,25
00:55.126,1
00:55.313,16
00:55.684,3
00:55.872,4
00:56.057,25
00:56.244,5
00:56.430,16
00:56.617,1
00:56.803,25
00:56.989,5
00:57.175,16
00:57.362,1
00:57.548,25
00:57.735,25
00:57.921,16
00:58.107,16
00:58.293,2+5+
00:58.667,2-5-
00:58.853,16
00:59.039,5+
00:59.132,2+
00:59.225,5-
00:59.318,2-
00:59.411,6+
00:59.504,1+
00:59.597,6-
00:59.691,1-
00:59.784,5+
00:59.877,2+
00:59.970,5-
01:00.063,2-
01:00.158,6+
01:00.251,1+
01:00.344,6-
01:00.436,1-
01:00.530,1U6U
01:00.902,5+
01:01.275,2+5-
01:01.648,2-5
01:01.761,2
01:01.834,6
01:01.928,1
01:02.021,6+
01:02.207,1
01:02.580,16-
01:02.766,1L6R
01:02.952,5
01:03.139,4
01:03.325,3
01:03.511,1+5
01:03.791,1-4
01:03.884,2
01:04.070,5
01:04.257,16+
01:04.443,2
01:04.630,6-3
01:04.816,2
01:05.002,15+
01:05.281,25-
01:05.375,4
01:05.561,1
01:05.747,25
01:05.934,4
01:06.120,3
01:06.214,5
01:06.307,2
01:06.399,6
01:06.492,1+
01:06.772,1-5
01:06.865,3
01:07.052,4
01:07.238,5+
01:07.424,2
01:07.611,15-
01:07.983,16+
01:08.263,6-2
01:08.356,5
01:08.542,3
01:08.729,4
01:08.915,5
01:09.102,2+4
01:09.288,5
01:09.475,2-5+
01:09.754,5-3
01:09.847,6
01:10.033,3
01:10.220,6+2
01:10.406,1
01:10.593,6-2+
01:10.779,5
01:10.965,6+2-
01:11.246,16-
01:11.338,5
01:11.524,25
01:11.710,2U5U
01:11.990,4
01:12.083,2
01:12.270,3
01:12.455,2+4
01:12.642,5
01:13.015,2-5
01:13.200,2L5U
01:13.574,4
01:13.667,2
01:13.760,5
01:13.854,3
01:13.947,6+
01:14.226,6-2
01:14.319,5
01:14.505,4
01:14.692,3
01:14.879,2
01:14.971,5
01:15.065,3
01:15.251,4
01:15.437,25
01:15.717,4
01:15.810,2
01:15.996,3
01:16.183,5+
01:16.462,25-
01:16.555,4
01:16.742,3
01:16.928,2+
01:17.208,2-5
01:17.301,3
01:17.488,4
01:17.580,2L
01:17.674,5R
01:17.860,3
01:18.046,4
01:18.139,2
01:18.232,5
01:18.325,1
01:18.419,6
01:18.698,5
01:18.791,2
01:18.978,3
01:19.164,4
01:19.350,5
01:19.443,2
01:19.537,6
01:19.723,1
01:19.909,2R5L
01:20.189,3
01:20.282,5
01:20.468,4
01:20.655,3
01:20.841,2
01:20.934,5
01:21.027,3
01:21.214,4
01:21.400,2U5
01:21.680,4
01:21.773,2
01:21.960,3
01:22.145,4
01:22.239,2
01:22.332,5
01:22.518,16
01:22.705,2
01:22.891,2+5+
01:23.170,2-5-
01:23.264,6
01:23.450,1+6
01:23.823,1-5
01:23.916,2
01:24.009,4
01:24.197,3
01:24.382,4
01:24.568,5
01:24.661,1
01:24.754,6
01:24.847,2
01:24.941,5
01:25.127,1L6R
01:25.500,1L6R
01:25.861,(3.5)
01:31.835,4
01:31.928,2
01:32.022,5
01:32.115,1
01:32.209,6
01:32.394,25
01:32.767,4
01:32.953,3
01:33.139,2
01:33.234,5
01:33.327,3
01:33.512,4
01:33.699,3
01:33.885,4
01:33.978,2
01:34.071,5
01:34.164,3
01:34.258,6
01:34.445,5
01:34.631,4
01:34.817,3
01:34.910,5
01:35.004,2
01:35.097,4
