00:04.627,1U2U
00:05.080,1+2
00:05.543,1-2
00:05.685,1
00:05.841,2
00:05.995,1+
00:06.302,1-2+
00:06.610,12-
00:06.919,12+
00:07.380,12-
00:07.535,2
00:07.689,1
00:07.845,2+
00:08.168,1+2-
00:08.472,1-2
00:08.785,1+2
00:09.248,1-2
00:09.401,1
00:09.556,2
00:09.708,1+
00:10.016,1-2+
00:10.325,12-
00:10.632,12+
00:11.092,12-
00:11.231,2
00:11.402,1
00:11.556,2+
00:11.864,1+2-
00:12.171,1-2
00:12.480,1
00:12.634,2
00:12.783,1
00:12.925,2
00:13.234,1
00:13.387,2+
00:13.696,1+2-
00:14.005,1-2
00:14.312,1
00:14.467,2
00:14.620,1
00:14.774,2
00:14.928,1
00:15.082,2
00:15.236,1+
00:15.545,1-2+
00:15.852,12-
00:16.175,1
00:16.327,2
00:16.476,1
00:16.630,2
00:16.938,1
00:17.092,2+
00:17.400,1+2-
00:17.691,1-2
00:17.999,2U
00:18.462,1U
00:18.924,2
00:19.385,2
00:19.855,1R2
00:20.319,12L
00:20.799,1U2U
00:21.267,1+2+
00:21.721,2U1U
00:22.191,1R2R
00:22.654,1+
00:22.956,1-2+
00:23.252,12-
00:23.561,2
00:23.714,1
00:23.869,2
00:24.023,1
00:24.177,2
00:24.333,1
00:24.485,2+
00:24.793,1+2-
00:25.101,1-2
00:25.408,1L2R
00:25.871,1R2L
00:26.333,1L2R
00:26.811,1R2L
00:27.273,2
00:27.428,1
00:27.582,2
00:27.736,1
00:27.890,2
00:28.043,1
00:28.198,2+
00:28.505,1+2-
00:28.814,1-2
00:29.122,1
00:29.276,2
00:29.430,1
00:29.584,2
00:29.738,1
00:29.892,2
00:30.046,1+
00:30.354,1-2+
00:30.662,12-
00:30.946,1
00:31.091,2
00:31.245,1
00:31.398,2
00:31.707,1
00:31.861,2+
00:32.183,1+2-
00:32.485,1-2
00:32.795,1R
00:33.256,2L
00:33.718,1U2U
00:34.163,12
00:34.625,1L2
00:35.095,12R
00:35.544,21L
00:36.006,12R
00:36.468,21U
00:36.947,12U
00:37.398,1+
00:37.711,1-2+
00:38.008,12-
00:38.313,2
00:38.486,1
00:38.618,2
00:38.786,1
00:38.938,2
00:39.092,1
00:39.254,2+
00:39.539,1+2-
00:39.856,1-2
00:40.150,1R2R
00:40.629,1L2L
00:41.108,1R2R
00:41.554,1U2U
00:42.024,1+
00:42.331,2
00:42.634,2
00:42.945,1-2
00:43.105,1
00:43.247,2
00:43.401,1+
00:43.725,1-
00:43.874,2+
00:44.171,1
00:44.479,1
00:44.787,12-
00:44.941,2
00:45.095,1
00:45.252,2+
00:45.579,2-
00:45.729,1+
00:46.025,2
00:46.342,1-2
00:46.652,2+
00:46.960,1
00:47.285,12-
00:47.593,1+
00:47.901,2
00:48.208,1-2
00:48.517,1R2U
00:49.424,1+
00:49.732,2
00:50.040,2
00:50.349,1-2
00:50.502,1
00:50.657,2
00:50.811,1+
00:51.119,1-
00:51.287,2+
00:51.598,1
00:51.906,1
00:52.214,12-
00:52.368,2
00:52.522,1
00:52.677,2+
00:52.985,2-
00:53.139,1R2L
00:53.599,1R2L
00:54.062,1R2L
00:54.524,12
00:54.987,1+2
00:55.450,1-2+
00:55.895,1+2-
00:56.356,1-2
00:56.818,2+
00:57.449,1DR
00:57.751,2+
00:58.358,1DR
00:58.650,2+
00:59.266,1DR
00:59.574,1L2R
01:00.498,1R2L
01:00.809,2
01:00.994,1+
01:01.423,1-2
01:01.896,12
01:02.210,2
01:02.362,1U
01:02.655,1
01:02.808,2U
01:03.117,2
01:03.271,1U
01:03.733,12
01:04.041,2
01:04.196,1U
01:04.503,2
01:04.657,1+
01:05.132,1-2U
01:05.444,1
01:05.598,2
01:05.890,1
01:06.044,2+
01:06.505,1+2-
01:06.968,1-2
01:07.429,12
01:07.737,2
01:07.892,1L
01:08.200,1
01:08.354,2+
01:08.832,12-
01:09.278,12
01:09.586,1
01:09.739,2R
01:10.055,2
01:10.197,1+
01:10.664,1-2R
01:11.139,12
01:11.436,1
01:11.587,2L
01:11.903,1
01:12.055,2+
01:12.546,2-1U
01:13.007,12
01:13.315,1
01:13.484,2+
01:13.948,1+2-
01:14.387,1-2+
01:14.839,12-
01:15.318,1+2
01:15.626,2
01:15.933,1-2
01:16.241,12+
01:16.549,1
01:16.856,12-
01:17.166,1+2
01:17.467,2
01:17.780,1-2
01:18.089,1R2L
01:19.007,12+
01:19.305,1
01:19.618,12-
01:19.924,1+2
01:20.229,2
01:20.541,1-2
01:20.861,12+
01:21.169,1
01:21.475,12-
01:21.771,1L2R
01:22.694,1L
01:23.002,2R
01:23.616,1U2U
01:24.542,2
01:24.696,1
01:24.850,2
01:25.003,1
01:25.466,1
01:25.620,2
01:25.774,1
01:25.928,2
01:26.374,2
01:26.529,1
01:26.682,2
01:26.835,1
01:26.990,2
01:27.144,1
01:27.299,2
01:27.452,1
01:27.606,2
01:27.760,1
01:28.223,1
01:28.377,2
01:28.531,1
01:28.684,2
01:28.839,1
01:28.993,2
01:29.149,1
01:29.301,2
01:29.455,1
01:29.609,2
01:30.070,1+2+
01:30.996,1-2-
01:31.473,1L2L
01:31.902,1!
01:40.252,12
01:41.176,1R2L
01:41.484,2
01:41.638,1+
01:42.101,1-2
01:42.563,12
01:42.870,2
01:43.026,1U
01:43.334,1
01:43.489,2U
01:43.795,2
01:43.950,1U
01:44.412,12
01:44.719,2
01:44.873,1U
01:45.180,2
01:45.333,1+
01:45.795,1-2U
01:46.102,1
01:46.255,2
01:46.563,1
01:46.717,2+
01:47.179,1+2-
01:47.641,1-2
01:48.103,12
01:48.411,2
01:48.564,1L
01:48.872,1
01:49.020,2+
01:49.495,12-
01:49.940,12
01:50.248,1
01:50.401,2R
01:50.709,2
01:50.863,1+
01:51.308,1-2R
01:51.770,12
01:52.079,1
01:52.235,2L
01:52.557,1
01:52.711,2+
01:53.172,2-1U
01:53.622,12
01:53.924,1
01:54.087,2+
01:54.540,1+2-
01:55.002,1-2
01:55.464,1
01:55.788,1
01:55.942,2+
01:56.403,1
01:56.697,12-
01:56.850,1+
01:57.316,2
01:57.627,1-2
01:57.767,2+
01:58.243,1
01:58.549,12-
01:58.704,1+
01:59.165,2
01:59.468,1-2
01:59.617,2+
02:00.088,1
02:00.401,12-
02:00.545,1+
02:01.008,2
02:01.305,1-2
02:01.463,2+
02:02.854,1D-
02:03.311,1+2
02:03.631,2
02:03.939,1-2
02:04.254,12+
02:04.549,1
02:04.870,12-
02:05.173,1+2
02:05.485,2
02:05.794,1-2
02:06.087,1U
02:07.023,12+
02:07.317,1
02:07.641,12-
02:07.960,1+2
02:08.258,2
02:08.549,1-2
02:08.857,12+
02:09.181,1
02:09.488,12-
02:09.797,1L2R
02:10.721,1+2
02:11.184,1-2
02:11.330,1
02:11.491,2
02:11.646,1+
02:11.949,1-2+
02:12.261,12-
02:12.556,12+
02:13.035,12-
02:13.177,2
02:13.330,1
02:13.477,2+
02:13.789,1+2-
02:14.099,2L1-
02:14.260,1L
