0:0:3.152,2L3R
0:0:3.754,14
0:0:4.348,3
0:0:4.658,2
0:0:4.966,3
0:0:5.277,2
0:0:5.603,3
0:0:6.222,42
0:0:6.827,13
0:0:7.445,24
0:0:8.063,13
0:0:8.683,3L
0:0:9.302,31
0:0:9.942,2R
0:0:10.558,24
0:0:10.867,3
0:0:11.176,2
0:0:11.485,3
0:0:11.797,2+
0:0:11.950,3+
0:0:12.863,1-4-
0:0:13.638,4
0:0:14.257,3
0:0:14.876,2
0:0:15.506,1
0:0:15.818,2+3+
0:0:16.200,1=4=
0:0:16.576,2-3-
0:0:16.886,1+4+
0:0:17.350,2=3=
0:0:17.816,1-4-
0:0:18.622,1
0:0:19.241,2
0:0:19.551,3
0:0:19.860,2
0:0:20.170,3
0:0:20.480,2
0:0:20.635,3+
0:0:21.378,4-1
0:0:21.696,2
0:0:22.025,3
0:0:22.336,2
0:0:22.646,3
0:0:23.265,1L4R
0:0:24.503,4
0:0:24.796,3
0:0:25.106,2
0:0:25.725,41U
0:0:26.964,2
0:0:27.582,2
0:0:28.185,1
0:0:28.496,1
0:0:28.804,2
0:0:29.116,2
0:0:29.424,4
0:0:29.734,4
0:0:30.044,3
0:0:30.352,3
0:0:30.663,2
0:0:30.973,3
0:0:31.283,2
0:0:31.592,3
0:0:31.902,3+2+
0:0:32.832,1-4-
0:0:33.141,1R
0:0:34.380,1L4R
0:0:35.620,4+
0:0:36.704,3-
0:0:37.013,1+4+
0:0:37.943,1R4L
0:0:39.322,14
0:0:39.632,3
0:0:39.942,2
0:0:40.251,1
0:0:40.544,14
0:0:40.847,2
0:0:41.157,3
0:0:41.466,4
0:0:41.776,41
0:0:42.086,3
0:0:42.397,2+
0:0:42.860,1-3+
0:0:43.635,14-
0:0:44.254,1+
0:0:44.563,1-3
0:0:44.873,4+
0:0:45.182,24-
0:0:45.492,4+1+
0:0:45.787,1-4-
0:0:46.394,14
0:0:46.693,4+1+
0:0:47.150,2=3=
0:0:48.568,4-1-
0:0:49.177,41
0:0:49.500,3
0:0:49.810,2
0:0:50.119,1
0:0:50.439,14
0:0:50.739,2
0:0:51.049,3
0:0:51.375,4
0:0:51.685,14
0:0:51.995,3
0:0:52.304,2+
0:0:52.768,2-3+
0:0:53.542,4-1
0:0:54.161,4
0:0:54.470,3
0:0:54.780,2
0:0:55.096,1
0:0:55.243,3+
0:0:55.863,3U
0:0:56.636,1
0:0:56.946,2
0:0:57.254,3
0:0:57.565,4
0:0:57.719,2+
0:0:58.339,2U
0:0:59.097,4
0:0:59.406,3
0:0:59.715,2
0:1:0.025,1
0:1:0.180,3+
0:1:0.799,2U3U
0:1:1.574,1+4+
0:1:2.812,1R4L
0:1:3.122,2
0:1:3.432,3
0:1:3.739,1L4R
0:1:4.019,1!
0:1:13.964,23
0:1:14.582,1L
0:1:15.201,23
0:1:15.819,4R
0:1:16.436,32+
0:1:17.056,1-3
0:1:17.674,23+
0:1:18.298,4-2
0:1:18.910,4U
0:1:19.529,23
0:1:20.148,1U
0:1:20.768,23
0:1:21.387,4U
0:1:22.002,32
0:1:22.622,1U
0:1:23.241,23
0:1:23.860,2+4+
0:1:24.464,1-3-
0:1:25.082,1+3+
0:1:25.702,4-2-
0:1:26.321,4+
0:1:26.940,1L3-
0:1:27.560,1+
0:1:28.180,2-4R
0:1:28.799,1U3U
0:1:29.418,2
0:1:30.038,3R
0:1:30.658,4
0:1:31.272,2R
0:1:31.889,3L
0:1:32.509,2+3+
0:1:34.667,1-4-
0:1:37.469,1U4U
0:1:37.790,3
0:1:38.088,2
0:1:38.707,2
0:1:39.017,3
0:1:39.326,4
0:1:39.946,3
0:1:40.255,2
0:1:40.565,1
0:1:41.183,4
0:1:41.505,3
0:1:41.803,2
0:1:42.423,1
0:1:42.732,2
0:1:43.041,3
0:1:43.351,4
0:1:43.661,3
0:1:43.970,2
0:1:44.900,1+4+
0:1:46.138,1-4-
0:1:47.376,1+4+
0:1:48.615,4-1U
0:1:49.866,14
0:1:50.175,3
0:1:50.485,2
0:1:50.805,1
0:1:51.105,14
0:1:51.414,2
0:1:51.731,3
0:1:52.033,4
0:1:52.343,41
0:1:52.652,3
0:1:52.963,2+
0:1:53.426,2-3+
0:1:54.200,14-
0:1:54.818,4
0:1:55.129,3
0:1:55.438,2
0:1:55.747,1
0:1:55.902,4+
0:1:56.522,4U
0:1:57.304,1
0:1:57.602,2
0:1:57.908,3
0:1:58.218,4
0:1:58.372,1+
0:1:58.975,1U
0:1:59.749,4
0:2:0.059,3
0:2:0.368,2
0:2:0.688,1
0:2:0.831,4+
0:2:1.447,1U4U
0:2:2.214,1+4+
0:2:3.455,1R4L
0:2:3.754,2
0:2:4.057,3
0:2:4.372,1L4R
0:2:4.676,1+4+
0:2:5.928,1U4U
0:2:6.239,2
0:2:6.566,3
0:2:6.858,2U
0:2:7.478,14
0:2:8.080,3
0:2:8.124,3
0:2:8.716,2
0:2:9.334,1
0:2:9.937,24
0:2:10.573,13
0:2:11.187,24
0:2:11.810,13
0:2:12.428,3L
0:2:13.048,13
0:2:13.666,2R
0:2:14.282,24
0:2:14.586,3
0:2:14.894,2
0:2:15.202,3
0:2:15.513,2+
0:2:15.667,3+
0:2:16.589,1-4-
0:2:17.037,2+
0:2:17.811,1-
0:2:18.121,3+
0:2:19.046,4-
0:2:19.362,1+4+
0:2:20.842,1R4L
