00:02.018,2U5U
00:02.785,2
00:02.979,5
00:03.170,3
00:03.364,6
00:03.749,5
00:03.940,2
00:04.131,4
00:04.517,3
00:04.710,5
00:04.902,2
00:05.286,61
00:05.864,5
00:06.056,2
00:06.248,4
00:06.441,1
00:06.826,2
00:07.018,5+
00:07.209,2+
00:07.786,2-5-
00:08.171,3
00:08.364,6R
00:08.748,2+5
00:09.325,6
00:09.518,5
00:09.710,4
00:10.095,6
00:10.287,6+2-
00:10.864,16-
00:11.057,2U5U
00:12.018,6
00:12.210,3
00:12.404,5
00:12.595,2
00:12.980,4
00:13.172,1
00:13.364,4
00:13.733,2
00:13.925,5
00:14.117,2
00:14.696,5
00:14.887,3
00:15.079,6
00:15.271,2
00:15.463,5
00:15.655,1+
00:16.041,1-4
00:16.425,5+
00:16.809,25-
00:17.002,4
00:17.195,3
00:17.387,5
00:17.579,26
00:17.771,62
00:18.158,1
00:18.348,4
00:18.541,2
00:18.733,5
00:19.119,3
00:19.311,6
00:19.502,3
00:19.891,5
00:20.090,2
00:20.281,5
00:21.058,1
00:21.154,4
00:21.250,1
00:21.442,5
00:21.634,2
00:21.824,6+
00:22.211,6-3
00:22.595,2+
00:22.981,2-5
00:23.174,3
00:23.365,4
00:23.750,2U
00:23.943,5U
00:25.287,2
00:25.481,3
00:25.673,4
00:25.865,1
00:26.058,5
00:26.249,2
00:26.442,6
00:26.635,3
00:27.019,6
00:27.212,2
00:27.404,5
00:27.596,1
00:27.788,4
00:28.173,25
00:28.558,52
00:29.327,3
00:29.519,6+
00:29.904,1+6-
00:30.289,1-5
00:31.058,4
00:31.250,2+
00:31.635,2-5
00:31.828,3
00:32.020,4
00:32.212,5
00:32.597,4
00:32.789,3
00:32.981,2
00:33.366,2
00:33.463,5
00:33.559,3
00:33.750,4
00:34.136,2
00:34.328,1+6+
00:34.713,1U6U
00:35.097,25
00:35.289,4
00:35.481,3
00:35.866,2
00:36.059,3
00:36.251,4
00:36.443,25
00:36.636,3
00:36.828,6
00:37.020,2
00:37.212,5
00:37.404,1L
00:37.597,4
00:37.789,3
00:37.981,5
00:38.078,2
00:38.175,4
00:38.366,3
00:38.557,5
00:38.751,2
00:38.943,6
00:39.136,1
00:39.312,5
00:39.503,2
00:39.696,1L6R
00:41.235,4
00:41.427,3
00:41.620,5
00:41.812,2
00:42.004,6+
00:42.293,16-
00:42.580,2+
00:42.966,2-5
