00:02.496,1U6U
00:02.722,5
00:02.835,2+
00:02.948,5+
00:04.300,3-4-
00:04.521,2+5+
00:05.648,1R6L
00:05.987,2
00:06.326,5
00:06.552,3+6+
00:06.996,2=5=
00:07.449,3=6=
00:07.900,2-5-
00:08.126,3
00:08.238,5+
00:08.351,2+
00:09.215,1-6-
00:09.708,25
00:10.159,3+
00:10.493,3-6+
00:10.827,26-
00:11.031,1+
00:11.369,1-5+
00:11.725,25-
00:11.951,4+
00:12.287,1+4-
00:12.611,1-5
00:12.837,6+
00:13.289,36-
00:13.741,1+6+
00:14.433,(2.5)=
00:15.114,1-6-
00:15.327,25
00:15.785,1L6R
00:17.350,16
00:17.802,2
00:18.253,3
00:18.706,4
00:18.931,2+
00:19.391,2-5
00:19.806,6R
00:20.034,3
00:20.269,6R
00:20.943,25
00:21.390,4
00:21.850,3
00:22.296,2
00:22.525,5+
00:22.978,25-
00:23.437,1+
00:23.889,1-6
00:24.567,25L
00:25.019,4
00:25.471,3
00:25.922,4
00:26.149,2+
00:26.600,2-5
00:27.052,1+6+
00:27.729,1-6-
00:28.181,25
00:28.633,3
00:29.085,4
00:29.537,3
00:29.762,2+5+
00:30.210,3=6=
00:30.668,2=5=
00:31.118,3-6-
00:31.779,16
00:32.231,5
00:32.683,4
00:33.135,3
00:33.360,5+
00:33.783,25-
00:34.316,1U
00:34.523,4
00:34.751,1L
00:35.426,52
00:35.878,3
00:36.330,4
00:36.781,5
00:37.006,2+
00:37.458,1-4
00:37.910,5+
00:38.362,6-3
00:38.813,5+
00:39.490,6-3
00:39.709,3+
00:40.373,1-5
00:40.586,2
00:40.813,4
00:41.038,3
00:41.490,2+5+
00:41.942,1-6-
00:42.619,25
00:43.071,3
00:43.523,4
00:43.980,5
00:44.443,16
00:44.892,5
00:45.117,2+
00:45.572,2-5
00:46.246,16
00:46.699,2
00:47.148,5L
00:47.577,5L
00:48.038,16
00:48.490,5
00:48.944,2R
00:49.400,2R
00:49.850,1+5R
00:50.530,1-6L
00:51.193,2+5+
00:51.851,3=6=
00:52.548,2-5-
00:53.000,2L
00:53.224,5R
00:53.904,1+
00:54.356,1-6+
00:54.807,26-
00:55.260,5U
00:55.710,4U
00:56.163,3U
00:56.614,2U
00:57.065,6+1+
00:57.969,6-3L
00:58.421,5
00:58.646,52L
00:59.775,25
01:00.114,34
01:00.452,25
01:00.679,4
01:00.905,3
01:01.131,5U2U
01:01.579,3
01:01.805,4
01:02.031,5U2U
01:02.481,2
01:02.708,3
01:02.950,4
01:03.176,5
01:03.402,36
01:03.627,6
01:03.854,25
01:04.079,2
01:04.305,1+6+
01:05.206,1-6-
01:05.659,25
01:05.884,6R1L
01:07.874,16
01:08.100,2
01:08.326,3
01:08.551,4
01:08.777,5
01:09.003,4
01:09.229,3
01:09.454,2
01:09.681,1+6+
01:10.585,2U5U
01:11.485,26+
