00:05.535,2L5R
00:06.746,1+6+
00:07.514,2-5-
00:07.590,2+
00:07.666,5+
00:07.743,2-
00:07.817,5-
00:07.893,2
00:07.970,5R
00:08.260,3
00:08.415,35
00:08.713,26
00:08.850,5
00:08.942,3
00:09.017,5
00:09.315,25
00:09.467,4
00:09.619,36
00:09.913,5
00:10.065,2
00:10.141,4
00:10.217,2
00:10.368,36+
00:10.671,26-
00:10.822,5
00:10.977,4
00:11.132,36
00:11.277,2
00:11.352,5
00:11.432,3
00:11.581,4
00:11.732,25
00:11.884,3+
00:11.955,6+
00:12.047,3-
00:12.112,6
00:12.197,2+
00:12.263,5+
00:12.338,2-
00:12.414,5-
00:12.501,1
00:12.578,4
00:12.656,2
00:12.802,6+3
00:13.264,36-
00:13.415,3
00:13.568,5+
00:13.870,25-
00:14.021,2
00:14.173,3
00:14.325,4
00:14.476,3
00:14.628,26+
00:14.963,36-
00:15.115,4
00:15.264,2
00:15.341,4
00:15.419,1+
00:15.721,1-4
00:15.874,4
00:16.025,2+
00:16.329,2-5
00:16.479,5
00:16.631,4
00:16.782,3
00:16.934,4
00:17.085,1+5
00:17.389,1-4
00:17.464,2
00:17.540,5+
00:17.615,3+
00:17.691,5-
00:17.767,3-
00:17.843,6+
00:18.146,36-
00:18.298,3
00:18.449,5+
00:18.752,25-
00:18.904,2
00:19.055,3
00:19.207,4
00:19.359,3
00:19.510,2+
00:19.585,5+
00:19.661,2-
00:19.736,5-
00:19.785,3+
00:19.860,6
00:19.936,3-
00:20.115,6+
00:20.418,26-
00:20.569,2
00:20.722,4
00:20.875,4
00:21.025,3
00:21.101,5
00:21.176,3
00:21.327,4+
00:21.404,2
00:21.481,4-
00:21.632,5+
00:21.706,3
00:21.781,5-
00:21.935,4+
00:22.010,2+
00:22.086,4-
00:22.162,2-
00:22.239,5+
00:22.313,3
00:22.389,5-
00:22.541,1+
00:22.994,1-4
00:23.146,4
00:23.299,2+
00:23.602,2-5
00:23.753,5
00:23.903,4
00:24.057,3
00:24.208,4
00:24.359,1+5
00:24.663,1-4
00:24.814,3
00:24.965,2
00:25.117,6+
00:25.420,6-3
00:25.571,3
00:25.722,5+
00:26.026,25-
00:26.178,2
00:26.329,3
00:26.481,4
00:26.632,3
00:26.783,2
00:26.935,5
00:27.011,2
00:27.087,4
00:27.238,3
00:27.389,5
00:27.542,1+
00:27.837,1-4
00:27.980,4
00:28.131,2+
00:28.418,2-5
00:28.568,5
00:28.729,4
00:28.874,3
00:29.023,4
00:29.175,1+5
00:29.494,1-4
00:29.646,5
00:29.721,3
00:29.798,6+
00:30.100,26-
00:30.252,3
00:30.392,4
00:30.538,5
00:30.686,1
00:30.763,4
00:30.841,2
00:30.992,3
00:31.144,4
00:31.296,3+
