00:04.192,1U2R
00:04.526,1
00:04.692,2
00:05.026,2
00:05.215,1
00:05.543,12
00:06.042,12
00:06.377,1
00:06.527,2
00:06.694,1
00:06.861,2
00:07.194,2
00:07.360,12
00:07.694,1
00:07.861,2
00:08.027,1
00:08.195,2
00:08.362,1
00:08.529,12
00:08.863,2
00:09.029,12
00:09.363,12
00:09.530,12
00:10.023,1
00:10.351,1
00:10.697,1
00:10.853,2+
00:11.185,1+2-
00:11.518,1-2+
00:11.852,12-
00:12.186,2+
00:12.520,12-
00:12.686,2
00:13.020,2
00:13.354,2
00:13.687,12
00:14.021,1
00:14.355,1
00:14.689,1
00:15.022,12
00:15.356,1
00:15.522,2
00:15.689,1
00:15.856,2
00:16.023,1
00:16.190,1R2L
00:16.524,2
00:16.683,1+
00:17.024,1-2
00:17.356,2
00:17.675,12
00:18.008,2
00:18.175,1
00:18.342,2
00:18.509,1
00:18.675,2
00:18.843,1+
00:19.177,1-2
00:19.343,1
00:19.511,2
00:19.844,12
00:20.178,1
00:20.261,2
00:20.344,1
00:20.678,2
00:21.012,1
00:21.179,2
00:21.348,2
00:21.514,1
00:21.848,1
00:22.019,2
00:22.182,1
00:22.528,1
00:22.693,2
00:22.861,1
00:23.190,1
00:23.365,2
00:23.697,1
00:23.865,1
00:24.031,2
00:24.365,1
00:24.533,2
00:24.712,2
00:24.860,1
00:25.194,1
00:25.361,2
00:25.527,1
00:26.028,2
00:26.195,1
00:26.374,2
00:26.545,1
00:26.712,2
00:26.878,1+
00:27.208,1-2
00:27.362,1+
00:27.696,1-2
00:27.863,1
00:28.030,2
00:28.363,2R
00:28.531,1
00:28.697,2
00:28.864,1L
00:29.197,2
00:29.534,1+2+
00:29.882,2U
00:30.049,1U
00:31.049,1
00:31.216,2
00:31.383,1
00:31.716,1
00:31.884,2
00:32.050,1
00:32.231,2
00:32.401,1
00:32.735,1
00:32.897,2
00:33.057,1
00:33.218,2
00:33.384,1
00:33.718,2
00:33.885,1
00:34.051,2
00:34.385,2
00:34.534,1
00:34.701,2
00:34.868,1
00:35.035,2
00:35.352,2
00:35.521,1
00:35.694,2
00:35.865,1
00:36.034,2
00:36.365,1
00:36.537,2
00:36.699,1
00:37.035,1
00:37.189,2
00:37.361,1
00:37.531,2
