00:00.877,2U5R
00:01.210,5
00:01.376,16
00:01.543,5
00:01.626,2
00:01.709,4
00:01.852,3+
00:02.015,3-6
00:02.193,15+
00:02.528,25-
00:02.693,16
00:02.845,2
00:02.927,5
00:03.011,2
00:03.179,3
00:03.345,4
00:03.511,25+
00:03.862,35-
00:04.029,2+4
00:04.362,2-5
00:04.516,6
00:04.699,15
00:04.877,4
00:04.942,2
00:05.013,5
00:05.183,1+6
00:05.513,1-4
00:05.680,36+
00:06.013,16-
00:06.187,25
00:06.365,4
00:06.681,3
00:07.015,2
00:07.348,1
00:07.515,6+
00:07.682,2
00:07.849,1+6-
00:08.016,4
00:08.183,1-5+
00:08.350,2
00:08.532,35-
00:08.681,4
00:08.861,6+
00:09.031,1
00:09.198,26-
00:09.365,3+
00:09.681,3-5+
00:10.015,4
00:10.349,3
00:10.699,2
00:10.999,3
00:11.333,4
00:11.667,25
00:12.000,3
00:12.180,5
00:12.345,2
00:12.511,6
00:12.682,1
00:12.847,2R5L
00:12.998,3
00:13.165,4
00:13.354,1+
00:13.666,1-4
00:14.011,3
00:14.333,25+
00:14.676,6
00:14.846,1
00:15.000,5
00:15.169,2
00:15.365,4
00:15.501,3
00:15.667,2L5R
00:15.834,16
00:16.168,3R
00:16.502,4L
00:16.835,2
00:16.919,5
00:17.002,2+
00:17.337,2-4
00:17.669,2
00:17.836,3
00:18.003,4
00:18.170,25+
00:18.504,35-
00:18.679,4
00:18.838,2
00:19.004,5
00:19.171,6
00:19.255,3
00:19.338,5
00:19.505,2+4
00:19.839,62-
00:20.007,5+
00:20.356,25-
00:20.529,3
00:20.679,1+4
00:21.031,1-5
00:21.179,4
00:21.348,3
00:21.534,6+2
00:21.852,36-
00:22.037,5
00:22.197,2+4
00:22.522,5
00:22.706,2-4
00:22.875,3
00:23.035,5
00:23.192,2
00:23.359,6
00:23.526,1+5
00:23.875,1-6
00:24.021,2+
00:24.354,2-5
00:24.521,3
00:24.688,4
00:24.855,5
00:24.938,3
00:25.022,6R
00:25.189,2
00:25.356,5
00:25.532,1L
00:25.856,4
00:26.023,3
00:26.196,2+5+
00:26.535,5U
00:26.693,2U
00:26.769,5+
00:26.853,3+
00:26.936,5-
