00:12.482,36
00:12.823,25
00:13.182,4+
00:13.266,1+
00:13.342,4-
00:13.425,1-
00:13.525,5+
00:13.616,2+
00:13.692,5-
00:13.782,2-
00:13.882,6+
00:14.232,36-
00:14.582,1+
00:14.766,5+
00:14.966,1-
00:15.115,25-
00:15.275,3+5+
00:15.633,2-6-
00:15.816,5
00:15.983,1+
00:16.166,6+
00:16.334,2-
00:16.516,25-
00:16.683,2+5+
00:17.033,1-6-
00:17.383,1+
00:17.550,5+
00:17.734,1-
00:17.899,25-
00:18.083,2+5+
00:18.415,1-6-
00:18.599,5
00:18.673,2
00:18.766,5+
00:18.925,3
00:19.132,25-
00:19.465,3+
00:19.666,5
00:19.816,3-5+
00:19.999,2
00:20.182,2+5-
00:20.325,6
00:20.532,2U
00:20.865,4+
00:21.033,1
00:21.199,1+4-
00:21.382,5
00:21.549,1U
00:21.732,5
00:21.816,1
00:21.899,5
00:22.000,1
00:22.082,5
00:22.267,1+5+
00:22.433,5-
00:22.617,6+
00:22.782,2-6-
00:22.966,2+6+
00:23.132,2-
00:23.292,1+
00:23.483,1-5-
00:23.649,2+6+
00:23.832,6-
00:24.000,5+
00:24.165,1-5-
00:24.349,15
00:24.534,2
00:24.616,5
00:24.700,2
00:24.799,5
00:24.883,2
00:25.050,2L5R
00:25.400,1
00:25.573,5
00:25.749,2
00:25.908,5
00:26.100,3
00:26.267,5+
00:26.799,25-
00:27.142,35
00:27.392,4
00:27.658,5
00:27.850,2+6+
00:28.199,2-6-
00:28.367,1+5+
00:28.716,5-
00:28.885,1-6
00:29.234,1+5+
00:29.583,1-5-
00:29.783,2+6+
00:30.132,2-
00:30.299,16-
00:30.483,5
00:30.649,1+
00:30.999,1-5
00:31.149,2
00:31.316,6+
00:31.666,26-
00:31.849,5
00:32.016,1+4+
00:32.200,4-
00:32.365,5+
00:32.550,5-
00:32.715,6+
00:32.899,6-
00:33.065,5+
00:33.250,1-5-
00:33.417,3+6+
00:33.583,3-
00:33.766,2+
00:33.932,2-
00:34.116,1+
00:34.282,1-
00:34.466,2+
00:34.623,2-6-
00:34.799,35
00:34.990,5
00:35.073,3
00:35.125,5
00:35.315,26
00:35.715,2+5+
00:35.850,2-5-
00:35.933,5
00:36.033,2
00:36.207,5
00:36.550,24
00:36.901,4
00:37.082,2
00:37.233,5
00:37.416,2
00:37.590,6+
00:37.966,26-
00:38.300,5+
00:38.466,35-
00:38.657,6+
00:38.833,36-
00:38.999,2+
00:39.366,2-6
00:39.540,1+
00:39.883,1-5+
00:40.049,2+5-
00:40.232,2-6
00:40.382,1+
00:40.742,1-5
00:40.908,2+6+
00:41.282,2-6-
00:41.425,5
00:41.618,1
00:41.700,4
00:41.775,2+
00:42.149,2-5
00:42.315,1+
00:42.483,5
00:42.658,1-6+
00:42.833,2+
00:43.016,2-6-
00:43.200,3+6+
00:43.342,3-
00:43.532,2+
00:43.717,2-
00:43.883,1+
00:44.067,1-
00:44.249,26-
00:44.316,5
00:44.392,2
00:44.583,1+5+
00:44.932,5-
00:45.117,5
00:45.282,5
00:45.449,6
00:45.632,6
00:45.799,1-6
00:46.149,5
00:46.332,4
00:46.516,3
00:46.575,5
00:46.684,2
00:46.866,3
00:47.008,4+
00:47.382,2+4-
00:47.717,5+
00:47.899,2-5-
00:48.065,1+
00:48.315,1-5
00:48.599,25
00:48.765,6+
00:49.115,3+
00:49.299,3-6-
00:49.458,5+
00:49.815,25-
00:50.166,4+
00:50.533,1+4-
00:50.683,1-5+
00:50.866,2+5-
00:51.215,2-5+
00:51.542,2L5R
00:51.732,16
00:52.083,25
00:52.242,2+5+
00:52.617,2U5U
00:52.965,2+6+
00:53.133,6-
00:53.299,2-5
00:53.465,14
00:53.832,1+5+
00:54.016,1-
00:54.182,25-
00:54.267,4
00:54.342,2+
00:54.533,2-5
00:54.699,6+
00:54.883,1+6-
00:55.216,1-6
00:55.382,2
00:55.482,5
00:55.566,2
00:55.725,1+
00:55.915,4
00:56.099,1-5+
00:56.266,25-
00:56.433,2+
00:56.617,5
00:56.783,2-6+
00:56.967,36-
00:57.133,4+
00:57.334,2+4-
00:57.499,2-5+
00:57.658,15-
00:57.832,4
00:57.933,2
00:58.017,5
00:58.199,1+
00:58.349,6+
00:58.692,1-6-
00:58.883,25
00:59.049,2
00:59.134,4
00:59.215,2+
00:59.483,2-5
00:59.582,2
00:59.665,5
00:59.766,2
00:59.892,2U5U
01:00.623,2
01:00.699,5
01:00.790,2
01:00.890,5
01:00.966,2
01:01.050,5
01:01.134,2
01:01.216,5+
01:01.325,2+
01:01.666,1U6U
01:02.016,4
01:02.184,3
01:02.367,2+
01:02.540,25
01:02.725,1+
01:02.884,5+
01:03.067,1-
01:03.240,25-
01:03.400,3+
01:03.590,6+
01:03.767,3-
01:03.929,26-
01:04.099,1+
01:04.283,4+
01:04.449,2-
01:04.632,5-
01:04.775,3+
01:04.975,6+
01:05.167,2-
01:05.325,5-
01:05.515,1+5+
01:05.849,1-5-
01:06.216,4+
01:06.382,2+4-
01:06.565,2-5
01:06.732,3
01:06.915,2+5+
01:07.265,1-6-
01:07.599,3
01:07.783,4
01:07.949,5+
01:08.134,25-
01:08.300,6+
01:08.483,2+
01:08.642,6-
01:08.825,2-5
01:09.016,4+
01:09.184,1+
01:09.367,4-
01:09.533,1-5
01:09.717,6+
01:09.900,3+
01:10.083,5-
01:10.234,2-
01:10.392,4+
01:10.582,1+
01:10.758,5-
01:10.933,2-
01:11.099,2+6+
01:11.266,2-
01:11.450,1+
01:11.634,1-
01:11.799,26-
01:11.900,5
01:11.983,3
01:12.066,5
01:12.150,3
01:12.316,3
01:12.415,6+
01:12.500,3+
01:12.683,3-
01:12.849,2+
01:13.016,2-6-
01:13.175,1+5+
01:13.366,1-
01:13.549,2+
01:13.716,2-5-
01:13.883,2+6+
01:14.066,6-
01:14.233,5+
01:14.417,2-5-
01:14.566,1+4+
01:14.749,4-
01:14.917,5+
01:15.099,1-5-
01:15.267,2+6+
01:15.616,2-6-
01:15.799,35
01:15.966,2+
01:16.142,5+
01:16.332,2-5-
01:16.516,1+
01:16.858,6
01:17.049,6
01:17.216,5+
01:17.566,1-5-
01:17.733,5
01:17.900,26
01:18.066,1+
01:18.432,5
01:18.599,6+
01:18.950,6-
01:19.117,1-6
01:19.299,25
01:19.483,3+6+
01:19.634,3-
01:19.833,2+
01:20.000,2-
01:20.199,1+
01:20.349,1-
01:20.516,26-
01:20.684,6
01:20.788,2
01:20.867,6L
01:21.033,3
01:21.199,5
01:21.383,2+
