00:03.292,2
00:03.748,1
00:04.203,1+2+
00:04.544,1L2-
00:05.113,1
00:05.568,2
00:06.023,1+2+
00:06.348,1-2R
00:06.929,2
00:07.384,1
00:07.838,1+2+
00:08.179,1L2-
00:08.747,1
00:09.196,2
00:09.638,1+2+
00:09.979,1-2R
00:10.549,1L2L
00:11.004,1R2R
00:11.459,1+2+
00:11.803,1-2-
00:12.388,1R2R
00:12.831,1L2L
00:13.284,1+2+
00:13.625,1-2-
00:14.187,1L2L
00:14.650,1R2R
00:15.108,1+2+
00:15.448,1-2-
00:16.011,1+2+
00:17.145,1-2-
00:18.060,1
00:18.174,2
00:18.284,1
00:18.386,2
00:18.618,1+
00:18.960,1-2
00:19.186,1
00:19.409,2
00:19.880,2
00:19.991,1
00:20.107,2
00:20.237,1
00:20.447,2+
00:20.787,12-
00:21.030,2
00:21.257,1
00:21.489,2+
00:21.830,1+2-
00:22.285,1-2
00:23.079,2
00:23.193,1
00:23.307,2+
00:23.535,12-
00:23.762,2
00:23.876,1
00:24.103,1+2+
00:24.664,2-1U
00:25.338,2
00:25.452,1
00:25.566,2
00:25.680,1
00:25.907,2+
00:26.247,12-
00:26.476,2
00:26.703,1
00:27.158,1
00:27.272,2
00:27.386,1
00:27.499,2
00:27.727,1+
00:28.068,1-2
00:28.296,1
00:28.523,2
00:28.750,1+
00:29.092,1-2+
00:29.529,12-
00:30.339,2
00:30.569,1+
00:30.796,1-2
00:31.024,1
00:31.138,2
00:31.365,1+2+
00:31.923,2-1U
00:32.600,1
00:32.714,2
00:32.827,1
00:32.941,2
00:33.169,1+
00:33.510,1-2
00:33.738,1
00:33.965,2
00:34.421,2
00:34.535,1
00:34.648,2
00:34.762,1
00:34.990,2+
00:35.331,12-
00:35.558,2
00:35.786,1
00:36.014,2+
00:36.355,1+2-
00:36.810,1-2
00:37.607,2
00:37.720,1
00:37.834,2+
00:38.062,12-
00:38.289,2
00:38.403,1
00:38.647,1+2+
00:39.200,2-1U
00:39.891,2
00:40.004,1
00:40.118,2
00:40.231,1
00:40.460,2+
00:40.801,12-
00:41.029,2
00:41.255,1
00:41.711,1
00:41.825,2
00:41.939,1
00:42.052,2
00:42.279,1+
00:42.619,1-2
00:42.847,1
00:43.076,2
00:43.300,1+
00:43.637,1-2+
00:44.083,12-
00:44.872,2
00:45.107,1+
00:45.383,1-2
00:45.545,1
00:45.660,2
00:45.894,1L
00:46.471,1L
00:46.923,1U2U
00:47.609,1
00:47.837,2
00:48.064,1
00:48.292,2
00:48.519,1
00:48.730,2+
00:49.412,12-
00:49.640,1+
00:50.550,21L
00:51.233,2
00:51.461,1
00:51.687,2
00:51.915,1
00:52.150,2
00:52.354,1+
00:52.808,1-2
