00:05.354,4U
00:06.750,1U
00:08.145,1R4L
00:09.191,1U4U
00:10.936,2+3+
00:12.353,1=4=
00:13.728,2U3U
00:14.773,14
00:16.517,4R
00:17.913,1L
00:18.263,4
00:18.611,3
00:18.960,2
00:19.307,13
00:20.006,1R3L
00:20.704,13
00:21.402,1R3L
00:22.099,42
00:22.797,4L2R
00:23.494,42
00:24.192,4L2R
00:24.890,13
00:25.588,1R3L
00:26.285,13
00:26.983,1R3L
00:27.681,42
00:28.378,4L2R
00:29.076,42
00:29.773,4L2R
00:30.471,41
00:31.170,1R4L
00:31.866,14
00:32.565,4L1R
00:33.263,2
00:34.658,3
00:36.054,1+3+
00:37.100,4-2-
00:37.449,3
00:37.798,2
00:38.845,2+
00:40.240,4U1U
00:41.635,4+1+
00:42.682,1-4-
00:43.031,2
00:43.380,3
00:44.426,1R
00:45.821,4L
00:47.217,2+3+
00:48.263,4-1-
00:48.612,3
00:48.961,2
00:50.008,2+
00:50.706,1-3
00:51.403,3+
00:52.101,4-2
00:52.798,2+
00:53.496,1R
00:54.194,2
00:54.542,3
00:55.590,4+1
00:55.938,1
00:56.286,14-
00:56.985,14
00:57.333,3
00:57.683,2
00:58.380,41+
00:58.729,4
00:59.078,1-4
00:59.776,14
01:00.125,2
01:00.474,3
01:01.156,(2.5)
01:09.543,3
01:09.892,3
01:10.241,1L3R
01:10.590,2
01:10.939,2
01:11.288,4R2L
01:11.637,3
01:11.986,3
01:12.334,1L3R
01:13.033,2
01:13.730,14
01:14.079,3
01:14.428,2
01:15.125,4
01:15.474,4
01:15.823,42L
01:16.172,3
01:16.521,3
01:16.868,1L3
01:17.218,4
01:17.568,4
01:17.915,42L
01:18.614,3
01:19.312,1+4
01:20.359,1-
01:20.707,13R
01:21.057,1
01:21.404,1
01:21.754,4R2
01:22.103,2
01:22.451,2
01:22.800,13R
01:23.150,1
01:23.498,1
01:24.196,3
01:24.893,2
01:25.242,3
01:25.591,4
01:26.288,4
01:26.637,4
01:26.987,42L
01:27.336,3
01:27.684,3
01:28.033,1L3
01:28.382,4
01:28.730,4
01:29.080,42L
01:30.474,1U
01:31.871,4+2+
01:32.569,1-3-
01:33.266,1+3+
01:33.963,4-2-
01:34.662,4+2+
01:35.359,1-3-
01:36.057,1+3+
01:36.755,4-2-
01:37.452,2+
01:38.150,1-3
01:38.847,3+
01:39.546,4-2
01:40.243,4+1+
01:40.941,4-1-
01:41.638,2+3+
01:42.336,1-4-
01:43.034,4+2+
01:43.731,1-3-
01:44.429,1+3+
01:45.127,4-2-
01:45.825,4+2+
01:46.522,1-3-
01:47.220,1+3+
01:47.919,4-2-
01:48.616,2+
01:49.313,1-3
01:50.011,3+
01:50.710,4-2
01:51.407,4+1+
01:52.104,1-4-
01:52.801,2+3+
01:53.500,4-1-
01:54.197,4U1U
01:55.592,4L
01:55.941,1R
01:56.988,14
01:57.337,1+4+
01:58.035,4R1L
01:59.779,2+3+
02:01.199,1=4=
02:02.570,3U2U
02:03.616,1L4R
02:05.011,2U3U
