00:02.069,2
00:02.226,1
00:02.384,2
00:02.543,1
00:02.699,2U
00:03.332,1+2
00:03.806,1-2+
00:04.279,12-
00:04.437,2
00:04.596,1+
00:04.912,1-2
00:05.068,1+
00:05.508,1-2
00:05.825,12+
00:06.299,1+2-
00:06.773,1-2+
00:07.404,12-
00:07.720,2L
00:08.036,1
00:08.350,1+2
00:08.824,1-2
00:09.141,12+
00:09.457,1+2-
00:09.931,1-2+
00:10.248,1+2-
00:10.575,1-2
00:10.880,1
00:11.048,2
00:11.202,1
00:11.361,2+
00:11.678,12-
00:11.839,2+
00:11.997,1+
00:12.947,1-2-
00:13.263,1+2
00:13.737,2
00:14.053,2
00:14.368,2
00:14.685,2
00:15.001,1-2
00:15.317,1
00:15.474,2
00:15.632,12
00:15.948,1
00:16.106,2
00:16.421,1+
00:16.736,1-2
00:16.893,1
00:17.211,12
00:17.527,2
00:17.685,1+
00:18.157,1-2
00:18.474,2
00:18.632,1
00:18.948,2+
00:19.262,12-
00:19.421,2
00:19.737,1
00:19.896,2
00:20.211,1+2+
00:20.682,1-2-
00:21.001,2
00:21.158,1
00:21.474,2+
00:21.791,12-
00:21.948,2
00:22.264,1+2+
00:22.580,1-2-
00:22.755,1+2+
00:23.228,1-2-
00:23.544,1R
00:23.703,2
00:24.019,1+
00:24.334,1-2
00:24.491,1
00:24.807,2
00:24.966,1
00:25.281,1R2L
00:26.072,2+
00:26.385,12-
00:26.545,2+
00:26.861,12-
00:27.032,2
00:27.335,1+
00:27.650,1-2
00:27.808,1+
00:28.281,1-2
00:28.439,1
00:28.598,2+
00:28.913,12-
00:29.071,1+
00:29.382,1-2
00:29.522,1
00:29.845,2
00:30.002,1
00:30.318,1+2+
00:30.791,1-2-
00:30.950,2
00:31.107,1
00:31.265,2
00:31.564,1+
00:31.880,1-2
00:32.038,1
00:32.354,1+2+
00:32.669,1-2-
00:32.828,1+2+
00:33.304,1-2-
00:33.459,1
00:33.617,2+
00:33.933,12-
00:34.092,1+
00:34.565,1-2
00:34.881,1+
00:35.199,1-2
00:35.355,2+
00:35.829,12-
00:36.143,1+2
00:36.782,1-2
00:37.097,1
00:37.256,12+
00:38.055,12-
00:38.371,2
00:38.687,1
00:38.845,2
00:39.159,1
00:39.477,2
00:39.793,1+2+
00:40.267,1-2-
00:40.582,1
00:40.739,2
00:41.213,12+
00:41.845,12-
00:42.161,2
00:42.318,1+2
00:43.108,1-2
00:43.423,1
00:43.738,2L
00:44.055,1
00:44.213,2
00:44.529,1
00:44.845,1+2+
00:45.319,1-2-
00:45.634,2
00:45.792,1
00:46.265,12+
00:46.896,12-
00:47.211,2
00:47.369,1+2
00:48.159,1-2
00:48.477,1
00:48.793,2
00:48.951,1
00:49.267,2
00:49.583,1
00:49.898,1+2+
00:50.372,1-2-
00:50.689,2
00:50.846,1
00:51.319,12+
00:51.793,1+2-
00:52.267,1-2
00:52.899,1
00:53.215,2
00:53.526,1
