00:01.073,5
00:01.234,2
00:01.393,5
00:01.547,2
00:01.705,5U
00:02.352,1+5
00:02.820,1-6+
00:03.293,26-
00:03.456,5
00:03.620,1+
00:03.949,1-4
00:04.108,2+
00:04.581,2-6
00:04.896,15+
00:05.371,2+5-
00:05.845,2-6+
00:06.478,6-1
00:06.786,5L
00:07.108,2
00:07.423,1+4
00:07.898,1-5
00:08.213,26+
00:08.528,1+6-
00:09.001,1-5+
00:09.317,2+5-
00:09.633,2-6
00:09.950,3
00:10.107,4
00:10.266,2
00:10.423,5+
00:10.739,25-
00:10.898,5+
00:11.055,2+
00:12.003,1-6-
00:12.319,1+4
00:12.791,5
00:13.098,3=6
00:13.415,6
00:13.725,5
00:14.038,1-5
00:14.354,3
00:14.513,4
00:14.670,25
00:14.987,1
00:15.144,4
00:15.461,1+
00:15.776,1-5
00:15.935,2
00:16.250,34
00:16.566,5
00:16.722,2+
00:17.197,2-5
00:17.514,6
00:17.671,3
00:17.987,6+
00:18.303,26-
00:18.461,5
00:18.775,3
00:18.934,4
00:19.251,2+5+
00:19.723,2-5-
00:20.024,6
00:20.184,3
00:20.497,6+
00:20.813,26-
00:20.971,5
00:21.286,2+5+
00:21.602,2-5-
00:21.760,1+6+
00:22.234,1-6-
00:22.548,2R
00:22.708,5
00:23.023,1+
00:23.340,1-6
00:23.497,2
00:23.813,5
00:23.971,2
00:24.286,2R5L
00:25.077,5+
00:25.392,25-
00:25.550,6+
00:25.866,36-
00:26.024,6
00:26.339,2+
00:26.656,2-5
00:26.813,1+
00:27.296,1-4
00:27.451,1
00:27.607,5+
00:27.929,25-
00:28.085,1+
00:28.406,1-6
00:28.561,2
00:28.879,4
00:29.040,3
00:29.355,2+5+
00:29.830,2-5-
00:29.987,4
00:30.145,3
00:30.304,5
00:30.619,1+
00:30.936,1-6
00:31.089,2
00:31.407,2+5+
00:31.724,2-5-
00:31.883,1+6+
00:32.357,1-6-
00:32.515,2
00:32.672,5+
00:32.988,25-
00:33.147,1+
00:33.619,1-4
00:33.935,2+
00:34.251,2-5
00:34.409,6+
00:34.882,36-
00:35.196,2+5
00:35.830,1-4
00:36.146,2
00:36.303,25+
00:37.094,16-
00:37.410,5
00:37.723,3
00:37.883,4
00:38.199,2
00:38.514,5
