00:02.922,25
00:03.083,2
00:03.240,25
00:03.398,2
00:03.556,5U
00:03.872,3
00:04.186,1+4
00:04.503,5
00:04.661,1-6+
00:04.981,36-
00:05.126,5
00:05.293,2
00:05.382,4
00:05.450,1+
00:05.769,1-4
00:05.924,2+5
00:06.247,6
00:06.397,2-6
00:06.726,5+1
00:07.042,2
00:07.187,6-2+
00:07.513,5
00:07.665,1-5+
00:07.989,2
00:08.299,6-3
00:08.467,3
00:08.617,4
00:08.704,1
00:08.782,5
00:08.859,2
00:08.942,6
00:09.257,1+5
00:09.573,4
00:09.731,1-4
00:10.047,36+
00:10.205,2
00:10.360,1+6-
00:10.519,5
00:10.836,1-4+
00:10.994,2
00:11.152,2+4-
00:11.310,5
00:11.467,2-6
00:11.781,2R5
00:11.940,5
00:12.100,2
00:12.257,25L
00:12.415,2+
00:12.573,25
00:12.729,1L6R
00:12.887,2
00:13.047,25
00:13.204,5
00:13.280,2
00:13.360,5
00:13.520,2
00:13.678,16
00:13.836,2+
00:13.993,25
00:14.152,1+5
00:14.620,4
00:14.941,3=5
00:15.256,6
00:15.415,5
00:15.573,4
00:15.887,1-6
00:16.206,3
00:16.363,4
00:16.519,25
00:16.836,3
00:16.994,4
00:17.152,2
00:17.311,1+5
00:17.626,1-4
00:17.784,2
00:18.099,53
00:18.415,4
00:18.574,2+
00:18.732,5
00:19.048,2-6
00:19.363,4
00:19.521,3
00:19.679,5
00:19.836,6+2
00:20.153,6-3
00:20.311,5
00:20.628,2
00:20.784,4
00:20.942,3
00:21.100,5+
00:21.257,2
00:21.573,15-
00:21.731,5
00:21.811,2
00:21.890,4
00:22.048,3
00:22.205,5
00:22.364,26+
00:22.679,36-
00:22.828,5
00:23.141,1+4
00:23.452,1-5
00:23.613,6+
00:23.766,2
00:24.086,16-
00:24.398,2R
00:24.557,5
00:24.872,1+6
00:25.188,1-4
00:25.346,2+
00:25.663,2-5
00:25.823,1
00:25.977,6
00:26.134,2R5L
00:26.611,5
00:26.689,2
00:26.768,4
00:26.846,3
00:26.926,5+
00:27.239,25-
00:27.400,6+
00:27.557,1
00:27.716,26-
00:27.873,3
00:28.031,4
00:28.189,2+
00:28.347,5
00:28.507,2-4
00:28.663,1+
00:28.822,5
00:29.137,1-6
00:29.295,2
00:29.454,5+
00:29.610,3
00:29.769,25-
00:29.927,1+
00:30.085,6
00:30.242,1-5
00:30.399,4
00:30.558,3
00:30.716,2
00:30.874,4
00:31.031,3
00:31.189,5+
00:31.346,2
00:31.584,25-
00:31.675,5
00:31.821,3
00:31.980,6
00:32.015,6
00:32.140,2
00:32.294,5
00:32.455,1+
00:32.611,4
00:32.768,1-5
00:32.927,6
00:33.093,2
00:33.247,5+
00:33.404,3
00:33.558,25-
00:33.730,1+
00:33.882,4
00:34.122,1-5
00:34.202,2
00:34.378,6
00:34.541,6+
00:34.697,3
00:34.853,25-
00:35.011,1+
00:35.171,4
00:35.329,1-4
00:35.484,2
00:35.645,5
00:35.802,1+
00:35.960,4
00:36.118,2-5
00:36.276,16
00:36.434,2
00:36.512,5
00:36.592,3
00:36.750,4
00:37.066,2+6
00:37.223,6
00:37.539,4
00:37.698,1-4
00:38.013,3
00:38.171,35+
00:38.482,2
00:38.802,1
00:38.960,16-
00:39.274,3
00:39.433,4
00:39.592,25
00:39.748,2
00:40.065,16
00:40.380,3
00:40.539,4
00:40.695,2+5+
00:41.012,2-5-
00:41.170,3
00:41.328,4
00:41.486,25
00:41.644,5
00:41.802,3
00:41.959,4
00:42.118,15+
00:42.274,1
00:42.590,3
00:42.742,36-
00:43.032,4
00:43.190,2+4
00:43.505,5
00:43.821,6
00:43.978,1-6
00:44.301,2
00:44.454,5
00:44.609,2R5L
00:44.776,3
00:44.921,4
00:45.088,25
00:45.398,4
00:45.558,3
00:45.716,2+5+
00:46.033,1-6-
00:46.190,5
00:46.349,2
00:46.507,2R5L
00:46.665,4
00:46.822,3
00:47.139,15+
00:47.296,1
00:47.611,3
00:47.773,36-
00:48.094,4
00:48.249,2+4
00:48.568,5
00:48.883,6
00:49.042,1-6
00:49.357,4
00:49.515,3
00:49.672,25
00:49.830,5
00:50.144,16
00:50.454,4
00:50.611,3
00:50.769,2+5+
00:51.086,2-5-
00:51.244,4
00:51.401,2
00:51.559,5
00:51.717,3
00:51.876,36
00:52.191,2+6+
00:52.348,2-
00:52.507,1
00:52.665,1+5-
00:52.824,4
00:52.981,4
00:53.138,2-5
00:53.454,34
00:53.770,1+6+
00:53.929,6-
00:54.087,1-5+
00:54.245,2
00:54.402,5-3
00:54.717,1+4+
00:55.666,2-5-
00:55.981,1+4+
00:56.139,4-
00:56.297,5
00:56.454,1-6+
00:56.613,2+
00:56.771,2-
00:56.928,36-
00:57.242,2+5L
00:57.402,2-
00:57.560,1+6
00:57.718,1-
00:57.876,2+5
00:58.033,2-
00:58.194,3
00:58.351,4
00:58.507,25+
00:58.670,5-
00:58.824,16+
00:58.984,6-
00:59.147,2+5
00:59.303,2-
00:59.467,1+6
00:59.619,1-
00:59.774,25L
01:00.104,16
01:00.257,16
01:00.408,25
01:00.577,34
01:00.735,25
01:00.893,1L6R
01:01.209,3
01:01.288,5
01:01.365,2
01:02.314,2+
01:02.470,4
01:02.629,1-4
01:02.787,5+
01:02.947,3
01:03.102,36-
01:03.266,5
01:03.425,2+
01:03.584,4
01:03.742,1-4
01:03.900,2
01:04.057,3
01:04.215,4
01:04.374,5
01:04.530,3
01:04.689,4
01:04.847,5+
01:05.005,3
01:05.163,36-
01:05.320,2+
01:05.478,5
01:05.636,1-5
01:05.795,2
01:05.953,6+
01:06.111,1
01:06.267,1
01:06.425,2
01:06.584,26-
01:06.742,5
01:06.901,3
01:06.979,5
01:07.058,2
01:07.216,1+6
01:07.523,1-4
01:07.682,5+
01:07.839,3
01:07.998,25-
01:08.155,1+4
01:08.314,5
01:08.471,1-6+
01:08.788,36-
