00:10.766,2+5+
00:12.282,2L5R
00:13.482,2L5R
00:13.982,2
00:14.333,36
00:14.665,4
00:15.000,25
00:15.315,3
00:15.682,4+
00:16.016,1
00:16.183,14-
00:16.517,1+
00:16.682,4+
00:17.382,3-6-
00:17.699,5+
00:18.032,2+5-
00:18.366,2-5
00:18.549,5+
00:18.883,2+5-
00:19.233,2-
00:19.399,2L5L
00:19.733,5
00:19.899,2
00:20.232,1L5L
00:20.566,2R6R
00:20.899,2+5+
00:21.250,2-5-
00:21.582,5+
00:21.916,25-
00:22.100,2
00:22.265,4+
00:22.599,14-
00:22.765,1
00:22.932,5+
00:23.266,25-
00:23.450,2
00:23.617,5
00:23.949,2U5L
00:27.000,6+
00:27.683,36-
00:27.849,3
00:28.034,5+
00:28.366,2+5-
00:29.383,2-6
00:29.717,1+
00:30.399,1-
00:30.567,2+
00:31.067,2-
00:31.232,3+
00:31.766,3-6+
00:32.417,26-
00:32.932,14
00:33.266,2+5
00:33.617,2-6+
00:34.299,26-
00:34.965,2
00:35.165,2+
00:35.682,2-5
00:35.982,36
00:36.350,6
00:36.516,6+
00:37.016,3+6-
00:37.367,3-6
00:37.699,36
00:37.865,36
00:38.382,3
00:38.549,4
00:38.716,2
00:38.882,5+
00:39.233,15-
00:39.749,4
00:39.916,3
00:40.083,5
00:40.249,2+
00:40.582,2-6
00:41.083,3
00:41.266,4
00:41.432,2
00:41.599,5+
00:41.950,15-
00:42.783,2+
00:43.132,2-5
00:43.300,2U5U
00:43.632,2+5+
00:44.799,1-6-
00:45.649,1+
00:45.999,2-4+
00:46.349,1+5-
00:47.184,3-6
00:47.517,3U
00:48.184,2U
00:48.866,5+
00:49.200,25-
00:49.549,3
00:49.717,5
00:49.884,3
00:50.049,6+
00:50.566,2+6-
00:50.899,2-5+
00:51.250,25-
00:51.584,6+
00:51.934,36-
00:52.099,5+
00:52.266,2
00:52.434,2
00:52.767,2+
00:53.206,2-
00:53.616,1+
00:53.966,1-5-
00:54.300,1+
00:54.634,1-4
00:54.816,2+
00:54.984,5
00:55.133,5
00:55.500,5+
00:55.984,5-
00:56.334,2-6+
00:56.682,16-
00:57.016,2+
00:57.365,2-4
00:57.533,5+
00:57.870,25-
00:58.049,1+6+
00:59.565,1-6-
00:59.899,2L6L
01:00.399,1R5R
01:00.915,1R6L
01:02.283,1+6+
01:02.615,2-5-
01:02.783,25
01:03.132,2+5+
01:03.465,2-5-
01:03.799,25
01:04.315,2L
01:04.500,5R
01:04.999,2U5U
01:05.333,25
