00:10.661,2
00:11.577,1
00:12.411,12
00:12.661,1+2+
00:13.077,1-2-
00:13.327,12
00:13.577,12
00:14.661,1+2+
00:16.410,1-2-
00:16.661,2
00:17.161,1
00:17.577,2
00:18.911,1
00:19.411,2
00:19.911,1
00:20.161,2
00:20.411,1
00:20.911,2
00:21.411,1
00:21.911,2R
00:22.161,1L
00:22.411,2R
00:22.911,1
00:23.412,2
00:23.912,1
00:24.161,2
00:24.411,1
00:24.661,2+
00:25.161,1+2-
00:25.578,1-2
00:25.911,2R
00:26.161,1L
00:26.412,2R
00:26.912,1
00:27.412,2
00:27.912,1
00:28.161,2
00:28.412,1
00:28.661,2+
00:29.161,1+2-
00:29.578,1-2
00:29.911,1L
00:30.161,2R
00:30.411,1L
00:30.661,1+
00:31.162,1-
00:31.328,2
00:31.579,2+
00:32.162,2-
00:32.328,1
00:32.578,1+
00:33.162,1-
00:33.328,2
00:33.579,1+2+
00:34.412,1-2-
00:34.912,1
00:35.162,1
00:35.412,1
00:35.662,2
00:35.912,2
00:36.078,1
00:36.329,1
00:36.912,2
00:37.162,2
00:37.412,1
00:37.662,1
00:37.912,2
00:38.162,2
00:38.412,2
00:38.662,2+1+
00:40.162,1-2-
00:40.662,1+2+
00:41.579,1-2-
00:41.829,1+2+
00:42.412,1-2-
00:42.912,1
00:43.163,1
00:43.412,1
00:43.662,2
00:43.912,2
00:44.079,1+
00:44.412,1-
00:44.912,2
00:45.162,2
00:45.413,1
00:45.662,1
00:46.079,2
00:46.413,1+2+
00:48.163,2-1-
00:48.662,1+2+
00:49.579,1-2-
00:49.913,1+
00:50.663,1R
00:51.329,1
00:51.579,1
00:52.330,2
00:52.579,2L
00:53.329,1
00:53.579,1
00:54.663,1U
00:55.330,2
00:55.579,2U
00:56.329,1
00:56.579,1+2+
00:57.579,1-2-
00:58.663,1L2R
00:59.579,1L2R
01:00.579,1+2+
01:01.579,1-2-
01:01.830,2
01:02.080,1
01:02.330,2
01:02.913,1
01:03.164,2
01:03.413,1
01:03.664,2
01:03.913,1
01:04.164,2
01:04.331,2
01:04.663,1
01:04.830,2
01:05.080,1
01:05.331,2
01:05.579,12
01:06.664,1
01:06.914,1
01:07.163,1
01:07.413,1
01:07.664,2
01:07.913,2
01:08.164,2
01:08.413,2
01:08.664,1
01:08.914,1
01:09.080,2
01:09.331,2
01:09.580,12
01:10.665,2
01:10.914,2
01:11.165,2
01:11.414,2
01:11.664,1
01:11.914,1
01:12.164,1
01:12.414,1
01:12.663,2
01:12.914,2
01:13.081,1
01:13.331,1
01:13.581,2+
01:13.915,2-
01:14.164,1L
01:14.413,1L
01:14.914,2+
01:16.351,2-
01:16.914,1+
01:18.351,1-
01:18.664,1
01:19.081,2
01:19.581,12
01:20.414,12
01:20.664,1+2+
01:21.081,1-2-
01:21.331,12
01:21.581,1+2+
01:22.164,1-2-
01:22.643,(1.5)
01:30.915,2+
01:32.352,2-
01:32.915,1+
01:34.353,1-
01:34.664,1
01:35.081,2
01:35.603,12
01:36.415,12
01:36.666,1+2+
01:37.582,1-2-
01:37.915,1
01:38.165,2
01:38.416,1
01:38.664,1+2+
01:39.915,1-2-
01:40.166,2
01:40.415,1
01:40.915,2
01:41.415,1
01:41.916,2R
01:42.165,1L
01:42.416,2R
01:42.666,1+2+
01:43.916,1-2-
01:44.166,2
01:44.415,1
01:44.666,2+
01:45.166,1+2-
01:45.582,1-2
01:45.915,1L
01:46.165,2R
01:46.415,1L
01:46.666,1+2+
01:47.916,1-2-
01:48.165,2
01:48.415,1
01:48.666,2+
01:49.166,1+2-
01:49.582,1-2
01:49.916,2R
01:50.166,1L
01:50.416,2R
01:50.665,1+
01:51.165,1-
01:51.332,2
01:51.582,2+
01:52.166,2-
01:52.331,1
01:52.582,1+
01:53.165,1-
01:53.332,2
01:53.582,1+2+
01:54.165,1-2-
01:54.666,1+
01:54.832,2
01:55.082,2
01:55.333,2
01:55.582,2
01:55.832,2
01:56.083,2
01:56.166,1-
01:56.416,1
01:56.666,2+
01:56.833,1
01:57.082,1
01:57.333,1
01:57.582,12-
01:59.098,1R
