0:0:2.317,2U5U
0:0:2.933,14
0:0:3.250,36
0:0:3.566,15
0:0:3.882,24
0:0:4.198,36
0:0:4.515,15
0:0:4.832,34
0:0:5.147,16
0:0:5.463,2U5U
0:0:6.726,16
0:0:7.042,34
0:0:7.359,2
0:0:7.438,5
0:0:7.517,2
0:0:7.596,5
0:0:7.676,1
0:0:7.755,4
0:0:7.833,2
0:0:7.913,5
0:0:7.991,3
0:0:8.150,4
0:0:8.228,2
0:0:8.307,5
0:0:8.466,3
0:0:8.624,4+
0:0:8.789,2+4-
0:0:8.955,2-6+
0:0:9.113,16-
0:0:9.271,3+
0:0:9.426,5+3-
0:0:9.583,2+5-
0:0:9.722,2-6+
0:0:9.866,36-
0:0:10.024,2
0:0:10.109,4
0:0:10.199,1
0:0:10.277,5
0:0:10.357,2
0:0:10.436,4
0:0:10.515,1
0:0:10.673,5
0:0:10.752,2
0:0:10.831,6+
0:0:10.988,36-
0:0:11.146,2
0:0:11.226,5
0:0:11.305,1+
0:0:11.463,41-
0:0:11.538,2
0:0:11.607,5
0:0:11.700,2
0:0:11.779,6+
0:0:11.937,36-
0:0:12.079,6
0:0:12.157,2
0:0:12.237,5
0:0:12.316,1
0:0:12.394,4
0:0:12.553,5+
0:0:12.593,2+
0:0:12.659,5-
0:0:12.698,2-
0:0:12.869,5
0:0:12.948,2
0:0:13.027,4
0:0:13.185,3
0:0:13.265,5
0:0:13.343,2
0:0:13.501,4
0:0:13.660,3+
0:0:13.818,3-5+
0:0:13.983,1+5-
0:0:14.150,1-6
0:0:14.309,4+
0:0:14.466,2+4-
0:0:14.624,2-5+
0:0:14.783,1+5-
0:0:14.940,1-4
0:0:15.079,5
0:0:15.158,3
0:0:15.237,6
0:0:15.316,2
0:0:15.396,5
0:0:15.474,3
0:0:15.558,6
0:0:15.711,2
0:0:15.790,5
0:0:15.869,1+
0:0:16.027,1-4
0:0:16.185,5
0:0:16.265,2
0:0:16.343,6+
0:0:16.501,36-
0:0:16.580,5
0:0:16.665,2
0:0:16.738,5
0:0:16.821,1+
0:0:16.991,1-5
0:0:17.139,6
0:0:17.211,2
0:0:17.290,5
0:0:17.368,1
0:0:17.448,4
0:0:17.606,4
0:0:17.693,1
0:0:17.764,5
0:0:17.843,2
0:0:17.922,6
0:0:18.001,3
0:0:18.080,6U
0:0:18.240,2
0:0:18.570,16+
0:0:18.879,6-3
0:0:19.027,5+
0:0:19.185,15-
0:0:19.343,4
0:0:19.516,2+
0:0:19.671,2-5
0:0:19.817,6
0:0:19.976,3+
0:0:20.055,5+
0:0:20.134,3-
0:0:20.213,5-
0:0:20.297,2+
0:0:20.387,4+
0:0:20.466,2-
0:0:20.546,4-
0:0:20.624,1L
0:0:20.782,5
0:0:20.940,2
0:0:21.098,1+6
0:0:21.415,1-4
0:0:21.557,2+
0:0:21.714,2-6
0:0:21.793,3
0:0:21.872,6
0:0:22.030,5
0:0:22.189,4
0:0:22.346,3
0:0:22.508,2
0:0:22.596,5
0:0:22.676,3
0:0:22.756,4
0:0:22.825,2
0:0:22.903,5
0:0:23.000,3
0:0:23.071,4
0:0:23.148,2
0:0:23.294,5
0:0:23.450,1+
0:0:23.783,1-6+
0:0:24.094,26-
0:0:24.240,5
0:0:24.402,3
0:0:24.556,4+
0:0:24.716,2
0:0:24.871,24-
0:0:25.029,1+
0:0:25.345,1-6
0:0:25.662,5
0:0:25.822,2
0:0:25.983,4
0:0:26.139,3
0:0:26.312,5+
0:0:26.633,25-
0:0:26.789,1+
0:0:26.940,6
0:0:27.109,1-6
0:0:27.254,2
0:0:27.416,5
0:0:27.575,2+
0:0:27.891,2-5
0:0:28.207,1L6R
0:0:28.523,4+
0:0:28.839,1+4-
0:0:29.148,1-5
0:0:29.307,6+
0:0:29.465,2
0:0:29.622,26-
0:0:29.781,5
0:0:29.939,3
0:0:30.103,4
0:0:30.255,2
0:0:30.416,5
0:0:30.563,1+
0:0:30.721,6
0:0:30.879,1-6
0:0:31.037,2
0:0:31.195,5
0:0:31.353,3
0:0:31.511,4
0:0:31.677,2
0:0:31.827,16
0:0:32.143,34
0:0:32.318,5+
0:0:32.478,2+5-
0:0:32.634,2-4
0:0:32.792,3
0:0:33.108,1L6R
0:0:33.407,3
0:0:33.487,4
0:0:33.566,2+
0:0:33.882,2-5
0:0:34.040,3
0:0:34.205,4
0:0:34.362,5+
0:0:34.531,2
0:0:34.679,36-
0:0:34.831,4
0:0:34.978,2+
0:0:35.159,5
0:0:35.303,1-4
0:0:35.461,3
0:0:35.607,2+
0:0:35.918,2-5
0:0:35.997,3
0:0:36.077,5
0:0:36.393,2
0:0:36.551,3
0:0:36.709,4+
0:0:37.025,2+4-
0:0:37.341,2-5
0:0:37.499,6+
0:0:37.657,1
0:0:37.816,16-
0:0:37.974,5
0:0:38.143,2R
0:0:38.465,5
0:0:38.544,3
0:0:38.622,5
0:0:38.939,4
0:0:39.096,1
0:0:39.255,4
0:0:39.413,1+
0:0:39.571,5
0:0:39.884,3-6
0:0:40.041,6+
0:0:40.200,2
0:0:40.357,25-
0:0:40.515,4
0:0:40.674,3
0:0:40.752,5
0:0:40.832,2+
0:0:41.140,6
0:0:41.289,1-6
0:0:41.610,2
0:0:41.778,5+
0:0:42.074,1+5-
0:0:42.232,5
0:0:42.391,1-4
0:0:42.549,3
0:0:42.628,5
0:0:42.707,2
0:0:42.865,3
0:0:43.023,4
0:0:43.339,25
