00:02.540,2+4+
00:04.964,1-3-
00:05.453,2
00:05.941,3
00:06.435,1+3+
00:07.884,2=4=
00:08.882,1-3-
00:09.370,3
00:09.859,2
00:10.363,1U4U
00:12.317,4R1L
00:14.269,1
00:15.065,2
00:15.861,3
00:16.656,4
00:17.452,1U4U
00:19.013,4R1L
00:20.600,4+1+
00:21.397,2-3-
00:22.192,23
00:22.588,23
00:22.987,2R
00:23.782,14
00:23.981,14
00:25.387,14
00:25.585,14
00:26.581,4U1U
00:28.968,14
00:29.764,23
00:30.560,14
00:30.958,4L1R
00:31.356,4L1R
00:32.151,14
00:32.946,23
00:33.744,2U3
00:34.141,3R
00:34.539,2U
00:34.936,1L
00:35.534,4R
00:36.330,4U1U
00:37.323,23
00:37.523,23
00:38.120,2+3+
00:39.314,1-4-
00:39.712,1+4+
00:40.905,2-3-
00:41.304,2+3+
00:42.497,1-4-
00:42.897,2
00:43.692,2
00:44.089,41
00:44.466,3
00:44.864,2
00:45.246,1
00:45.644,23
00:46.041,4
00:46.441,3
00:46.833,2
00:47.231,1
00:47.629,4+
00:48.435,3R
00:48.833,4
00:49.231,1+
00:49.631,1-3
00:50.027,4+
00:50.425,4-2
00:50.838,2+3+
00:51.635,1-4-
00:52.033,23
00:52.431,14
00:53.225,2R
00:53.623,3
00:54.021,2
00:54.418,1L4R
00:54.817,23
00:55.213,14
00:55.608,2
00:56.006,3
00:56.404,2
00:56.802,3
00:57.149,1+4+
00:58.358,2-3-
00:58.757,2U3U
01:00.313,3
01:00.711,1
01:01.109,2
01:01.507,3
01:01.905,2
01:02.303,4
01:02.701,3
01:03.098,2
01:03.496,3
01:03.895,1
01:04.292,2
01:04.691,3
01:05.088,14
01:05.387,14
01:05.685,1L4
01:06.681,1+3+
01:07.875,4-2-
01:08.272,4+2+
01:09.466,1-3-
01:09.863,1+4+
01:10.681,2=
01:11.438,1=4L
01:13.031,2-3U
01:14.622,3
01:15.022,2
01:15.418,1+
01:15.825,1-3
01:16.230,2
01:16.622,3
01:17.018,4+
01:17.424,24-
01:17.823,3
01:18.220,2
01:18.635,3
01:19.049,4
01:19.448,13
01:19.845,4
01:20.243,23
01:21.039,1L4R
01:21.436,1
01:21.835,1U4U
01:22.233,4
01:22.631,3
01:23.029,2
01:23.427,4R1L
01:24.222,1+3+
01:25.416,4-2-
01:25.814,1+4+
01:26.411,1-4-
01:27.406,3
01:27.804,1R
01:28.202,2
01:28.598,3
01:28.998,4
01:29.395,1R4L
01:29.793,2
01:30.191,3
01:30.589,4
01:30.987,3
01:31.385,2
01:31.782,3
01:32.180,2L
01:32.578,3R
01:32.960,2U
01:33.755,1L4R
01:34.153,1
01:34.544,1U4U
01:34.933,4
01:35.331,2+
01:35.729,1-3
01:36.126,3+
01:36.524,4-2
01:36.919,2+3+
01:37.683,1=4=
01:38.497,3-2L
01:39.289,4
01:39.687,4
01:40.086,1R4L
01:40.880,1R4L
01:41.674,23
01:43.266,14
01:43.465,14
01:44.859,14
01:45.058,14
01:46.054,1U4U
01:46.440,1!
01:52.810,1L
01:53.407,4R
01:54.203,1U4U
01:55.196,23
01:55.396,23
01:55.993,4U1U
01:57.385,2+3+
02:00.364,1-4-
02:00.664,4U1U
