00:02.096,36
00:02.229,3
00:02.363,6
00:02.498,2
00:02.631,5
00:02.765,1
00:02.900,4
00:03.035,3+
00:03.301,63-
00:03.435,2+
00:03.703,2-5
00:03.837,1+
00:04.104,1-4
00:04.238,25
00:04.372,2
00:04.504,4
00:04.642,3
00:04.775,5
00:04.908,2
00:05.042,6
00:05.177,1
00:05.309,25
00:05.444,4
00:05.579,3
00:05.712,2
00:05.846,5
00:05.980,2
00:06.113,5
00:06.248,2
00:06.382,14
00:06.515,4
00:06.649,1
00:06.784,5
00:06.917,2
00:07.052,6
00:07.185,3
00:07.318,4+
00:07.588,14-
00:07.720,5+
00:07.989,25-
00:08.123,6+
00:08.392,36-
00:08.525,25
00:08.659,5
00:08.793,3
00:08.927,4
00:09.061,2
00:09.195,5
00:09.328,1
00:09.462,6
00:09.596,25
00:09.731,3
00:09.865,4
00:09.998,5
00:10.132,2
00:10.267,4
00:10.400,3
00:10.533,5
00:10.667,2L
00:12.543,5
00:12.811,25
00:13.079,1
00:13.212,4
00:13.346,1
00:13.615,5
00:13.748,2+
00:13.882,4
00:14.016,2-4
00:14.150,1+
00:14.284,5
00:14.687,1-6
00:14.953,25
00:15.222,3
00:15.356,5
00:15.489,2
00:15.624,4
00:15.892,1
00:16.026,16
00:16.293,2
00:16.427,5
00:16.560,3
00:16.829,4
00:17.096,25
00:17.365,6
00:17.499,3
00:17.632,6
00:17.900,2
00:18.034,5+
00:18.167,3
00:18.302,35-
00:18.435,6+
00:18.570,2
00:18.971,16-
00:19.240,25
00:19.508,4
00:19.641,2
00:19.775,5
00:19.910,3
00:20.177,6
00:20.312,16
00:20.579,5
00:20.713,2
00:20.847,4
00:21.115,3
00:21.383,25
00:21.650,1
00:21.785,4
00:21.918,1
00:22.186,5
00:22.320,2+
00:22.454,4
00:22.588,2-4
00:22.723,1+
00:22.856,5
00:23.257,1-6
00:23.526,25
00:23.793,3
00:23.927,5
00:24.062,2
00:24.195,4
00:24.463,1
00:24.598,16
00:24.864,2
00:24.999,5
00:25.134,3
00:25.401,4
00:25.668,25
00:25.936,6
00:26.070,3
00:26.204,6
00:26.472,2
00:26.606,5+
00:26.740,3
00:26.874,5-3
00:27.007,6+
00:27.142,2
00:27.543,16-
00:27.812,25
00:28.079,4
00:28.214,1
00:28.347,4
00:28.615,2
00:28.749,5
00:28.883,2R
00:29.150,3
00:29.284,6
00:29.420,3U
00:29.687,5
00:29.820,2
00:29.954,14
00:30.091,4
00:30.223,1
00:30.355,5
00:30.489,2
00:30.624,6
00:30.757,3
00:30.892,4+
00:31.159,14-
00:31.293,5+
00:31.561,25-
00:31.695,6+
00:31.963,6-3
00:32.097,25
00:32.231,5
00:32.365,3
00:32.499,4
00:32.633,2
00:32.767,5
00:32.901,1
00:33.036,6
00:33.169,25
00:33.305,3
00:33.438,4
00:33.570,5
00:33.703,2
00:33.838,4
00:33.973,3
00:34.240,25
00:34.508,1
00:34.642,5
00:34.776,2
00:34.909,4
00:35.044,3
00:35.178,5+
00:35.312,2
00:35.445,25-
00:35.579,6+
00:35.848,1
00:35.981,16-
00:36.250,5
00:36.383,25
00:36.651,4
00:36.785,3
00:36.919,5
00:37.053,2
00:37.322,6
00:37.455,16
00:37.722,5
00:37.856,2
00:37.990,4
00:38.125,3
00:38.258,5
00:38.392,2
00:38.526,25
00:38.794,6
00:38.928,2
00:39.062,5
00:39.195,3
00:39.330,4
00:39.464,2+
00:39.598,5
00:39.732,2-5
00:39.865,1+
00:40.134,6
00:40.267,1-6
00:40.535,2
00:40.669,25
00:40.937,3
00:41.071,4
00:41.205,2
00:41.339,5
00:41.607,1
00:41.741,16
00:42.009,2
00:42.142,5
00:42.276,3
00:42.410,4
00:42.544,2
00:42.678,5
00:42.812,25
00:43.081,2
00:43.214,4
00:43.349,3
00:43.482,5
00:43.615,2
00:43.750,6+
00:43.884,1
00:44.018,16-
00:44.152,5+
00:44.419,2
00:44.554,25-
00:44.821,6
00:44.955,16
00:45.223,4
00:45.358,3
00:45.491,5
00:45.625,2
00:45.892,6
00:46.027,16
00:46.295,5
00:46.428,2
00:46.562,6
00:46.696,1
00:46.831,5
00:46.964,2
00:47.098,25
00:47.366,5
00:47.499,3
00:47.633,4
00:47.768,2
00:47.902,5
00:48.036,1+
00:48.169,6
00:48.303,1-6
00:48.438,2+
00:48.705,5
00:48.839,2-5
00:49.107,1
00:49.242,16
00:49.509,2
00:49.643,5
00:49.777,1
00:49.911,6
00:50.045,2
00:50.179,5
00:50.312,3
00:50.446,3
00:50.581,6
00:50.715,6
00:50.848,3
00:50.982,5
00:51.116,2
00:51.251,4
00:51.384,14
00:51.652,6
00:51.786,3
00:51.920,6
00:52.188,2
00:52.322,5
00:52.456,1
00:52.589,4
00:52.724,2
00:52.858,5
00:52.992,3
00:53.125,6
00:53.259,3+
00:53.794,1-5
00:53.929,2
00:54.063,6+
00:54.330,1
00:54.599,16-
00:54.732,5
00:54.866,2
00:55.000,4
00:55.135,3
00:55.402,2
00:55.535,5
00:55.670,3
00:55.937,4
00:56.072,2
00:56.206,5
00:56.473,2
00:56.608,4
00:56.742,1
00:56.875,5
00:57.009,2
00:57.143,6
00:57.278,3
00:57.412,5
00:57.545,2+
00:58.081,1-5
00:58.215,2
00:58.349,4
00:58.616,3
00:58.750,5
00:58.885,2
00:59.019,4
00:59.287,15
00:59.554,24
00:59.822,3
00:59.956,63
01:00.223,1
01:00.358,4
01:00.491,1
01:00.759,5
01:00.894,2
01:01.027,6
01:01.162,3
01:01.295,5
01:01.430,2
01:01.563,4
01:01.697,1
01:01.830,4+
01:02.367,6-2
01:02.501,5
01:02.635,1+
01:02.902,6
01:03.171,1-6
01:03.305,2
01:03.439,5
01:03.572,3
01:03.706,4
01:03.974,5
01:04.108,2
01:04.242,4
01:04.510,3
01:04.644,5
01:04.778,2
01:05.046,6
01:05.179,3
01:05.313,5
01:05.448,2
01:05.582,4
01:05.715,1
01:05.848,25
01:06.117,1U6U
01:06.653,34
01:06.920,25
01:07.189,16
01:07.456,5
01:07.591,3
01:07.724,4
01:07.857,2
01:07.992,5
01:08.125,3
01:08.261,4
01:08.394,2
01:08.528,5R
01:08.796,1
01:08.930,6L
01:09.197,5
01:09.331,2
01:09.466,5R
01:09.868,4
01:10.002,1
01:10.135,5
01:10.269,2
01:10.403,6
01:10.537,3
01:10.671,6+
01:10.939,6-2
01:11.073,5
01:11.207,1+
01:11.475,1-4
01:11.609,2
01:11.743,5
01:11.876,3
01:12.010,4
01:12.144,2
01:12.278,5
01:12.545,1
01:12.680,4
01:12.814,1+
01:13.082,1-5
01:13.215,2
01:13.350,6+
01:13.617,6-3
01:13.752,5
01:13.886,2
01:14.020,4
01:14.153,3
01:14.287,5
01:14.421,2
01:14.689,5
01:14.823,3
01:14.957,6R
01:15.091,2
01:15.225,5
01:15.359,3
01:15.493,6R
01:15.760,2
01:15.895,4
01:16.028,1L
01:16.162,5
01:16.296,2
01:16.431,4
01:16.564,1L
01:16.832,5
01:16.965,2
01:17.100,5U
01:17.369,3
01:17.503,4
01:17.635,2
01:17.769,5
01:17.905,3
01:18.038,4
01:18.171,2
01:18.305,25
01:18.572,16
01:18.841,5
01:18.975,1
01:19.109,4
01:19.243,1+
01:19.511,1-5
01:19.645,2
01:19.779,6+
01:20.046,6-3
01:20.180,5
01:20.315,2
01:20.448,4
01:20.582,3
01:20.716,5
01:20.850,2
01:21.118,6
01:21.252,3
01:21.386,6+
01:21.653,6-2
01:21.787,5
01:21.922,1+
01:22.190,1-4
01:22.323,2
01:22.457,5
01:22.592,3
01:22.725,4
01:22.859,2
01:22.993,5
01:23.260,1
01:23.395,4
01:23.529,1R
01:23.663,5
01:23.797,2
01:23.930,6
01:24.064,3
01:24.332,6
01:24.466,3
01:24.599,6L
01:24.734,2
01:24.868,5
01:25.003,1
01:25.136,4
01:25.404,2
01:25.538,5
01:25.671,2R
01:25.807,4
01:25.939,3
01:26.073,6
01:26.207,1
01:26.341,4
01:26.474,3
01:26.609,6
01:26.743,2L
01:26.876,5
01:27.145,16
01:27.413,5
01:27.547,2
01:27.681,5
01:27.815,2U
01:28.217,5
01:28.351,2
01:28.618,6
01:28.752,3
01:28.886,6
01:29.020,2
01:29.154,5
01:29.288,1
01:29.422,4
01:29.689,2
01:29.824,5
01:29.958,2
01:30.225,3
01:30.359,6
01:30.494,3L
01:30.761,5
01:30.895,2
01:31.029,5
01:31.163,1
01:31.296,4
01:31.431,4
01:31.565,1R
01:31.699,5
01:31.833,2
01:31.966,2
01:32.100,5L
01:32.502,4
01:32.636,2
01:32.771,5
01:32.905,1
01:33.038,6
01:33.172,2R
01:33.306,5
01:33.441,3
