00:03.837,1
00:04.207,6
00:04.577,1R6L
00:04.764,4
00:04.949,3
00:05.134,2+5+
00:05.504,2-5-
00:05.688,6
00:06.060,1R6L
00:06.245,3
00:06.428,4
00:06.615,2+
00:06.661,5+
00:06.708,2-
00:06.754,5-
00:06.798,2
00:07.154,1
00:07.525,1R6L
00:07.709,4
00:07.894,3
00:08.082,2+5+
00:08.449,2-5-
00:08.633,3
00:08.818,4
00:09.006,35
00:09.192,5
00:09.378,26
00:09.560,6
00:09.747,1L
00:09.932,2
00:10.117,3
00:10.303,4
00:10.487,6R
00:10.672,5
00:10.857,4
00:11.044,3
00:11.227,2
00:11.320,5
00:11.412,2
00:11.506,5
00:11.599,1
00:11.692,6
00:11.782,1
00:11.884,6
00:11.979,1R
00:12.709,25
00:13.455,16
00:13.639,4
00:13.821,3
00:14.007,2+5+
00:14.563,2-5-
00:14.933,3
00:15.304,4
00:15.489,5+
00:15.535,2+
00:15.582,5-
00:15.627,2-
00:15.674,5+
00:16.414,16-
00:16.595,1
00:16.785,1
00:16.969,1U6U
00:17.156,5
00:17.340,2+
00:17.714,2-5+
00:18.088,35-
00:18.270,4
00:18.451,5+
00:18.497,3+
00:18.544,5-
00:18.591,3-
00:18.637,4+
00:18.823,2
00:19.009,24-
00:19.191,15+
00:19.377,1
00:19.563,15-
00:19.748,24
00:19.933,2
00:20.117,1+5
00:20.304,5
00:20.490,1-5
00:20.674,2+6
00:20.860,6
00:21.050,2-6
00:21.245,35
00:21.431,5
00:21.624,2
00:21.710,5
00:21.802,3
00:21.899,4
00:21.987,2
00:22.083,5
00:22.189,3
00:22.267,4
00:22.371,2
00:22.452,5
00:22.553,3
00:22.638,4
00:22.737,2
00:22.837,5
00:22.921,3
00:23.009,4
00:23.108,2L
00:23.851,5+
00:24.041,25-
00:24.134,6+
00:24.319,6-3
00:24.411,5+
00:24.597,25-
00:24.690,4
00:24.875,3
00:25.060,2+
00:25.246,2-5
00:25.338,1+
00:25.522,1-4
00:25.615,2+
00:25.800,2-5
00:25.986,3
00:26.078,6+
00:26.264,2+6-
00:26.447,2-4
00:26.634,1
00:26.819,3+
00:26.865,5+
00:26.911,3-
00:26.957,5-
00:27.003,2
00:27.190,4
00:27.282,2+
00:27.461,2-5+
00:27.640,15-
00:27.735,6+
00:27.920,26-
00:28.012,5+
00:28.195,15-
00:28.287,4
00:28.372,3+
00:28.654,2-5
00:28.746,2
00:28.839,6
00:29.022,16
00:29.394,25
00:29.762,6+3
00:29.951,2
00:30.135,16-
00:30.319,5
00:30.491,16
00:30.692,2
00:30.783,5
00:30.877,3
00:31.069,4
00:31.247,2+5
00:31.618,2-4
00:31.987,16
00:32.173,5+
00:32.219,3+
00:32.265,5-
00:32.313,3-
00:32.359,6
00:32.544,2
00:32.729,2+4
00:32.913,5+
00:33.099,2-5-
00:33.284,2
00:33.468,16
00:33.654,5
00:33.748,2
00:33.840,4
00:34.025,3
00:34.210,25+
00:34.487,35-
00:34.580,5
00:34.765,2
00:34.950,16
00:35.322,25
00:35.691,2+4
00:35.877,5
00:36.062,2-6
00:36.248,2
00:36.432,16
00:36.617,5
00:36.711,2
00:36.800,4
00:36.988,3
00:37.173,25+
00:37.544,35-
00:37.914,16
00:38.095,2+
00:38.141,4+
00:38.184,2-
00:38.229,4-
00:38.279,1
00:38.452,5
00:38.639,35+
00:38.850,2+
00:39.026,2-5-
00:39.211,5
00:39.396,6
00:39.489,1
00:39.581,5
00:39.674,2
00:39.768,4
00:39.859,3
00:39.952,5
00:40.045,2
00:40.137,6
00:40.230,1
00:40.312,5
00:40.398,2
00:40.491,6R
00:40.861,16
00:41.232,2
00:41.601,3R
00:41.973,5
00:42.158,1+
00:42.342,4
00:42.528,1-4
00:42.713,1
00:42.898,5
00:43.084,25
00:43.454,63
00:43.824,4
00:44.010,3+
00:44.056,5+
00:44.101,3-
00:44.147,5-
00:44.195,2L
00:44.565,3
00:44.750,5R
00:44.937,2
00:45.121,1+
00:45.306,4
00:45.491,1-4
00:45.676,1
00:45.769,5
00:45.860,2
00:45.953,6
00:46.054,3+
00:46.328,3-6
00:46.417,3
00:46.509,5
00:46.602,2
00:46.788,16
00:47.156,25
00:47.531,1+4+
00:47.714,4-
00:47.897,1-5
00:47.991,2
00:48.081,6+
00:48.272,36-
00:48.366,5
00:48.462,3
