00:02.253,2+
00:02.698,2-1L
00:02.920,2+
00:03.587,2-1L
00:03.809,2+
00:04.475,1L2-
00:04.698,2+
00:05.365,2-1L
00:05.587,2
00:05.809,2+
00:06.253,2-1L
00:06.476,2+
00:07.142,12-
00:07.364,1L
00:08.921,1U2U
00:09.365,2+
00:09.809,1+2-
00:10.253,1-2+
00:10.698,2-1U
00:10.920,2U
00:11.587,2
00:11.810,1
00:12.031,2+
00:12.476,12-
00:12.699,2
00:12.921,1+
00:13.254,1-2+
00:13.587,12-
00:14.032,2
00:14.253,1
00:14.477,2+
00:14.921,12-
00:15.143,2
00:15.365,1
00:15.587,12
00:16.032,12
00:16.476,1+
00:16.921,1-2
00:17.143,1
00:17.366,2+
00:17.810,2U
00:18.032,1U
00:18.699,1
00:18.921,2
00:19.143,1+
00:19.588,1-2R
00:20.032,2+
00:20.476,1+2-
00:20.920,1-2
00:21.143,1
00:21.366,2
00:21.588,1U
00:23.811,1
00:23.922,2
00:24.032,1
00:24.255,2
00:24.477,1
00:24.588,2
00:24.810,1
00:25.143,1+
00:25.588,1-2
00:25.810,1
00:26.032,1
00:26.254,2
00:26.365,1
00:26.588,2
00:26.921,2+
00:27.366,12-
00:27.588,2
00:27.810,1
00:28.032,2
00:28.254,1
00:28.700,2+
00:29.143,1+2-
00:29.588,1-2
00:30.033,2
00:30.254,1
00:30.477,2
00:30.921,1
00:31.033,2
00:31.144,1
00:31.365,2
00:31.589,1
00:31.700,2
00:31.921,1
00:32.254,1+
00:32.699,1-2
00:32.922,1
00:33.143,1
00:33.366,2
00:33.477,1
00:33.700,2
00:34.033,2+
00:34.477,12-
00:34.700,2
00:34.922,1
00:35.143,2
00:35.366,1
00:35.811,2+
00:36.255,12-
00:36.478,2
00:36.700,1
00:37.366,2
00:37.588,1
00:37.811,2+
00:38.255,12-
00:38.477,2
00:38.699,1
00:38.922,2
00:39.145,1
00:39.366,2+
00:39.588,1
00:40.033,1
00:40.477,12-
00:40.923,1
00:41.144,2
00:41.367,1+
00:41.810,1-2
00:42.034,2
00:42.144,1
00:42.255,2+
00:42.589,1+2-
00:42.922,1-
00:43.145,2+
00:43.477,2-1+
00:43.811,1-
00:44.033,2+
00:44.478,1
00:44.923,12-
00:45.145,2
00:45.367,2
00:45.588,2
00:45.811,1
00:46.034,1
00:46.256,1
00:46.478,2+
00:46.922,1+2-
00:47.367,1-2+
00:47.811,12-
00:48.256,2+
00:48.700,12-
00:48.922,2
00:49.367,1
00:49.589,2
00:49.812,1
00:50.034,2+
00:50.256,1
00:50.700,1
00:51.145,1
00:51.589,1+2-
00:52.034,1-2U
00:52.256,1
00:52.479,1
00:52.701,1
00:52.923,2
00:53.145,2
00:53.367,2
00:53.589,1+
00:54.034,1-2+
00:54.479,1+2-
00:54.923,1-2+
00:55.367,1+2-
00:56.034,1-2
00:56.478,2
00:56.700,1
00:56.923,2
00:57.146,1+
00:57.368,2
00:57.812,2
00:58.257,1-2
00:58.701,1+2+
00:59.145,1-2-
00:59.590,2
00:59.812,1
01:00.034,2
01:00.256,1
01:00.479,2
01:00.700,1+
01:01.145,1-2
01:01.368,2+
01:01.812,12-
01:02.257,2
01:02.479,1
01:02.701,2+
01:03.145,1+2-
01:03.590,1-2
01:03.812,2
01:04.257,1+2+
01:05.368,1U2U
01:06.257,12+
01:06.702,1+2-
01:07.146,1-2+
01:07.590,1+2-
01:08.034,1-2+
01:08.479,12-
01:08.701,1+2+
01:09.367,1-2-
01:09.812,1+2
01:10.257,1-2+
01:10.702,1+2-
01:11.146,1-2+
01:11.591,1+2-
01:12.035,1-2
01:12.258,1+2+
01:12.924,1-2-
01:13.146,1
01:13.257,2
01:13.368,1+
01:13.702,1-2+
01:14.035,2-
01:14.257,1+2+
01:14.702,1-2-
01:14.924,1
01:15.035,2
01:15.146,1+
01:15.480,1-2+
01:15.813,2-
01:16.034,1
01:16.257,2
01:16.480,1
01:16.702,12
01:17.146,12
01:17.591,12
01:17.812,1+2+
01:18.702,1L2L
01:19.146,1+
01:19.592,1-2+
01:20.035,12-
01:20.479,12+
01:20.924,1+2-
01:21.368,1-2+
01:21.813,2-1+
01:22.258,1-2+
01:22.702,12-
01:22.925,1+2U
01:23.591,1-2
01:24.036,1+2
01:24.480,1-2+
01:24.924,1+2-
01:25.368,1-2+
01:25.814,1+2-
01:26.258,1-2
01:26.481,1+2+
01:27.146,1-2-
01:27.369,2
01:27.592,1+2
01:28.036,1-
01:28.258,1
01:28.480,12+
01:28.925,2-
01:29.147,2
01:29.369,1+2
01:29.814,1-
01:30.036,1
01:30.258,12+
01:30.592,1+2-
01:30.925,1-2
01:31.147,2+1U
01:31.814,12-
01:32.036,1+2+
01:32.925,1-2-
01:33.369,1+2+
01:33.814,1R2L
01:34.691,(1.5)
01:41.814,2+
01:42.259,1+2-
01:42.703,1-2+
01:43.148,2-1U
01:43.370,2U
01:44.037,2
01:44.258,1
01:44.481,2+
01:44.925,12-
01:45.369,1+
01:45.815,1-2+
01:46.259,12-
01:46.481,2
01:46.704,1
01:46.926,2+
01:47.370,12-
01:47.592,2
01:47.815,1
01:48.037,12
01:48.481,12
01:48.926,1+2U
01:49.370,2U
01:49.814,2L
01:50.260,1-2U
01:50.480,1U
01:51.148,1
01:51.371,2
01:51.592,1+
01:52.037,1-2
01:52.482,2+
01:52.926,12-
01:53.148,1
01:53.371,2
01:53.593,1
01:53.815,2
01:54.037,1+
01:55.593,1-
01:56.037,1+2R
01:59.593,2SL
