00:02.854,2+
00:03.195,12-
00:03.366,2+
00:03.707,12-
00:03.867,2
00:04.203,1+
00:04.544,1-2
00:04.715,1+
00:05.055,1-2
00:05.226,1
00:05.568,2+
00:05.910,12-
00:06.081,2+
00:06.422,12-
00:06.593,2
00:07.275,1
00:07.615,2
00:07.956,1
00:08.297,2
00:08.638,1
00:08.979,2
00:09.320,1
00:09.660,2
00:10.001,2
00:10.343,1
00:10.683,1
00:11.025,2
00:11.195,1+
00:11.365,2+
00:12.387,1-2-
00:12.729,2
00:13.069,1
00:13.412,2
00:13.752,1+
00:14.094,1-2
00:14.265,1+
00:14.606,1-2
00:14.777,1
00:15.118,2+
00:15.459,12-
00:15.630,2+
00:15.970,12-
00:16.141,2
00:16.483,1+
00:16.824,1-2
00:16.995,1+
00:17.335,1-2
00:17.506,1
00:18.188,2
00:18.529,1
00:18.878,2
00:19.228,1
00:19.482,1
00:19.728,1
00:19.875,2
00:20.131,2
00:20.386,2
00:20.557,1
00:20.813,1
00:21.069,1
00:21.409,2
00:21.579,1
00:21.750,2
00:21.921,1R
00:22.176,2
00:22.432,1
00:22.602,2L
00:22.858,1
00:23.114,2+
00:23.287,1+
00:23.968,1-2-
00:24.659,1+
00:25.006,1-2
00:25.174,1
00:25.517,2+
00:25.857,12-
00:26.538,2
00:26.709,1
00:26.879,2
00:27.050,1
00:27.221,2
00:27.391,1+
00:27.902,1-2
00:28.073,1
00:28.755,1+
00:29.097,2
00:29.266,1-
00:29.436,21+
00:29.778,2
00:30.120,21-
00:30.289,1
00:30.461,2
00:30.631,1
00:30.971,2
00:31.141,1
00:31.312,2
00:31.482,1
00:31.652,2
00:31.822,1
00:31.986,2
00:32.328,1
00:32.498,2
00:32.669,1
00:32.840,2+
00:33.181,1+2-
00:33.522,1-2
00:33.864,1
00:34.035,2
00:34.205,1+
00:34.546,1-2+
00:34.888,12-
00:35.230,2
00:35.401,1
00:35.570,2+
00:36.254,1R
00:36.936,1L
00:37.618,1R2-
00:38.300,1U2U
00:40.177,2
00:40.347,1U
00:40.687,2
00:41.028,1+
00:41.371,1-2+
00:41.694,12-
00:42.035,2
00:42.205,1
00:42.376,2
00:42.718,1
00:43.060,2
00:43.401,12+
00:44.077,1+2-
00:44.415,1-2
00:44.756,1
00:44.928,2
00:45.098,1
00:45.438,2
00:45.777,1
00:46.118,2
00:46.459,1+
00:46.801,1-2+
00:47.140,1+2-
00:47.482,1-2
00:47.824,2+
00:48.165,1+2-
00:48.503,1-2+
00:48.845,12-
00:49.186,1+2
00:49.871,1-2+
00:50.560,1+2-
00:51.076,1-2
00:51.251,1
00:51.590,12
00:52.273,1+2
00:52.614,1-2+
00:52.955,12-
00:53.126,2
00:53.296,1
00:53.636,2
00:53.978,1
00:54.319,2
00:54.660,1+
00:55.001,1-2+
00:55.341,1+2-
00:55.681,1-2
00:56.019,1
00:56.275,2
00:56.531,1+2+
00:57.044,1-2-
00:57.555,1
00:57.727,2
00:57.897,1
00:58.067,2+
00:58.322,1+2-
00:58.579,1-2
00:58.749,1
00:59.091,2
00:59.439,1
00:59.777,2
01:00.114,1!
01:05.564,12
01:06.077,2
01:06.248,1
01:06.759,1
01:06.930,2+
01:07.186,1+2-
01:07.442,1-2
01:07.612,1
01:07.938,2+
01:08.279,12-
01:08.620,1+
01:08.962,1-2
01:09.132,1
01:09.303,2
01:09.473,1
01:09.644,2+
01:09.985,1+2-
01:10.326,1-2
01:11.179,1
01:11.350,2
01:11.521,1
01:11.691,2+
01:11.947,1+2-
01:12.203,1-2
01:12.544,2
01:12.715,1
01:12.885,2
01:13.054,1+
01:13.311,1-2+
01:13.567,12-
01:13.907,1
01:14.077,2
01:14.248,1
01:14.419,2+
01:14.760,12-
01:14.930,2
01:15.100,1+
01:15.355,1-2+
01:15.610,12-
01:15.782,2
01:16.474,1R2
01:17.160,2
01:17.674,2
01:17.845,1R
01:18.527,1
01:19.038,2+
01:19.208,1+
01:20.228,1-2-
01:20.570,2
01:20.912,1
01:21.253,2
