00:04.588,5+
00:04.930,25-
00:05.100,6+
00:05.441,36-
00:05.611,5
00:05.948,2+
00:06.289,2-5
00:06.459,1+
00:06.800,1-4
00:06.972,2
00:07.314,5+
00:07.654,25-
00:07.825,6+
00:08.166,36-
00:08.337,5
00:08.678,24
00:09.020,1+
00:09.361,1-6+
00:09.703,6-2
00:10.044,1+
00:10.385,5
00:10.726,6
00:10.898,5
00:11.067,4
00:11.407,6
00:11.457,6
00:11.748,5
00:12.090,4
00:12.261,5
00:12.432,1-6
00:12.773,5
00:12.943,2
00:13.114,6+
00:13.456,3
00:13.627,2
00:13.797,1
00:14.134,26-
00:14.293,5
00:14.464,4
00:14.635,3+
00:14.719,5
00:14.805,3-
00:14.975,4+
00:15.060,2
00:15.146,4-
00:15.316,3
00:15.402,5
00:15.488,3+
00:15.828,2-6
00:15.998,1+
00:16.169,5
00:16.339,1-5
00:16.511,2
00:16.681,3
00:16.851,4+
00:17.192,15-
00:17.364,6+
00:17.534,2
00:17.705,6-2
00:17.881,5
00:18.051,4
00:18.222,3+
00:18.557,2-6
00:18.728,1+
00:18.898,5
00:19.070,1-5
00:19.240,2
00:19.411,3
00:19.582,24
00:19.922,16+
00:20.263,3+6-
00:20.607,3-5
00:20.777,2
00:20.944,1+
00:21.194,1-5
00:21.288,1
00:21.452,2
00:21.625,6+
00:21.885,26-
00:21.971,6
00:22.135,5
00:22.312,1+
00:22.568,1-4
00:22.653,1
00:22.825,5+
00:22.994,2
00:23.165,35-
00:23.336,4
00:23.507,5
00:23.677,6+1
00:23.936,26-
00:24.014,5+
00:24.184,5-3
00:24.355,1+6
00:24.611,1-5
00:24.696,2+
00:24.866,2-4
00:25.037,2+5
00:25.379,6
00:25.549,1-5
00:25.635,2
00:25.720,4
00:25.891,3
00:25.977,5
00:26.062,2
00:26.232,1
00:26.403,1+4
00:26.744,1-5
00:26.918,4
00:27.086,3
00:27.256,26+
00:27.597,1+6-
00:27.769,5
00:27.939,1-4
00:28.025,2
00:28.110,4
00:28.281,1
00:28.451,2
00:28.622,3
00:28.793,4
00:28.964,5
00:29.134,1+6
00:29.647,1-4
00:29.817,5+
00:29.988,3
00:30.329,25-
00:30.500,16
00:30.670,2
00:30.755,5
00:30.841,3
00:31.012,4
00:31.182,15
00:31.353,2
00:31.438,4
00:31.524,2
00:31.694,5
00:31.780,3
00:31.865,5
00:32.036,4
00:32.207,3
00:32.378,2+
00:32.463,5
00:32.548,2-
00:32.718,1+
00:32.804,4
00:32.889,1-
00:33.061,5+
00:33.145,2
00:33.231,5-
00:33.401,6+
00:33.487,3
00:33.571,6-
00:33.743,2+
00:33.828,5
00:33.914,2-
00:34.084,1+
00:34.170,4
00:34.255,1-
00:34.427,5
00:34.511,2
00:34.597,4+
00:34.937,1+4-
00:35.109,5
00:35.280,1-6
00:35.450,25
00:35.620,3
00:35.791,4
00:35.962,3+
00:36.133,5
00:36.303,6+3-
00:36.474,2
00:36.645,16-
00:36.816,25
00:36.986,4
00:37.157,3
00:37.329,25
00:37.499,3
00:37.669,4
00:37.839,2
00:37.927,5
00:38.011,2R
00:38.182,4
00:38.352,3
00:38.517,5
00:38.685,2L6+
00:38.904,1+6-
00:39.141,1-5
00:39.231,2
00:39.344,4
00:39.457,3
00:39.570,5
00:39.685,2
00:39.799,4
00:39.913,3
00:40.026,5U
00:41.562,25
00:41.733,16
00:41.903,2
00:41.989,5
00:42.074,3
00:42.160,4
00:42.245,2
00:42.330,5
00:42.415,1+
00:42.757,1-4
00:42.928,2
00:43.012,5
00:43.099,2+
00:43.280,6
00:43.417,2L6R
00:43.763,3
00:43.935,4
00:44.117,15
00:44.276,2
00:44.361,4
00:44.446,2+
00:44.634,5
00:44.804,2-5
00:45.142,16+
00:45.484,36-
00:45.655,5
00:45.740,2
00:45.825,5+
00:45.996,1
00:46.166,1R5R
00:46.509,3
00:46.695,4
00:46.856,2+
00:47.036,2-5
00:47.116,2
00:47.201,6+
00:47.378,1
00:47.545,2+6-
00:47.888,2-5
00:48.226,1+
00:48.397,1-4
00:48.482,1
00:48.565,4+
00:48.738,2
00:48.909,2+5-
00:49.250,3-6
00:49.591,6+
00:49.760,36-
00:49.846,6
00:49.931,3+
00:50.102,5
00:50.271,2-5+
00:50.613,14-
00:50.954,25
00:51.125,3
00:51.211,4
00:51.296,2
00:51.466,5
00:51.637,16+
00:51.979,3
00:52.320,16-
00:52.491,5+
00:52.576,2+
00:52.662,5-
00:52.747,2-
00:52.832,5+
00:52.918,2
00:53.003,5-
00:53.361,34
00:53.862,2
00:53.946,5
00:54.030,1+
00:54.371,1-6+
00:54.541,2
