00:04.963,12
00:05.383,1
00:05.585,2
00:05.787,1
00:06.195,2
00:06.404,1
00:06.615,2
00:07.035,1
00:07.245,2
00:07.455,1L
00:07.665,2
00:07.875,1R
00:08.295,12
00:08.722,1
00:08.923,2
00:09.133,1
00:09.553,2
00:09.763,1
00:09.974,2+
00:10.411,12-
00:10.621,1+
00:11.036,1-2
00:11.240,1
00:11.663,12
00:12.084,1
00:12.294,2
00:12.503,1
00:12.923,2
00:13.133,1
00:13.343,2
00:13.762,1
00:13.972,2
00:14.182,1L
00:14.390,2
00:14.586,1R
00:15.003,12
00:15.423,1
00:15.644,2
00:15.841,1
00:16.261,2
00:16.471,1
00:16.682,2
00:16.891,1
00:17.102,2
00:17.311,1U2U
00:18.361,12
00:18.676,2
00:18.782,1
00:19.096,2+
00:19.202,1+
00:19.638,1-2-
00:19.848,1
00:20.051,12
00:20.461,1U2U
00:20.909,2
00:21.097,1
00:21.318,2
00:21.521,1+
00:21.949,1-2
00:22.156,2+
00:22.348,12-
00:22.577,1+
00:22.788,1-2
00:23.191,2
00:23.405,1R2R
00:23.821,1L2L
00:24.258,2R1R
00:24.468,2
00:24.678,1
00:24.870,2+
00:25.308,12-
00:25.510,2
00:25.726,1+
00:26.144,1-2
00:26.555,1
00:26.776,12
00:27.197,1U2U
00:27.616,2
00:27.826,1
00:28.038,2
00:28.234,1+
00:28.663,1-2
00:28.876,1
00:29.077,2+
00:29.490,12-
00:29.714,2
00:29.924,1+2+
00:31.168,1-2-
00:31.378,2
00:31.588,1U
00:32.009,2U
00:32.430,1U
00:32.849,1U2U
00:33.689,2
00:33.899,1
00:34.109,2
00:34.319,1+
00:34.634,1-2+
00:34.949,12-
00:35.368,1
00:35.578,2
00:35.788,1
00:35.998,2+
00:36.418,12-
00:37.049,2
00:37.259,1
00:37.468,2
00:37.676,1+
00:37.999,1-2
00:38.301,1
00:38.504,1+2+
00:38.925,1-2-
00:39.135,2L
00:39.556,1R
00:40.605,1
00:40.816,2
00:41.026,1
00:41.236,2
00:41.447,1
00:41.656,2
00:41.866,1+
00:42.181,1-2+
00:42.496,12-
00:43.140,2+
00:43.350,1+
00:43.547,2R1R
00:43.964,1+
00:44.174,2+
00:44.387,1L2L
00:45.010,2
00:45.221,1
00:45.438,2
00:45.654,1
00:45.865,2+
00:46.272,12-
00:46.494,2
00:46.913,12
00:47.130,2
00:47.319,1
00:47.533,2
00:47.751,1+
00:48.068,1-2+
00:48.372,12-
00:48.583,2L
00:48.797,1
00:48.992,2
00:49.217,1
00:49.428,2
00:49.631,1
00:49.846,2
00:50.267,1L
00:50.478,2
00:50.688,1R
00:50.898,2
00:51.108,1L
00:51.314,2
00:51.524,1R
00:51.721,2
00:51.936,1+
00:52.235,1-2
00:52.490,1+2+
00:52.894,1-2-
00:53.330,1
00:53.436,2
00:53.543,1+
00:53.957,1-2
00:54.154,2+
00:54.588,12-
00:55.002,2
00:55.204,1+
00:55.632,1-2
00:55.856,2+
00:56.263,12-
00:56.675,2
00:56.884,1
00:57.119,2
00:57.321,1
00:57.531,2
00:57.737,1
00:57.945,2
00:58.156,1
00:58.369,1+2+
00:59.825,1-2-
01:00.252,12
01:00.677,1
01:00.778,2+
01:01.098,12-
01:01.509,2
01:01.617,1+
01:01.941,1-2
01:02.362,2
01:02.578,1
01:02.781,2
01:02.995,1
01:03.201,2
01:03.400,1
01:03.621,12
01:04.037,2
01:04.147,1+
01:04.459,1-2
01:04.878,1
01:04.970,2+
01:05.285,12-
01:05.722,1
01:05.932,2
01:06.142,1
01:06.352,2
01:06.562,1
01:06.965,2+
01:07.292,1+2-
01:07.611,1-2
01:07.821,1+
01:08.137,1-2+
01:08.452,12-
01:08.646,2+
01:08.977,1+2-
01:09.286,1-2
01:09.486,1+
01:09.800,1-2+
01:10.115,12-
01:10.326,1+2+
01:11.794,1R2U
01:13.057,2
01:13.267,1
01:13.476,2
01:13.687,1+
01:14.002,1-2
01:14.108,1+
01:14.422,1-2
01:14.532,1
01:14.750,2
01:14.960,1
01:15.171,2+
01:15.595,12-
01:15.817,2
01:16.008,1
01:16.228,2
01:16.645,2
01:16.854,1+
01:17.275,21-
01:17.485,1+
01:17.903,1-2+
01:18.308,2-1
01:18.518,2+
01:18.955,12-
01:19.165,2
01:19.375,1
01:19.586,1R2L
01:20.216,1
01:20.425,2+
01:20.724,12-
01:20.829,2+
01:21.145,12-
01:21.249,2
01:21.459,1
01:21.669,2
01:21.879,1+
01:22.299,1-2
01:22.509,1
01:22.725,2
01:22.943,1+2+
01:23.366,1-2-
01:23.569,2U1U
01:23.979,1
01:24.190,1U2U
01:24.610,2U1U
01:25.030,2
01:25.257,1+
01:25.676,1-2
01:25.885,2+
01:26.305,12-
01:26.516,2
01:26.726,1
01:26.937,2
01:27.146,1+
01:27.462,1-2
01:27.567,1+
01:27.867,1-2
01:27.988,1
01:28.177,2
01:28.389,1
01:28.599,2+
01:29.024,12-
01:29.230,2
01:29.441,1
01:29.666,2
01:30.088,2
01:30.284,1+
01:30.717,1-2
01:30.911,1+
01:31.330,1-2
01:31.556,1
01:31.765,2
01:31.978,1+
01:32.396,1-2+
01:32.817,12-
01:33.027,1R2L
01:33.655,1
01:33.867,2+
01:34.165,12-
01:34.270,2+
01:34.585,12-
01:34.690,2
01:34.900,1
01:35.110,2
01:35.320,1
01:35.741,2
01:35.951,1
01:36.160,2
01:36.371,1
01:36.582,2
01:36.796,1
01:37.019,1+2+
01:37.648,1-2-
01:37.850,1+2+
01:39.741,1-2-
01:40.166,1U2U
01:40.539,1!
01:47.291,12
01:47.712,1
01:47.921,2
01:48.132,1
01:48.551,2
01:48.762,1
01:48.979,2
01:49.392,1
01:49.602,2
01:49.812,1L
01:50.022,2
01:50.233,1R
01:50.669,12
01:51.088,1
01:51.299,2
01:51.509,1
01:51.929,2
01:52.139,1
01:52.349,2
01:52.559,1
01:52.768,2
01:52.979,1U2U
01:54.029,12
01:55.063,12
01:55.693,12
01:56.759,12
01:57.389,12
01:58.439,12
01:59.069,12
01:59.683,1+2+
02:02.219,1U2U
