00:04.967,14
00:05.387,2
00:05.807,4L
00:06.226,2
00:06.646,4R
00:07.072,2
00:07.463,1L3L
00:07.885,4R2R
00:08.304,1+4+
00:09.145,4-2L
00:09.985,1+4+
00:10.631,2L3R
00:11.678,4+
00:12.103,4L
00:12.511,1+
00:12.944,1R
00:13.365,1+4+
00:13.786,2-3-
00:14.203,1L3L
00:14.612,4R2R
00:15.033,2
00:15.468,3
00:15.885,2
00:16.312,41
00:16.721,4L1R
00:17.358,2U3U
00:18.391,2
00:18.812,3
00:19.249,2R
00:20.087,1+4+
00:20.508,4U1U
00:20.927,2
00:21.347,3
00:21.759,2R
00:22.174,3L
00:22.590,2R
00:23.016,14
00:23.436,3+
00:23.863,4-1
00:24.285,3+
00:24.700,4-1
00:25.124,2+3+
00:25.548,1-4-
00:25.963,2+3+
00:26.384,1-4-
00:26.804,1+4+
00:27.231,1U4U
00:27.633,2
00:28.062,3
00:28.480,2R
00:28.903,3L
00:29.323,2R
00:29.727,24
00:29.945,2+4+
00:30.533,1=3=
00:31.183,4-2-
00:31.611,2U
00:32.030,3U
00:32.433,2U
00:32.852,1U4U
00:33.499,1+4+
00:34.337,1-4-
00:35.176,1+4+
00:36.016,4-1U
00:36.841,4+2+
00:37.688,1-4-
00:38.530,1R4L
00:39.166,3L
00:39.588,2R
00:40.218,1+3+
00:41.058,4-2-
00:41.898,1+4+
00:42.748,1-4-
00:43.589,1+3+
00:44.416,2=4=
00:45.264,1R3R
00:45.893,4+1+
00:46.523,4-1-
00:46.926,2
00:47.346,3
00:47.767,1+4+
00:48.195,1-4-
00:48.618,4L
00:49.042,3
00:49.372,2
00:49.793,3
00:50.213,2L
00:50.632,1R
00:51.053,2L
00:51.489,1R
00:51.910,4+2+
00:52.539,3-1U
00:53.589,1
00:54.009,13
00:54.429,4
00:54.849,42
00:55.270,1
00:55.689,13
00:56.110,4
00:56.526,24
00:56.933,1+4+
00:57.348,1-4-
00:57.756,1+4+
00:58.192,1-4-
00:58.596,2+3+
00:59.857,1-4-
01:00.277,1U4U
01:01.117,1R4L
01:01.957,2L3R
01:02.798,1R4L
01:03.639,2U3U
01:04.478,4U1U
01:05.325,3U2U
01:06.181,1L
01:06.595,4R
01:07.033,4+1
01:07.446,1
01:07.871,2
01:08.289,3-2
01:08.699,2+3
01:09.133,3
01:09.554,4
01:09.969,1-4
01:10.997,2=3=
01:10.390,1+4+
01:11.864,4U1R
01:13.753,1
01:14.172,13
01:14.593,4
01:14.999,24
01:15.429,1+3+
01:15.855,1-3-
01:16.276,4+2+
01:16.694,2-4-
01:17.114,2+
01:17.526,1-4
01:17.951,2+
01:18.362,41-
01:18.788,4L1R
01:19.635,1R4L
01:20.471,1+3+
01:20.899,2-4-
01:21.314,2+4+
01:21.731,1-3-
01:22.158,1+3+
01:22.565,4-2-
01:22.962,1+4+
01:23.402,2-3-
01:23.812,2U3U
01:24.234,2U3U
01:24.656,2U3U
01:25.287,2+4+
01:25.911,1-3-
01:26.332,1+3+
01:26.746,4-2-
01:27.165,1
01:27.594,13
01:28.016,4
01:28.440,42
01:28.857,1+3+
01:29.286,1-3-
01:29.697,2+4+
01:30.108,4-2-
01:30.520,2+
01:30.943,1-4
01:31.370,2+
01:31.808,1-4
01:32.217,1R4L
01:33.058,4L1R
01:33.915,14
01:34.335,3
01:34.755,2
01:35.174,1
01:35.596,4U1U
01:36.001,2
01:36.419,4
01:36.839,2
01:37.048,4+
01:37.888,1+4-
01:38.746,4+
01:39.795,1-4-
01:40.198,2U3U
01:40.611,1!
01:47.356,4+
01:47.774,4L
01:48.179,1+
01:48.616,1R
01:49.036,1+4+
01:49.447,2-3-
01:49.876,1L3L
01:50.297,2R4R
01:50.716,2
01:51.136,3
01:51.539,2
01:51.959,41
01:52.380,1R4L
01:53.009,2U3U
01:54.060,14
01:55.110,23
01:55.740,14
01:56.775,23
01:57.433,14
01:58.484,23
01:59.116,14
01:59.833,1+4+
02:02.143,2U3U
