00:05.746,25
00:06.149,4
00:06.254,1
00:06.359,4+
00:06.568,14-
00:06.779,25
00:06.989,3
00:07.094,6
00:07.199,3+
00:07.409,3-6
00:07.829,3
00:07.934,5
00:08.039,2
00:08.144,4
00:08.250,1
00:08.368,5
00:08.476,2
00:08.686,36
00:08.896,5
00:09.001,2
00:09.106,4
00:09.526,2
00:09.631,5
00:09.736,3
00:09.841,4
00:09.946,2+
00:10.156,2-5
00:10.365,16
00:10.582,5
00:10.685,2
00:10.785,6+
00:11.205,35-
00:11.416,2+4
00:11.818,1-6
00:12.028,25
00:12.239,4
00:12.344,3
00:12.448,5
00:12.869,4
00:12.974,1
00:13.078,4+
00:13.283,14-
00:13.491,25
00:13.701,3
00:13.808,6
00:13.915,3+
00:14.123,63-
00:14.541,3
00:14.646,5
00:14.751,2
00:14.856,4
00:14.961,1
00:15.069,5
00:15.171,2
00:15.389,36
00:15.598,5
00:15.706,2
00:15.803,4
00:16.228,2
00:16.345,5
00:16.445,3
00:16.533,4
00:16.657,2+
00:16.861,2-5
00:17.090,16
00:17.283,5
00:17.400,2
00:17.508,4+
00:17.725,2+4-
00:17.930,2-5
00:18.137,1U6U
00:19.172,16
00:19.488,2
00:19.593,5
00:19.920,1
00:20.007,4
00:20.101,2
00:20.207,5
00:20.321,3
00:20.432,6
00:20.641,4
00:20.859,2+5+
00:21.096,2-5-
00:21.270,1U6U
00:21.463,2
00:21.674,3+5
00:21.896,3-6
00:21.990,2
00:22.107,5+
00:22.300,1+5-
00:22.510,4
00:22.720,1-5
00:22.826,2
00:22.930,6+
00:23.151,26-
00:23.255,5
00:23.350,1+
00:23.561,1-6
00:23.770,25
00:23.980,4
00:24.191,2R5R
00:24.401,3
00:24.610,3L6L
00:24.821,5
00:25.031,2R5R
00:25.252,3
00:25.343,4
00:25.449,2
00:25.659,5+1
00:25.868,2
00:26.092,6-3
00:26.203,5
00:26.294,3
00:26.516,2+6
00:26.738,5
00:26.931,1-4
00:27.029,2
00:27.143,4
00:27.355,3
00:27.564,2+5+
00:27.771,2-5-
00:27.969,1U6U
00:28.192,2
00:28.386,3+5
00:28.613,3-6
00:28.716,2
00:28.821,5+
00:29.022,1+5-
00:29.258,4
00:29.446,1-5
00:29.559,2
00:29.664,6+
00:29.858,26-
00:29.976,5
00:30.082,3
00:30.287,4
