00:01.337,1R2L
00:02.192,1R2L
00:03.050,1R2L
00:03.897,1R2L
00:04.320,2
00:04.749,1R2L
00:05.198,1
00:05.296,2
00:05.500,2
00:05.608,1R
00:05.822,2
00:06.037,1
00:06.465,1R2L
00:06.895,2
00:07.008,1
00:07.219,1
00:07.322,2L
00:07.543,1
00:07.761,2
00:08.199,1R2L
00:08.644,1
00:08.751,2
00:08.966,2
00:09.073,1R
00:09.287,2
00:09.501,12+
00:09.714,1
00:09.923,1
00:10.136,1
00:10.351,12-
00:10.781,1R2L
00:11.200,1!
00:18.073,12+
00:18.288,2-
00:18.502,1+2
00:18.717,1-
00:18.931,1+2
00:19.253,1-2+
00:19.575,12-
00:19.789,2
00:19.996,1
00:20.210,2
00:20.425,1
00:20.640,2
00:20.747,1
00:20.961,12
00:21.498,12
00:21.712,1
00:21.927,2
00:22.141,1
00:22.356,12
00:22.570,2
00:22.677,1
00:22.999,21L
00:23.428,1
00:23.643,2
00:24.071,12
00:24.500,12
00:24.930,12
00:25.144,1
00:25.358,2
00:25.788,1+2
00:26.108,1-2+
00:26.426,12-
00:26.854,2
00:27.068,1
00:27.497,12+
00:27.818,1+2-
00:28.140,1-2
00:28.570,1
00:28.784,2
00:29.214,1+2
00:29.532,1-2+
00:29.839,12-
00:30.269,2
00:30.483,1
00:30.909,1L2R
00:31.217,12
00:31.544,1U2
00:31.969,1
00:32.187,2
00:32.414,1
00:32.521,2+
00:32.843,12-
00:33.057,1
00:33.271,2
00:33.487,2
00:33.709,1
00:33.918,1
00:34.144,2
00:34.247,1+
00:34.572,1-2
00:35.002,1
00:35.209,12
00:35.427,2
00:35.642,1
00:36.070,2
00:36.285,1
00:36.499,2
00:36.714,12
00:37.143,2
00:37.358,1
00:37.571,2
00:37.786,12
00:38.216,12
00:38.859,2
00:39.074,1
00:39.287,2
00:39.395,1+
00:39.717,1-2
00:39.931,2
00:40.146,1
00:40.360,1
00:40.575,2
00:40.789,2
00:41.004,1
00:41.110,2+
00:41.431,12-
00:41.860,2
00:42.075,12
00:42.288,1
00:42.503,2
00:42.932,1
00:43.146,2
00:43.361,1
00:43.575,12
00:44.003,1
00:44.216,2
00:44.429,1
00:44.644,12
00:45.072,12
00:45.503,1U
00:45.717,2
00:45.930,12
00:46.357,12
00:46.679,1
00:47.001,12
00:47.429,2
00:47.644,12
00:48.072,12
00:48.501,12
00:49.145,2
00:49.360,12
00:49.788,12
00:50.093,2
00:50.413,12
00:50.842,2
00:51.056,12
00:51.484,12
00:51.806,12
00:52.126,12
00:52.552,1
00:52.766,12
00:52.981,1
00:53.195,2
00:53.410,1
00:53.517,2
00:53.829,12
00:54.258,2
00:54.474,12
00:54.905,12
00:55.324,12
00:55.967,12+
00:56.183,1
00:56.597,1
00:56.933,1
00:57.246,12-
00:57.453,12
00:57.684,1
00:57.785,2
00:57.893,1
00:57.990,2
00:58.112,1
00:58.217,2
00:59.169,1+
00:59.600,1-2
00:59.823,2+
01:00.250,12-
01:00.361,2
01:00.469,1
01:00.687,2
01:01.331,1+
01:01.760,1-2
01:01.974,1
01:02.189,2
01:02.403,1+
01:02.832,1-2
01:03.047,1
01:04.119,2
01:04.334,1R
01:04.549,2
01:05.407,2
01:05.621,1
01:05.835,2
01:06.049,1+
01:06.477,1-2
01:06.692,2+
01:07.120,12-
01:07.335,2
01:07.549,1
01:08.193,1+
01:08.621,1-2
01:08.836,1
01:09.050,2
01:09.266,1+2+
01:10.981,1-2-
01:11.411,2
01:11.624,1
01:11.839,2
01:12.053,12
01:12.268,12
01:12.483,12
01:12.913,1U
01:13.341,2
01:13.555,1
01:13.769,2+
01:14.091,12-
01:14.414,2
01:14.627,1L2
01:14.841,2
01:15.055,21L
01:15.273,2
01:15.501,1
01:15.608,2
01:15.822,12
01:16.144,2
01:16.358,2
01:16.573,1
01:16.787,1
01:17.001,2
01:17.211,2
01:17.318,1
01:17.533,2+
01:17.855,12-
01:18.069,1
01:18.283,2
01:18.498,2
01:18.712,1
01:18.927,1L2R
01:19.355,1L2R
01:19.783,1U
01:20.213,2
01:20.428,1
01:20.642,2+
01:20.964,12-
01:21.286,2
01:21.488,21L
01:21.698,2
01:21.898,21L
01:22.117,2
01:22.342,1
01:22.448,2
01:22.710,12
01:22.956,1
01:23.178,1
01:23.382,2
01:23.597,2
01:23.816,1
01:24.026,1
01:24.133,2
01:24.348,1+
01:24.669,1-2
01:24.887,2
01:25.103,1
01:25.313,1
01:25.532,2
01:25.745,12
01:26.170,12
01:26.616,1U
01:26.831,2
01:27.045,1
01:27.260,2
01:27.473,12
01:27.796,1
01:28.117,12
01:28.332,2R
01:28.547,1
01:28.761,2
01:28.975,1
01:29.186,12
01:29.509,2
01:29.832,12
01:30.045,1L
01:30.261,2
01:30.475,1
01:30.690,2
01:30.903,12
01:31.225,1
01:31.548,12
01:31.762,2
01:31.977,1
01:32.192,2
01:32.406,1
01:32.512,2
01:32.834,1+2+
01:33.263,1-2-
01:33.477,1L
01:33.693,2
01:33.907,1
01:34.122,2
01:34.335,12
01:34.657,1
01:34.980,12
01:35.194,2R
01:35.409,1
01:35.623,2
01:35.838,1
01:36.052,12
01:36.374,2
01:36.696,12
01:36.910,1L
01:37.125,2
01:37.339,1
01:37.554,2
01:37.767,12
01:38.088,12
01:38.411,1+2+
01:39.697,1-2-
01:40.126,1
01:40.340,12
01:40.554,2
01:40.769,12
01:40.983,1
01:41.197,12
01:41.625,12
01:42.054,2+1L
01:42.269,2-
01:42.484,1+2
01:42.698,1-
01:42.913,1+2
01:43.233,1-2+
01:43.555,12-
01:43.769,2
01:43.984,1
01:44.199,2
01:44.413,1
01:44.628,2
01:44.734,1
01:44.948,12
01:45.270,2
01:45.485,1+
01:46.771,2SU
01:47.195,1
01:47.409,2
01:47.625,12
01:48.053,12
01:48.482,12
01:48.906,12+
01:49.121,2-
01:49.332,1+2
01:49.538,1-
01:49.749,1+2
01:50.087,1-2+
01:50.409,12-
01:50.626,2
01:50.838,1
01:51.052,2
01:51.266,1
01:51.482,2
01:51.589,1
01:51.809,12
01:52.128,2
01:52.348,2+1U
01:52.785,1+2-
01:53.212,1-2
01:53.423,2
01:53.534,1
01:53.856,12
01:54.070,2
01:54.285,1
01:54.499,12
01:54.928,12
01:55.357,12
01:55.786,12
01:56.001,1
01:56.215,2
01:56.644,1+2
01:56.958,1-2+
01:57.277,12-
01:57.706,2
01:57.921,1
01:58.350,12+
01:58.672,1+2-
01:58.994,1-2
01:59.422,1
01:59.637,2
02:00.065,1+2
02:00.388,1-2+
02:00.709,12-
02:01.138,2
02:01.353,1
02:01.782,1L2R
02:02.100,12
02:02.400,1U2
02:03.043,1+2
02:07.734,2S=
02:12.802,2SL
