00:01.368,2R5L
00:02.226,2R5L
00:03.101,2R5L
00:03.960,2R5L
00:04.387,4
00:04.817,1R4L
00:05.246,2
00:05.353,4
00:05.568,4
00:05.675,2R
00:05.889,6
00:06.104,3
00:06.533,3R6L
00:06.962,5
00:07.069,3
00:07.284,3
00:07.391,5L
00:07.606,1
00:07.820,6
00:08.249,1R6L
00:08.678,2
00:08.785,5
00:08.999,4
00:09.111,2R
00:09.321,5
00:09.535,16+
00:09.750,1
00:09.965,1
00:10.179,1
00:10.394,16-
00:10.824,1R6L
00:11.249,1!
00:18.079,14+
00:18.297,4-
00:18.513,63+
00:18.732,3-
00:18.940,1+4
00:19.257,1-6+
00:19.586,36-
00:19.809,4
00:20.023,3
00:20.240,5
00:20.455,2
00:20.668,4
00:20.776,3
00:20.991,25
00:21.526,25
00:21.740,4
00:21.954,3
00:22.168,4
00:22.382,25
00:22.597,4
00:22.704,3
00:23.025,2L5
00:23.453,3
00:23.668,4
00:24.096,25
00:24.525,16
00:24.955,25
00:25.169,3
00:25.384,4
00:25.812,2+5
00:26.133,2-6+
00:26.454,16-
00:26.883,4
00:27.097,3
00:27.526,25+
00:27.848,1+5-
00:28.168,1-6
00:28.597,3
00:28.812,4
00:29.240,2+5
00:29.562,2-6+
00:29.883,16-
00:30.312,4
00:30.527,3
00:30.953,2L5R
00:31.275,16
00:31.597,1U6
00:32.026,5
00:32.240,4
00:32.455,3
00:32.562,5+
00:32.884,25-
00:33.098,3
00:33.313,4
00:33.527,5
00:33.742,2
00:33.968,3
00:34.169,4
00:34.276,2+
00:34.597,2-5
00:35.026,2
00:35.240,53
00:35.471,4
00:35.686,5
00:36.115,5
00:36.329,4
00:36.543,3
00:36.757,25
00:37.186,4
00:37.400,3
00:37.614,4
00:37.829,25
00:38.256,16
00:38.885,2
00:39.090,3
00:39.305,4
00:39.412,2+
00:39.734,2-5
00:39.949,4
00:40.162,3
00:40.365,2
00:40.592,5
00:40.807,4
00:41.004,3
00:41.111,5+
00:41.449,25-
00:41.862,5
00:42.076,24
00:42.291,3
00:42.506,2
00:42.935,2
00:43.149,3
00:43.364,4
00:43.578,25
00:44.008,3
00:44.221,4
00:44.436,3
00:44.650,16
00:45.080,25
00:45.519,1U
00:45.727,6
00:45.954,25
00:46.383,16
00:46.721,2
00:47.041,35+
00:47.466,3
00:47.681,25
00:48.110,16
00:48.538,16
00:49.182,4
00:49.396,25
00:49.825,24
00:50.147,5
00:50.469,16
00:50.899,1
00:51.113,25
00:51.540,16
00:51.863,25+
00:52.184,16
00:52.614,2
00:52.828,35
00:53.042,4
00:53.256,5
00:53.470,3
00:53.577,4
00:53.899,25
00:54.329,6
00:54.542,25
00:54.971,16
00:55.415,16
00:56.058,25+
00:56.271,2
00:56.699,1
00:57.021,2
00:57.343,35-
00:57.557,16
00:57.773,2
00:57.879,5
00:57.987,2
00:58.095,5
00:58.201,2
00:58.309,5
00:59.271,2+
00:59.698,2-5
00:59.913,6+
01:00.342,6-3
01:00.449,5+
01:00.556,2
01:00.770,4
01:01.414,2+
01:01.843,2-4
01:02.041,3
01:02.255,2
01:02.469,1+
01:02.899,1-5
01:03.113,2
01:04.167,5
01:04.380,2R
01:04.595,5+
01:05.450,1
01:05.664,3
01:05.878,5
01:06.093,3+
01:06.522,3-6
01:06.736,5+
01:07.148,25-
01:07.363,4
01:07.578,3
01:08.221,2+
01:08.650,2-5
01:08.864,3
01:09.080,4
01:09.294,2+5+
01:11.009,1-6-
01:11.436,4
01:11.654,3
01:11.868,25
01:12.084,34
01:12.299,25
01:12.519,16
01:12.949,2U
01:13.377,5
01:13.593,2
01:13.811,4+
01:14.139,14-
01:14.456,5
01:14.652,2L5
01:14.869,5
01:15.088,52L
01:15.305,4
01:15.527,3
01:15.634,4
01:15.849,25
01:16.166,3
01:16.374,4
01:16.581,3
01:16.795,2
01:17.010,3
01:17.229,4
01:17.332,2
01:17.546,5+
01:17.868,15-
01:18.082,4
01:18.297,3
01:18.512,2
01:18.726,3
01:18.940,2L5R
01:19.369,2L5R
01:19.799,2U
01:20.227,5
01:20.442,2
01:20.656,4+
01:20.979,14-
01:21.300,5
01:21.514,52L
01:21.729,5+
01:21.944,2L5+
01:22.158,4
01:22.373,3
01:22.480,4
01:22.694,25
01:23.016,4
01:23.247,3
01:23.462,4
01:23.676,5
01:23.891,4
01:24.105,3
01:24.213,5
01:24.427,2+
01:24.749,2-4
01:24.963,3
01:25.178,4
01:25.392,5
01:25.606,4
01:25.821,25
01:26.250,25
01:26.680,2U
01:26.894,4
01:27.109,2
01:27.323,4
01:27.536,15
01:27.859,24
01:28.180,15
01:28.395,6R
01:28.610,3
01:28.824,5+
01:29.038,3
01:29.253,26
01:29.574,35
01:29.897,26
01:30.111,1L
01:30.326,4
01:30.541,2
01:30.754,4
01:30.969,15
01:31.291,24
01:31.613,15
01:31.827,2
01:32.042,3
01:32.255,4
01:32.470,2
01:32.577,5
01:32.885,2+5+
01:33.294,2-5-
01:33.507,1L
01:33.723,4
01:33.955,2
01:34.152,4
01:34.366,15
01:34.687,24
01:35.010,15
01:35.222,6R
01:35.436,3
01:35.650,5
01:35.865,3
01:36.078,26
01:36.400,35
01:36.714,26
01:36.928,1L
01:37.143,4
01:37.359,2
01:37.574,5
01:37.802,16
01:38.125,25
01:38.438,1+6+
01:39.726,1-6-
01:40.155,2
01:40.370,35
01:40.584,4
01:40.799,25
01:41.013,3
01:41.244,16
01:41.672,25
01:42.102,4+1L
01:42.364,4-
01:42.532,3+6
01:42.746,3-
01:42.960,1+4
01:43.282,1-6+
01:43.604,36-
01:43.819,4
01:44.033,3
01:44.247,5
01:44.459,2
01:44.674,4
01:44.782,3
01:44.996,25
01:45.318,4
01:45.533,1+4+
01:46.811,3-6U
01:47.240,4
01:47.455,3
01:47.670,25
01:48.099,16
01:48.528,16
01:48.957,14+
01:49.171,4-
01:49.385,3+6
01:49.600,3-
01:49.815,1+4
01:50.137,1-6+
01:50.458,6-3
01:50.673,4
01:50.887,3
01:51.102,5
01:51.316,2
01:51.531,4
01:51.638,3
01:51.852,25
01:52.174,6
01:52.385,5+2U
01:52.791,1+5-
01:53.222,1-6
01:53.435,5+
01:53.542,3
01:53.864,25
01:54.078,4
01:54.293,3
01:54.508,25
01:54.936,16
01:55.366,16
01:55.794,25
01:56.009,3
01:56.224,4
01:56.653,2+5
01:56.974,2-6+
01:57.296,16-
01:57.725,4
01:57.939,3
01:58.369,25+
01:58.691,1+5-
01:59.012,1-6
01:59.424,3
01:59.638,4
02:00.068,2+5
02:00.389,2-6+
02:00.711,16-
02:01.141,4
02:01.355,3
02:01.784,2L5R
02:02.105,16
02:02.429,1U6
02:03.073,1+6
02:07.783,4S=
02:12.837,4SL
