0:0:5.952,2
0:0:6.174,3
0:0:6.397,24
0:0:6.619,5
0:0:6.842,6
0:0:7.063,35
0:0:7.299,2
0:0:7.522,1
0:0:7.743,24
0:0:7.964,5
0:0:8.167,62L
0:0:8.390,3
0:0:8.613,4
0:0:8.835,5
0:0:9.057,26R
0:0:9.492,2L5+
0:0:9.719,5-
0:0:9.930,14
0:0:10.153,1
0:0:10.364,2+5R
0:0:10.589,2-
0:0:10.821,36
0:0:11.040,6
0:0:11.249,62L
0:0:11.489,5
0:0:11.700,14
0:0:11.916,1
0:0:12.138,15R
0:0:12.362,2
0:0:12.585,36
0:0:13.046,16
0:0:13.269,2
0:0:13.492,3
0:0:13.714,4
0:0:13.936,5+
0:0:14.270,26-
0:0:14.381,5
0:0:14.604,4
0:0:14.827,2+
0:0:15.139,2-4
0:0:15.250,1+
0:0:15.483,1-5
0:0:15.712,26+
0:0:15.935,6-
0:0:16.157,25+
0:0:16.395,5-
0:0:16.617,16
0:0:16.822,2
0:0:17.045,3
0:0:17.267,4
0:0:17.490,5+
0:0:17.871,6-2
0:0:17.984,5+
0:0:18.168,15-
0:0:18.407,4
0:0:18.629,2
0:0:18.852,5+
0:0:19.185,25-
0:0:19.297,6+
0:0:19.520,6-3
0:0:19.741,2
0:0:19.965,1
0:0:20.186,25
0:0:20.410,6
0:0:20.632,5
0:0:20.854,4
0:0:21.077,25
0:0:21.300,3
0:0:21.522,4
0:0:21.744,5+
0:0:21.967,2
0:0:22.189,6-3
0:0:22.412,5
0:0:22.634,2+
0:0:22.855,6+
0:0:23.070,6-
0:0:23.283,1-6+
0:0:23.506,6-
0:0:23.729,2+
0:0:24.062,2-5
0:0:24.173,3
0:0:24.396,6+
0:0:24.618,1
0:0:24.841,6-2
0:0:25.063,3
0:0:25.286,4
0:0:25.508,15
0:0:25.730,5
0:0:25.954,42
0:0:26.175,3
0:0:26.398,2+
0:0:26.509,5
0:0:26.620,2-
0:0:26.843,25
0:0:27.288,16
0:0:27.511,5
0:0:27.733,4
0:0:27.956,3
0:0:28.179,2+
0:0:28.512,1-5
0:0:28.624,2
0:0:28.846,3
0:0:29.069,5+
0:0:29.402,5-3
0:0:29.514,6+
0:0:29.736,26-
0:0:29.959,1+5
0:0:30.182,1-
0:0:30.404,2+5
0:0:30.627,2-
0:0:30.849,16
0:0:31.071,5
0:0:31.183,2
0:0:31.294,4
0:0:31.518,3
0:0:31.739,2+
0:0:32.074,1-5
0:0:32.185,2+
0:0:32.407,62-
0:0:32.629,3
0:0:32.852,5
0:0:33.075,2
0:0:33.285,4
0:0:33.525,1+
0:0:33.747,1-4
0:0:33.970,5
0:0:34.192,6
0:0:34.414,25
0:0:34.636,1
0:0:34.859,2
0:0:35.082,3
0:0:35.304,25
0:0:35.527,4
0:0:35.749,3
0:0:35.971,2+
0:0:36.194,5
0:0:36.416,1-4
0:0:36.639,2
0:0:36.830,5+
0:0:37.053,1+
0:0:37.273,1-
0:0:37.495,1+6-
0:0:37.726,1-
0:0:37.940,5+
0:0:38.279,25-
0:0:38.392,4
0:0:38.609,1+
0:0:38.831,6
0:0:39.052,1-5
0:0:39.276,4
0:0:39.498,3
0:0:39.720,62
0:0:39.947,2
0:0:40.198,35
0:0:40.421,4
0:0:40.643,5+
0:0:40.754,2
0:0:40.865,5-
0:0:41.089,25
0:0:41.509,2+6L
0:0:41.954,1-5
0:0:42.399,1R5+
0:0:42.839,6-2
0:0:43.282,3L6+
0:0:43.710,25-
0:0:44.165,5L2+
0:0:44.616,1-4
0:0:44.839,2
0:0:44.950,4
0:0:45.062,1+
0:0:45.507,5
0:0:45.951,2-6
0:0:46.174,5
0:0:46.397,4
0:0:46.619,3
0:0:46.731,5
0:0:46.842,2
0:0:47.065,25
0:0:47.287,6
0:0:47.510,62
0:0:47.740,1
0:0:47.954,14
0:0:48.178,4
0:0:48.407,5
0:0:48.506,3
0:0:48.618,6+
0:0:49.063,15-
0:0:49.285,5
0:0:49.507,2U5+
0:0:49.953,1U4-
0:0:50.176,4
0:0:50.398,1+5
0:0:50.837,2-6
0:0:51.041,2
0:0:51.263,2+5U
0:0:51.707,6U3-
0:0:51.931,2
0:0:52.041,5+
0:0:52.153,2+
0:0:53.282,2-5-
0:0:53.504,25
0:0:53.728,1+6
0:0:54.172,5
0:0:54.395,5
0:0:54.838,61-
0:0:54.951,2
0:0:55.061,5
0:0:55.173,3
0:0:55.285,4
0:0:55.507,25
0:0:55.953,16
0:0:56.175,25
0:0:56.397,34
0:0:56.620,25
0:0:56.843,4
0:0:57.065,3
0:0:57.288,2
