00:00.843,25
00:01.019,3
00:01.186,4
00:01.353,2+5
00:01.685,2-4
00:01.852,5
00:02.186,16
00:02.353,4
00:02.519,3
00:02.686,25+
00:03.018,35-
00:03.186,4
00:03.353,3
00:03.518,25
00:03.686,3
00:03.854,4
00:04.019,2+5
00:04.352,2-4
00:04.519,6
00:04.852,16
00:05.018,4
00:05.187,3
00:05.352,25+
00:05.685,25-
00:05.769,5
00:05.852,3
00:06.019,4
00:06.186,25
00:06.353,3
00:06.518,4
00:06.686,2+5
00:07.019,2-4
00:07.186,5
00:07.519,16
00:07.686,4
00:07.853,3
00:08.018,25+
00:08.353,35-
00:08.519,4
00:08.687,3
00:08.852,25
00:09.019,3
00:09.187,4
00:09.352,2+5
00:09.686,2-5
00:09.852,1
00:10.186,1R
00:10.519,3R
00:10.853,5R
00:11.519,25
00:11.687,4
00:11.853,3
00:12.186,5
00:12.352,4
00:12.519,3
00:12.853,25
00:13.019,3
00:13.186,4
00:13.520,3
00:13.687,4
00:13.853,5+
00:14.187,5-3
00:14.353,2
00:14.686,4
00:14.853,3
00:15.020,2
00:15.353,5
00:15.519,4
00:15.686,3
00:15.853,4
00:16.020,5
00:16.187,4
00:16.353,3
00:16.436,5
00:16.519,2
00:16.686,4
00:16.853,25
00:17.019,3
00:17.186,4+
00:17.520,2+4-
00:17.686,5
00:17.853,62-
00:18.186,25
00:18.353,3
00:18.520,4
00:18.852,3
00:19.020,4
00:19.187,3
00:19.353,2
00:19.519,3
00:19.686,4
00:19.854,5+
00:20.186,25-
00:20.353,3
00:20.520,4
00:20.854,25
00:21.187,16
00:21.520,25
00:21.853,3
00:22.020,2
00:22.187,14
00:22.354,5
00:22.520,6+
00:22.853,6-2+
00:23.020,5
00:23.187,2-4
00:23.520,25
00:23.687,3
00:23.853,4
00:24.187,3
00:24.353,4
00:24.520,5+
00:24.854,25-
00:25.020,3
00:25.187,4
00:25.354,53
00:25.520,2
00:25.686,3
00:25.853,4
00:26.021,53
00:26.187,2
00:26.353,3
00:26.521,4
00:26.687,35
00:26.853,4
00:27.021,3
00:27.103,5
00:27.187,2
00:27.353,3
00:27.521,5
00:27.686,4
00:27.854,3
00:28.020,24
00:28.187,5
00:28.354,4
00:28.521,3
00:28.687,24
00:28.854,3
00:29.020,4
00:29.187,5
00:29.354,24
00:29.520,3
00:29.687,4
00:29.854,25
00:30.187,3+
00:30.353,6
00:30.520,63-
00:30.854,2+
00:31.020,5
00:31.187,2-5
00:31.520,2R
00:31.853,2R
00:32.187,2R
00:32.354,5
00:32.521,4
00:32.687,3
00:32.771,5
00:32.854,2+
00:33.354,2-4
00:33.520,1L
00:34.020,5
00:34.186,3+
00:34.687,63-
00:34.854,2L
00:35.354,4
00:35.520,2+
00:36.020,2-5
00:36.187,1L
00:36.687,4
00:36.854,3
00:37.020,2
00:37.187,3
00:37.354,4
00:37.520,2L5R
00:38.187,6+3
00:38.521,2
00:38.854,1+6-
00:39.520,1-5+
00:40.104,25-
00:40.188,5R
00:40.854,2+5
00:41.021,5
00:41.187,6
00:41.354,6
00:41.521,5
00:41.687,5
00:41.854,6
00:42.021,62-
00:42.187,2U
00:42.854,2R
00:43.522,1+4
00:43.688,4
00:43.854,1-5+
00:44.021,2
00:44.188,2+5-
00:44.354,5
00:44.521,6+2-
00:44.688,3
00:44.854,6-3+
00:45.188,63-
00:45.521,2+5
00:45.854,63-
00:46.021,6
00:46.188,6+3
00:46.355,3
00:46.521,6-2+
00:46.688,5
00:46.854,2-5+
00:47.022,1
00:47.187,1+5-
00:47.354,4
00:47.521,1-4+
00:47.855,14-
00:48.188,3
00:48.354,4
00:48.437,2
00:48.521,5
00:48.855,16+
00:49.021,2
00:49.188,6-3
00:49.355,2
00:49.521,15+
00:49.687,1
00:49.855,1+5-
00:50.187,1-4+
00:50.355,2
00:50.521,3+4-
00:50.688,5
00:50.855,6+3-
00:51.022,2
00:51.188,16-
00:51.521,25+
00:51.688,2
00:51.855,2+5-
00:52.021,5
00:52.188,2-5+
00:52.355,2
00:52.521,2+5-
00:52.688,5
00:52.855,2-5
00:53.021,25
00:53.188,25
00:53.355,25
00:53.521,2+5+
00:53.854,2-5-
00:54.022,5
00:54.105,2
00:54.188,4
00:54.355,3
00:54.521,25
00:54.855,16
00:55.021,2
00:55.188,24
00:55.354,5
00:55.522,53
00:55.688,3
00:55.855,16
00:56.188,25
00:56.355,3
00:56.521,4
00:56.855,16
00:57.022,4
00:57.188,3
00:57.355,4
00:57.522,25
00:57.688,4
00:57.855,2U
00:58.188,3
00:58.355,4
00:58.522,2+5+
00:58.855,1-6-
00:59.022,5
00:59.105,2
00:59.188,4
00:59.354,3
00:59.522,4
00:59.687,6+3
00:59.855,2
01:00.188,6-3
01:00.355,5
01:00.522,2+4
01:00.855,5
01:01.022,4
01:01.188,2-5
01:01.356,6
01:01.521,4
01:01.688,2
01:01.856,5
01:02.021,3
01:02.188,25
01:02.355,3
01:02.522,4
01:02.689,3
01:02.855,25
01:03.022,3
01:03.189,4
01:03.355,3
01:03.522,25
01:03.689,3
01:03.854,4+
01:04.189,15-
01:04.355,1
01:04.521,24
01:04.689,5
01:04.772,4
01:04.855,3
01:05.189,5
01:05.356,2
01:05.439,3
01:05.522,4
01:05.855,2
01:06.022,5
01:06.105,4
01:06.189,3
01:06.356,2
01:06.522,3
01:06.688,4
01:06.856,3
01:07.023,4
01:07.105,2
01:07.188,5
01:07.523,2R
01:08.022,4
01:08.188,5
01:08.689,5
01:08.856,24
01:09.022,3
01:09.189,4
01:09.355,25
01:09.522,3
01:09.689,5U
01:09.855,2U
01:10.198,(3.5)
01:15.523,2R
01:15.855,3
01:16.188,4
01:16.523,5
01:16.856,5L
01:17.522,2+
01:17.856,1-6
01:18.022,5
01:18.189,2U
01:18.523,3
01:18.855,4
01:19.189,5
01:19.523,5U
01:20.189,5+
01:20.689,6-
01:20.856,63+
01:21.023,6
01:21.190,5
01:21.357,5
01:21.522,6
01:21.689,6
01:21.857,5
01:22.022,5
01:22.189,4
01:22.356,4
01:22.523,5
01:22.689,5
01:22.856,4
01:23.024,4
01:23.190,2-5
01:23.524,1U6U
01:23.689,5
01:23.773,2
01:23.856,5
01:23.940,2
01:24.023,5
01:24.189,2
01:24.272,5
01:24.356,2
01:24.440,5
01:24.523,2
01:24.690,5
01:24.773,2
01:24.856,5
01:24.940,2
01:25.023,5
01:25.190,2
01:25.273,5
01:25.356,2
01:25.439,5
01:25.523,2R
01:26.190,2+5+
01:27.189,1-6-
01:27.273,5
01:27.357,2
01:27.440,5
01:27.523,2
01:27.857,2
01:27.940,5
01:28.023,2
01:28.106,5
01:28.189,2+
01:28.523,63-
01:28.607,3
01:28.690,6
01:28.773,3
01:28.856,6+
01:29.023,3
01:29.190,6-2+
01:29.357,5
01:29.523,2-5+
01:29.690,1
01:29.856,1+5-
01:30.023,4
01:30.190,1-4+
01:30.356,1
01:30.523,14-
01:30.857,3
01:31.023,4
01:31.106,2
01:31.190,5
01:31.525,16+
01:31.691,2
01:31.857,6-3
01:32.023,2
01:32.190,15+
01:32.356,1
01:32.524,1+5-
01:32.857,1-4+
01:33.023,2
01:33.190,3+4-
01:33.357,5
01:33.523,6+3-
01:33.690,2
01:33.856,16-
01:34.189,25+
01:34.357,2
01:34.523,2+5-
01:34.689,5
01:34.857,2-5+
01:35.024,2
01:35.190,2+5-
01:35.357,5
01:35.524,2-5
01:35.607,2
01:35.689,5
01:35.773,2
01:35.857,5
01:35.940,2
01:36.023,5
01:36.107,2+
01:36.190,5+
01:36.523,2-5-
01:36.690,5
01:36.773,2
01:36.857,4
01:37.023,3
01:37.190,25
01:37.524,16
01:37.691,2
01:37.856,24
01:38.023,5
01:38.190,35
01:38.357,3
01:38.524,16
01:38.857,25
01:39.023,3
01:39.190,4
01:39.524,16
01:39.690,4
01:39.858,3
01:40.024,4
01:40.191,25
01:40.357,4
01:40.523,2U
01:40.858,3
01:41.024,4
01:41.191,2+5+
01:41.524,1-6-
01:41.691,5
01:41.774,2
01:41.858,4
01:42.023,3
01:42.191,4
01:42.358,6+3
01:42.523,2
01:42.857,6-3
01:43.024,5
01:43.190,2+4
01:43.524,5
01:43.690,4
01:43.857,2-5
01:44.024,6
01:44.190,4
01:44.357,2
01:44.524,5
01:44.690,3
01:44.857,25
01:45.024,3
01:45.190,4
01:45.357,3
01:45.523,25
01:45.691,3
01:45.857,4
01:46.023,3
01:46.191,25
01:46.357,3
01:46.523,4+
01:46.858,15-
01:47.024,1
01:47.190,24
01:47.358,5
01:47.440,4
01:47.524,3
01:47.857,5
01:48.024,2
01:48.108,3
01:48.190,4
01:48.525,2
01:48.690,5
01:48.774,4
01:48.857,3
01:49.025,2
01:49.191,3
01:49.357,4
01:49.524,3
01:49.691,4
01:49.774,2
01:49.857,5
01:50.191,2R
01:50.691,4
01:50.857,5
01:51.357,4
01:51.524,3
01:51.691,2
01:51.858,3
01:52.024,4
01:52.191,5
01:52.524,5L
01:52.858,2
01:53.357,4
01:53.524,5
01:54.024,5
01:54.191,24
01:54.358,3
01:54.524,4
01:54.691,25
01:54.857,3
01:55.023,5U
01:55.191,2U
01:55.524,25
01:55.690,3
01:55.859,4
01:56.023,2+5
01:56.357,2-4
01:56.523,5
01:56.857,16
01:57.024,4
01:57.192,3
01:57.358,25+
01:57.692,35-
01:57.858,4
01:58.025,3
01:58.192,25
01:58.361,3
01:58.523,4
01:58.691,2+5
01:59.024,2-4
01:59.192,6
01:59.524,16
01:59.691,4
01:59.858,3
02:00.024,25+
02:00.358,25-
02:00.440,5
02:00.524,3
02:00.691,4
02:00.857,25
02:01.023,3
02:01.191,4
02:01.357,2+5
02:01.692,2-4
02:01.857,5
02:02.192,16
02:02.359,4
02:02.523,3
02:02.691,25+
02:03.023,35-
02:03.191,4
02:03.359,3
02:03.524,25
02:03.692,3
02:03.858,4
02:04.025,2+5
02:04.357,2-5
02:04.524,1
02:04.858,1R
02:05.192,3R
02:05.524,5R
02:06.692,1U6U
