00:01.631,2U3U
00:02.079,1+4+
00:02.954,2-3-
00:03.609,2U3U
00:04.065,3+
00:05.152,4-
00:05.593,4+1+
00:06.493,1-4-
00:07.386,4+
00:07.806,14-
00:08.236,1+
00:08.677,1-4
00:09.119,1+4+
00:10.009,2-3-
00:10.677,2U3U
00:11.106,2+3+
00:12.227,2-3-
00:12.655,1+4+
00:13.542,1-4-
00:14.419,2
00:14.861,3
00:15.306,1+4+
00:15.747,4-1-
00:16.185,2+3+
00:17.504,1-4-
00:17.946,1+4+
00:18.837,1-4-
00:19.709,1L
00:20.592,3+
00:21.462,4-
00:22.345,2U
00:23.228,2+3+
00:24.750,1=4=
00:25.668,2-3-
00:26.787,4+
00:27.223,24-
00:27.662,1+
00:28.112,1-3
00:28.544,2+3+
00:29.640,1U4U
00:30.312,1L4R
00:31.182,2U3U
00:32.065,2
00:32.515,3
00:32.963,2+3+
00:33.383,(1.2)=4=
00:33.848,2L3R
00:34.713,4
00:35.155,3
00:35.609,2+
00:36.923,1-
00:37.370,1+
00:38.258,2-
00:38.917,4+1+
00:40.023,4-1-
00:40.895,2
00:41.351,3
00:41.793,3
00:42.228,2
00:42.665,2+3+
00:43.763,1R4U
00:44.414,2+
00:44.868,2-4
00:45.290,2
00:46.174,3+
00:46.602,13-
00:47.045,3
00:47.937,4+1+
00:48.384,1-4-
00:48.827,4
00:49.697,4+1+
00:50.142,1-4-
00:50.590,1
00:51.486,23
00:52.373,1U
00:52.810,2R
00:53.253,1U
00:53.681,1+4+
00:54.135,1L4R
00:55.017,2+3+
00:56.333,1-4L
00:56.770,1U
00:57.660,1L
00:58.094,1L
00:58.530,1!
01:04.278,14
01:04.721,2
01:05.151,3
01:05.593,4+1+
01:06.044,1-4-
01:06.480,1L4R
01:07.365,2+3+
01:08.242,1R4L
01:09.123,1+4+
01:09.566,1-4-
01:10.020,1L4L
01:10.887,3
01:11.328,3
01:11.770,3
01:12.653,1+3+
01:13.118,2-4-
01:13.540,2
01:13.979,4
01:14.425,2+4+
01:14.861,1-3-
01:15.308,3
01:15.753,1
01:16.188,2+3+
01:17.730,1U4U
01:18.833,2
01:19.291,3
01:19.727,1+4+
01:20.159,4-1-
01:20.598,1L4R
01:21.491,2+3+
01:22.367,1U4U
01:23.255,2+4+
01:23.907,1U3U
01:25.018,1+3+
01:25.674,4U2U
01:26.786,2+3+
01:27.890,2-3-
01:28.319,1+4+
01:29.213,1-4-
01:30.094,1R4L
01:30.963,2L3R
01:31.866,1+4+
01:32.717,2=3=
01:33.623,4U1U
01:36.483,3
01:36.924,2
01:37.365,1+4+
01:38.031,1-4-
01:38.254,1+4+
01:40.010,2-3-
01:40.916,2+3+
01:41.784,1-4-
01:42.667,2+3+
01:43.323,(1.4)=(3.6)=
01:43.980,2U3U
01:44.422,2+
01:45.311,1-
01:45.971,2U3U
01:46.420,4+1+
01:47.523,1-4-
01:47.967,1+4+
01:48.846,1-4-
01:49.726,4+
01:50.164,14-
01:50.609,1+
01:51.044,1-4
01:51.487,2+3+
01:52.379,1-4-
01:53.024,2U
01:53.475,2+
01:54.578,1-
01:55.022,2+3+
01:55.900,2-3-
01:56.777,2
01:57.224,3
01:57.670,1+4+
01:58.112,4U1U
