00:02.341,1L2+
00:03.529,1+2R
00:04.885,2+1U
00:06.241,1L2R
00:06.579,12
00:06.919,2
00:07.089,1
00:07.258,2
00:07.428,1
00:07.597,2
00:07.767,1+
00:08.104,1L2U
00:08.614,2+
00:08.953,1R2L
00:09.285,12
00:09.614,1
00:09.783,2
00:09.953,1
00:10.123,2
00:10.292,1
00:10.462,2R
00:10.801,1L
00:11.309,12
00:11.643,1+2+
00:12.140,1-2-
00:12.479,2
00:12.649,1R
00:12.988,12+
00:13.496,1+2-
00:13.835,1-2+
00:14.179,1+2-
00:14.514,1-2+
00:14.855,1+2-
00:15.192,1-2+
00:15.538,12-
00:15.878,1+2+
00:16.734,1-2-
00:17.072,1+2+
00:17.581,1-2-
00:17.919,12
00:18.089,12
00:18.428,2+
00:18.937,12-
00:19.275,12
00:19.615,1
00:19.783,2
00:19.953,1
00:20.124,2
00:20.292,1
00:20.461,2
00:20.801,2
00:20.971,1
00:21.140,2+
00:21.479,12-
00:21.648,2
00:21.818,1
00:21.987,12
00:22.158,2
00:22.327,1
00:22.496,2+
00:22.835,12-
00:23.004,2
00:23.174,1
00:23.343,2
00:23.513,1
00:23.682,2
00:23.852,1+
00:24.360,1-2
00:24.700,1U2
00:25.039,2
00:25.209,1
00:25.378,2
00:25.548,1
00:25.716,2
00:25.887,1
00:26.224,12
00:26.564,2+
00:27.072,12-
00:27.412,1R2
00:28.089,1
00:28.259,2
00:28.429,1
00:28.598,2
00:28.938,2
00:29.107,1
00:29.277,2+
00:29.614,12-
00:29.785,2
00:29.954,1
00:30.124,2
00:30.293,1
00:30.464,2
00:30.633,1+
00:30.971,1-2
00:31.140,1
00:31.311,2
00:31.481,1
00:31.651,2
00:31.819,1U
00:32.328,2
00:32.413,1
00:32.497,2
00:32.667,1
00:32.837,2
00:33.006,1
00:33.176,2
00:33.345,1L
00:33.684,1R
00:34.023,1L
00:34.362,1R
00:34.701,2+
00:35.039,12-
00:35.210,2
00:35.379,1
00:35.549,2
00:35.718,1
00:35.888,2
00:36.057,1
00:36.092,1
00:36.396,2
00:36.566,12
00:36.904,1R
00:37.074,2
00:37.243,1R
00:37.413,2
00:37.736,1
00:37.819,2
00:37.912,1
00:38.091,2
00:38.252,1
00:38.413,2
00:38.583,1
00:38.761,12
00:39.107,21
00:39.430,12
00:39.770,12
00:40.125,1+
00:40.452,1-2
00:40.621,1
00:40.786,2
00:40.964,1
00:41.131,2
00:41.305,1
00:41.464,2U
00:41.812,12
00:41.987,12
00:42.159,2
00:42.326,1
00:42.498,2
00:42.666,1
00:42.837,2
00:43.004,1+
00:43.347,1-2
00:43.515,1+
00:43.854,1-2
00:44.193,2+
00:44.532,12-
00:44.871,1
00:45.041,2
00:45.210,1
00:45.378,2
00:45.550,1
00:45.719,2+
00:46.058,12-
00:46.227,2+
00:46.567,12-
00:46.905,1+
00:47.245,1-2
00:47.414,1
00:47.583,2
00:48.261,2+
00:48.601,12-
00:48.770,2
00:48.939,1
00:49.109,2
00:49.279,1
00:49.448,2
00:49.617,1+
00:49.957,1-2
00:50.125,1
00:50.295,2
00:50.465,1
00:50.633,2
00:50.803,1
00:50.973,2U
00:51.313,1
00:51.482,2
00:51.652,1
00:51.821,2
00:52.160,1
00:52.330,2
00:52.499,1
00:52.669,2
00:52.838,1
00:53.008,2
00:53.347,1
00:53.516,2
00:53.686,1U
00:54.025,2
00:54.194,1
00:54.363,2
00:54.533,1
00:54.703,2
00:54.872,1
00:55.042,2R
00:55.382,1
00:55.550,2
00:55.720,1
00:55.889,2
00:56.058,1
00:56.228,2
00:56.398,1
00:56.567,2+
00:57.076,2-1
00:57.245,2
00:57.753,2
00:57.923,1+
00:58.177,1-2+
00:58.432,12-
00:58.601,2+
00:58.856,1+2-
00:59.110,1-2
00:59.280,1
00:59.618,2
00:59.788,1+
01:00.127,1-2+
01:00.465,2-1L
01:00.805,12
01:00.974,12
01:01.313,1
01:01.483,2
01:01.653,1
01:01.822,2
01:02.161,2
01:02.331,1
01:02.501,2
01:02.669,1
01:03.008,1
01:03.172,2
01:03.348,1
01:03.517,2
01:03.686,1
01:03.843,2
01:04.178,1
01:04.348,2
01:04.517,1+
01:04.855,1-2
01:05.026,1
01:05.195,2
01:05.365,1
01:05.533,2
01:05.703,1
01:05.873,2U
01:06.213,12
01:06.552,2
01:06.722,1
01:06.893,2
01:07.063,1
01:07.233,2
01:07.399,1+
01:07.746,1L2U
01:08.253,2+
01:08.602,1R2L
01:08.941,12
01:09.280,1
01:09.449,2
01:09.619,1
01:09.789,2
01:09.959,1
01:10.127,2R
01:10.466,1L
01:10.975,1+2+
01:11.314,1-2-
01:11.653,12
01:11.823,12
01:12.161,2
01:12.331,1
01:12.501,2
01:12.671,1
01:13.010,1
01:13.179,2
01:13.349,1
01:13.518,2
01:13.857,2
01:14.025,1
01:14.196,2
01:14.365,1
01:14.535,2
01:14.704,1U
01:15.382,12
01:15.721,1
01:15.891,2
01:16.060,1
01:16.229,2
01:16.569,1
01:16.738,2
01:16.907,1
01:17.078,2
01:17.248,1
01:17.585,2
01:17.755,1
01:17.925,2
01:18.094,1
01:18.264,2+
01:18.773,12-
01:18.942,2
01:19.451,1
01:19.620,2
01:19.959,12
01:20.129,2
01:20.467,2
01:20.637,1
01:20.807,2+
01:21.146,12-
01:21.314,12
01:21.654,1+2+
01:21.992,1-2-
01:22.331,1+2+
01:22.671,1-2-
01:22.840,12
01:23.180,1
01:23.348,2
01:23.519,1R
01:23.857,1
01:24.027,2
01:24.197,1
01:24.366,2L
01:24.874,12
01:25.214,12
01:25.554,1U2
01:26.224,1!
01:31.637,1L2U
01:31.981,2
01:32.148,1
01:32.315,2
01:32.485,1
01:32.655,12
01:32.824,12
01:32.995,1U2R
01:33.337,1
01:33.502,2
01:33.676,1
01:33.841,2
01:34.028,12
01:34.184,12
01:34.356,1R2L
01:34.707,2
01:34.876,1
01:35.043,2
01:35.214,1
01:35.554,2
01:35.722,1
01:35.893,2
01:36.063,1
01:36.232,2
01:36.401,1
01:36.741,2
01:36.909,1
01:37.079,2R
01:37.418,1
01:37.587,2
01:37.757,1
01:37.927,2
01:38.096,1
01:38.266,2
01:38.434,1L
01:39.960,2U1U
01:41.316,1L2R
01:41.994,2R1L
01:42.673,1U2U
01:43.859,1L
01:45.215,12
01:45.723,12
01:46.062,12
01:46.402,12
01:46.741,12
01:47.080,12
01:47.419,21U
01:47.927,1+2+
01:49.283,1U2U
01:49.622,12
01:49.962,2
01:50.131,1
01:50.301,2
01:50.470,1
01:50.640,2
01:50.810,1+
01:51.148,1L2U
01:51.657,2+
01:51.995,1R2L
01:52.335,12
01:52.673,1
01:52.843,2
01:53.012,1
01:53.182,2
01:53.352,1
01:53.521,2R
01:53.860,1L
01:54.369,1+2+
01:54.707,2-1L
01:55.046,12
01:55.216,12
01:55.555,2
01:55.725,1
01:55.894,2
01:56.056,1
01:56.397,1
01:56.560,2
01:56.725,1
01:56.894,2
01:57.233,2
01:57.406,1
01:57.572,2
01:57.744,1
01:57.914,2
01:58.082,1U
01:58.759,12
01:59.098,1
01:59.267,2
01:59.437,1
01:59.616,2
01:59.955,1
02:00.117,2
02:00.297,1
02:00.464,2
02:00.630,1
02:00.980,2
02:01.147,1
02:01.318,2
02:01.488,1
02:01.658,2+
02:02.167,12-
02:02.335,2
02:02.845,1
02:03.013,2
02:03.352,12
02:03.522,2
02:03.860,2
02:04.031,1
02:04.200,2+
02:04.539,12-
02:04.708,12
02:05.053,1+2+
02:05.394,1-2-
02:05.733,1+2+
02:06.072,1-2-
02:06.240,12
02:06.579,1
02:06.748,2
02:06.917,1R
02:07.250,1
02:07.420,2
02:07.589,1
02:07.759,2L
02:08.267,12
02:08.606,12
02:08.945,1+2+
02:09.963,1R2L
