00:02.191,5+2L
00:03.390,2+5R
00:04.759,6+2U
00:06.114,1L6R
00:06.453,25
00:06.792,6
00:06.962,3
00:07.131,5
00:07.301,2
00:07.470,4
00:07.639,1+
00:07.978,1L4U
00:08.486,5+
00:08.826,2R5L
00:09.165,25
00:09.504,1
00:09.673,4
00:09.843,2
00:10.013,5
00:10.181,3
00:10.352,6R
00:10.690,2L
00:11.199,36
00:11.538,6+3+
00:12.046,1-4-
00:12.386,5
00:12.555,2R
00:12.895,36+
00:13.403,1+6-
00:13.741,1-5+
00:14.080,2+5-
00:14.419,2-4+
00:14.759,1+4-
00:15.098,1-6+
00:15.437,36-
00:15.776,2+5+
00:16.624,1-6-
00:16.963,1+6+
00:17.471,1-6-
00:17.810,25
00:17.979,25
00:18.318,16+
00:18.827,16-
00:19.166,25
00:19.505,1
00:19.675,4
00:19.844,2
00:20.014,5
00:20.184,3
00:20.351,6
00:20.692,4
00:20.862,2
00:21.031,5+
00:21.370,15-
00:21.539,4
00:21.709,2
00:21.878,25
00:22.047,5
00:22.218,3
00:22.385,6+
00:22.726,26-
00:22.894,5
00:23.065,3
00:23.234,4
00:23.403,2
00:23.574,5
00:23.742,1+6
00:24.252,1-6
00:24.570,2U5U
00:24.914,6
00:25.083,3
00:25.251,5
00:25.423,2
00:25.599,4
00:25.760,1
00:26.098,25
00:26.438,36+
00:26.946,16-
00:27.286,2R5
00:27.964,2
00:28.134,3
00:28.307,4
00:28.476,5
00:28.811,5
00:28.982,3
00:29.163,6+
00:29.491,26-
00:29.676,5
00:29.842,3
00:30.009,4
00:30.185,2
00:30.354,5
00:30.524,1+
00:30.861,1-5
00:31.032,2
00:31.200,4
00:31.371,3
00:31.540,5
00:31.712,2U
00:32.217,5
00:32.303,2
00:32.388,4
00:32.557,3
00:32.727,5
00:32.896,4
00:33.066,3
00:33.235,2L
00:33.575,1R
00:33.914,2L
00:34.251,1R
00:34.591,6+3
00:34.930,16-
00:35.100,5
00:35.268,2
00:35.438,4
00:35.608,3
00:35.778,5
00:35.946,2
00:36.286,4
00:36.455,14
00:36.795,2R
00:36.964,5
00:37.133,2R
00:37.303,5
00:37.642,2
00:37.727,5
00:37.812,3
00:37.982,4
00:38.151,2
00:38.320,3
00:38.489,4
00:38.659,25
00:38.998,14
00:39.337,25
00:39.677,63
00:40.016,1+4
00:40.353,1-6
00:40.524,2
00:40.694,5
00:40.863,3
00:41.033,4
00:41.202,2
00:41.372,5U
00:41.710,25
00:41.881,25
00:42.050,6
00:42.219,3
00:42.388,5
00:42.558,2
00:42.728,4
00:42.898,1+
00:43.235,1-5
00:43.406,2+
00:43.745,62-
00:44.083,5+
00:44.422,25-
00:44.762,1
00:44.931,4
00:45.101,2
00:45.269,5
00:45.440,3
00:45.610,6+
00:45.948,26-
00:46.118,5+
00:46.457,15-
00:46.796,2+
00:47.135,2-5
00:47.304,3
00:47.474,4
00:48.151,6+
00:48.491,6-2
00:48.661,5
00:48.830,3
00:49.000,4
00:49.168,2
00:49.338,5
00:49.508,1+
00:49.847,1-5
00:50.017,2
00:50.182,4
00:50.338,3
00:50.509,5
00:50.678,2
00:50.848,5U
00:51.187,1
00:51.355,4
00:51.525,2
00:51.695,5
00:52.034,3
00:52.203,6
00:52.373,2
00:52.542,5
00:52.712,1
00:52.882,4
00:53.219,3
00:53.390,5
00:53.559,2U
00:53.902,4
00:54.067,3
00:54.237,5
00:54.406,2
00:54.576,4
00:54.746,3
00:54.916,5R
00:55.257,2
00:55.433,5
00:55.607,1
00:55.778,4
00:55.945,2
00:56.119,5
00:56.288,3
