00:04.043,5+2L
00:05.230,2+5R
00:06.586,6+2U
00:07.942,1L6R
00:08.281,25
00:08.620,6
00:08.790,3
00:08.959,5
00:09.129,2
00:09.298,4
00:09.468,1+
00:09.806,1L4U
00:10.315,5+
00:10.654,2R5L
00:10.993,25
00:11.332,1
00:11.501,4
00:11.671,2
00:11.831,5
00:11.990,3
00:12.161,6R
00:12.501,2L
00:13.010,36
00:13.349,3+6+
00:13.858,1-4-
00:14.028,5
00:14.113,2
00:14.197,5
00:14.367,2R
00:14.689,34
00:15.030,1+
00:15.112,4+
00:15.197,1-
00:15.282,4-
00:15.366,2+
00:15.452,5+
00:15.536,2-
00:15.621,5-
00:15.706,3+
00:15.791,6+
00:15.876,3-
00:15.960,6-
00:16.045,2+
00:16.130,5+
00:16.215,2-
00:16.300,5-
00:16.383,1+
00:16.470,4+
00:16.554,1-
00:16.638,4-
00:16.722,2+
00:16.809,5+
00:16.893,2-
00:16.978,5-
00:17.062,3+
00:17.147,6+
00:17.231,3-
00:17.316,6-
00:17.401,2
00:17.486,5
00:17.573,2
00:17.740,4
00:17.826,1
00:17.915,4
00:18.080,25
00:18.432,16
00:18.774,2U5U
00:19.107,4
00:19.198,1
00:19.276,5
00:19.365,2
00:19.447,6
00:19.536,3
00:19.622,5
00:19.790,25
00:20.129,36+
00:20.468,26-
00:20.553,5
00:20.638,2+
00:20.808,6
00:20.978,2-6
00:21.316,14
00:21.486,4
00:21.654,25
00:21.825,2
00:21.993,36
00:22.161,6
00:22.333,25
00:22.502,3
00:22.671,4
00:22.846,5+
00:23.016,1
00:23.186,15-
00:23.350,4
00:23.519,3
00:23.688,5
00:23.774,2
00:23.859,5
00:24.028,3
00:24.197,6+
00:24.367,2
00:24.536,36-
00:24.706,4
00:24.874,5
00:24.961,2
00:25.044,5
00:25.214,3
00:25.300,6
00:25.383,2
00:25.468,5
00:25.553,1+
00:25.892,1-5
00:25.977,2
00:26.061,5+
00:26.231,3
00:26.401,2U5U
00:26.739,36
00:26.910,3
00:27.079,25
00:27.249,5
00:27.417,14
00:27.587,1
00:27.757,25
00:27.927,5
00:28.097,2
00:28.265,6+
00:28.434,1
00:28.604,26-
00:28.774,3
00:28.944,4
00:29.113,25
00:29.283,4
00:29.451,3
00:29.622,2
00:29.706,5
00:29.791,2
00:29.961,6
00:30.046,3
00:30.129,6
00:30.215,3
00:30.299,6
00:30.640,5
00:30.809,2
00:30.978,16+
00:31.316,26-
00:31.487,35
00:31.655,35
00:31.824,4
00:31.995,3
00:32.165,25
00:32.334,1+6
00:32.673,1-5
00:32.843,24
00:33.013,24
00:33.181,3
00:33.368,4
00:33.537,2U5U
00:33.876,16
00:34.046,5
00:34.131,2
00:34.215,4
00:34.384,3
00:34.555,5
00:34.724,4
00:34.893,3
00:35.063,2L
00:35.401,1R
00:35.741,2L
00:36.080,4
00:36.165,1
00:36.250,5
00:36.334,2
00:36.419,6+
00:36.758,16-
00:36.928,25
00:37.097,4
00:37.266,3
00:37.436,5
00:37.605,25
00:37.775,2
00:38.114,1
00:38.284,14
00:38.453,4
00:38.623,2R
00:38.792,5
00:38.962,2R
00:39.131,5
00:39.298,16
00:39.451,2
00:39.532,5
00:39.616,3
00:39.792,4
00:39.962,2
00:40.115,3
00:40.283,4
00:40.454,5+
00:40.626,25-
00:40.800,6+
00:40.975,26-
00:41.132,1+
00:41.301,1-5
00:41.471,2+
00:41.640,2-5
00:41.811,1+
00:41.979,6
00:42.149,1-6
00:42.319,25
00:42.488,4
00:42.657,3
00:42.827,5
00:42.911,2
00:42.996,5
00:43.084,2
00:43.170,5
00:43.503,16
00:43.676,16
00:43.849,5
00:43.936,2
00:44.022,5
00:44.200,34
00:44.366,2
00:44.450,5
00:44.533,2
00:44.703,1+6
00:45.044,1-4
00:45.216,5+
00:45.386,2
00:45.548,2+5-
00:45.894,2-6+
00:46.231,6-3
00:46.573,1
00:46.742,2
00:46.912,3
00:47.080,4
00:47.250,5
00:47.420,16+
00:47.759,36-
00:47.928,2+
00:48.098,5
00:48.267,2-5+
00:48.606,1+5-
00:48.946,1-6
00:49.115,2
00:49.284,3
00:49.454,4
00:49.538,1
00:49.623,5
00:49.708,2
00:49.793,6
00:49.878,3
00:49.962,5+
00:50.302,25-
00:50.471,4
00:50.640,3
00:50.810,5
00:50.979,16
00:51.147,16
00:51.318,2+5
00:51.657,2-4
00:51.826,3
00:51.996,5
00:52.165,2
00:52.333,6
00:52.419,3
00:52.504,6
00:52.589,3
00:52.674,6
00:53.013,2
00:53.183,3
00:53.352,4
00:53.521,25
00:53.861,5
00:54.030,2
00:54.200,25
00:54.369,4
00:54.539,3
00:54.709,25
00:55.048,4
00:55.217,3
00:55.387,2U5U
00:55.727,5
00:55.891,4
00:56.063,3
00:56.234,25
00:56.403,3
00:56.573,4
00:56.658,2
00:56.743,5
00:57.082,16
00:57.251,5
00:57.420,2
00:57.591,25
00:57.760,4
00:57.843,1
00:57.928,5
00:58.014,2
00:58.096,6
00:58.181,3
00:58.266,5+
00:58.603,3
00:58.780,25-
00:58.946,1+6
00:59.285,1-4
00:59.455,3
00:59.623,2+5
00:59.876,2-6
00:59.963,3
01:00.132,4
01:00.303,25+
01:00.556,15-
01:00.640,4
01:00.811,3
01:00.977,5+2L
01:01.322,15-
01:01.489,2+5R
01:01.828,2-6
01:01.998,2
01:02.167,1L4
01:02.504,25
01:02.675,25
01:03.015,2
01:03.184,5
01:03.353,3
01:03.523,6+
01:03.693,3
01:03.861,36-
01:04.032,5
01:04.201,2
01:04.370,1+4
01:04.710,1-5
01:04.879,2
01:05.049,36
01:05.218,5
01:05.387,24
01:05.556,2
01:05.896,36
01:06.064,25
01:06.234,1+
01:06.401,4
01:06.558,1-4
01:06.736,25
01:06.898,36
01:07.082,25
01:07.235,34
01:07.405,25
01:07.574,1U6U
01:07.912,25
01:08.083,3
01:08.252,4
01:08.422,25
01:08.591,3
01:08.676,6
01:08.761,2
01:08.846,5
01:08.933,1
01:09.022,4
01:09.100,1+
01:09.439,1L4U
01:09.778,25
01:09.949,2
01:10.119,5
01:10.302,2R5L
01:10.628,4
01:10.811,3
01:10.974,2
01:11.149,14
01:11.318,4
01:11.490,25
01:11.657,2
01:11.829,3R6R
01:12.168,2L5L
01:12.507,4
01:12.676,36
01:12.846,25
01:13.015,1L4L
01:13.354,25
01:13.524,25
01:13.863,16
01:14.031,5
01:14.116,2
01:14.200,5
01:14.286,2
01:14.370,5
01:14.711,4
01:14.879,14
01:15.048,1
01:15.219,25
01:15.388,5
01:15.557,36
01:15.726,3
01:15.897,25
01:16.066,5
01:16.236,16
01:16.405,16
01:16.574,2
01:16.745,5
01:16.913,2
01:17.083,2R5L
01:17.422,5
01:17.591,4
01:17.761,3
01:17.930,25
01:18.269,1
01:18.439,2
01:18.608,3
01:18.778,4
01:18.947,25
01:19.287,24
01:19.455,15
01:19.625,26
01:19.794,35
01:19.965,2U6U
01:20.135,5+
01:20.219,3+
01:20.304,5-
01:20.388,3-
01:20.474,6+
01:20.558,2+
01:20.643,6-
01:20.728,2-
01:20.813,5+
01:20.897,1+
01:20.983,5-
01:21.067,1-
01:21.152,4
01:21.237,2
01:21.320,4
01:21.660,35
01:21.830,2+
01:21.998,6
01:22.168,2-5
01:22.253,2
01:22.337,4
01:22.508,35+
01:22.842,25-
01:23.013,34
01:23.185,25
01:23.354,1+6
01:23.694,1-5
01:23.864,2
01:24.033,25
01:24.203,4
01:24.371,3
01:24.543,25
01:24.881,1
01:25.051,4
01:25.220,1R4R
01:25.560,3
01:25.728,6
01:25.899,3
01:26.067,3L6L
01:26.237,5
01:26.407,4
01:26.576,34
01:26.915,25
01:27.254,1U6U
01:27.924,1!
01:33.350,1L6U
01:33.687,5
01:33.855,4
01:34.026,3
01:34.194,2
01:34.364,16
01:34.548,16
01:34.702,1U6R
01:35.043,2
01:35.212,3
01:35.381,4
01:35.551,5
01:35.721,2
01:35.803,5
01:35.889,2
01:35.973,5
01:36.062,2
01:36.402,5
01:36.578,4
01:36.745,3
01:36.904,25
01:37.250,2
01:37.421,5
01:37.594,25
01:37.761,3
01:37.932,4
01:38.101,25
01:38.441,4
01:38.611,3
01:38.780,2L5R
01:39.119,2
01:39.288,3
01:39.457,4
01:39.628,25
01:39.797,4
01:39.966,3
01:40.050,5
01:40.136,2
01:40.475,16
01:40.814,25
01:40.984,25
01:41.153,4
01:41.238,1
01:41.322,5
01:41.407,2
01:41.492,6
01:41.577,3
01:41.662,6U
01:43.016,1L6R
01:43.695,1L6R
01:44.374,2U5U
01:45.560,1L
01:45.899,5
01:45.983,2
01:46.069,5
01:46.153,2
01:46.238,5
01:46.323,2
01:46.408,4
01:46.492,1
01:46.578,4
01:46.662,1
01:46.747,4
01:46.917,25
01:47.255,2
01:47.425,3
01:47.594,4
01:47.764,25
01:47.933,3
01:48.103,4
01:48.272,5
01:48.441,25
01:48.611,4
01:48.780,3
01:48.950,25
01:49.119,4
01:49.290,3
01:49.459,2
01:49.628,16
01:49.966,5
01:50.052,2
01:50.136,5
01:50.222,2
01:50.307,5
01:50.390,2
01:50.476,6
01:50.561,3
01:50.645,6
01:50.731,3
01:50.814,6
01:50.900,3
01:50.984,6
01:51.324,2
01:51.494,3
01:51.663,4
01:51.832,25
01:52.002,3
01:52.087,6
01:52.172,2
01:52.255,5
01:52.341,1
01:52.425,4
01:52.510,1+
01:52.848,1L4U
01:53.188,25
01:53.357,2
01:53.528,5
01:53.696,2R5L
01:54.036,4
01:54.205,3
01:54.375,2
01:54.544,14
01:54.715,4
01:54.883,25
01:55.053,2
01:55.222,6R3R
01:55.561,2L5L
01:55.900,4
01:56.070,63
01:56.239,25
01:56.409,1L4L
01:56.748,25
01:56.917,25
01:57.255,16
01:57.426,5
01:57.510,2
01:57.596,5
01:57.681,2
01:57.765,5
01:58.104,4
01:58.273,14
01:58.443,1
01:58.613,25
01:58.776,5
01:58.951,63
01:59.121,3
01:59.289,25
01:59.446,5
01:59.625,16
01:59.782,1U6U
02:00.122,2
02:00.206,5
02:00.291,2
02:00.376,5
02:00.460,2
02:00.798,5
02:00.968,4
02:01.138,3
02:01.308,25
02:01.647,1
02:01.817,2
02:01.986,3
02:02.159,4
02:02.329,25
02:02.671,24
02:02.839,15
02:03.012,62
02:03.181,35
02:03.347,6U2U
02:03.528,5+
02:03.613,3+
02:03.695,5-
02:03.778,3-
02:03.866,6+
02:03.952,2+
02:04.036,6-
02:04.121,2-
02:04.206,5+
02:04.291,1+
02:04.376,5-
02:04.460,1-
02:04.545,4
02:04.630,2
02:04.714,4
02:05.054,35
02:05.223,2+
02:05.393,6
02:05.562,2-5
02:05.647,2
02:05.732,4
02:05.900,35+
02:06.241,25-
02:06.410,34
02:06.579,25
02:06.749,1+6
02:07.087,1-5
02:07.257,2
02:07.427,25
02:07.596,4
02:07.766,3
02:07.934,25
02:08.273,1
02:08.444,4
02:08.612,1R4R
02:08.952,3
02:09.121,6
02:09.290,3
02:09.460,3L6L
02:09.629,5
02:09.798,4
02:09.968,34
02:10.308,25
02:10.646,1+6+
02:11.663,1R6L
