00:02.270,2
00:02.570,1
00:02.869,2
00:03.170,3
00:03.469,4
00:03.770,3
00:04.069,2
00:04.356,1
00:04.670,42+
00:04.970,4
00:05.269,4
00:05.577,4
00:05.870,41U
00:07.087,2
00:07.387,4U
00:07.687,2
00:07.986,4U
00:08.287,2
00:08.586,4U
00:08.887,2
00:09.187,4U
00:09.487,2
00:09.787,3
00:10.087,1L4R
00:10.387,2
00:10.687,3
00:10.987,2
00:11.287,1L4R
00:11.600,3
00:11.904,2
00:12.203,4
00:12.504,4L2R
00:12.804,1
00:13.102,3
00:13.404,1
00:13.704,1R3L
00:14.004,2
00:14.303,4
00:14.604,2
00:14.904,4L
00:15.204,3
00:15.508,1
00:15.804,3
00:16.104,1+
00:16.555,1U
00:17.904,4+2+
00:18.655,1R3R
00:19.105,4+2
00:19.704,13-
00:20.305,42+
00:20.905,1-3
00:21.505,4+2+
00:22.105,1-3-
00:22.704,13+
00:23.305,4-2
00:23.905,2R
00:24.505,4
00:25.106,2U
00:25.706,4
00:26.276,1+3
00:26.871,41-
00:27.472,1L
00:28.522,2+3+
00:29.119,1-4-
00:29.718,4+1+
00:30.319,4-1-
00:30.925,2L
00:31.525,3R
00:32.124,2+4+
00:32.736,1-3-
00:33.337,1+3R
00:33.940,1-4R
00:34.539,4+2L
00:35.140,4-1L
00:35.739,3+
00:36.340,4-2+
00:36.939,1U
00:38.289,1+3
00:38.889,41-
00:39.489,2+3+
00:40.090,1-4-
00:40.689,4+2
00:41.290,4-1
00:41.590,1+
00:41.889,3
00:42.190,1U
00:43.089,41+
00:43.690,4
00:44.291,4
00:44.890,42-
00:45.490,4+1+
00:46.090,2-3-
00:46.540,1L
00:47.891,4U1U
00:48.191,2
00:48.491,3
00:48.791,4
00:49.090,3
00:49.391,2
00:49.691,3
00:49.991,2
00:50.291,2+3+
00:50.891,4-1-
00:51.174,2
00:51.474,3
00:51.774,4
00:52.074,3
00:52.374,2
00:52.673,1L3L
00:53.123,4R2R
00:53.723,2U3U
00:54.174,4
00:54.473,3
00:54.774,2
00:55.074,1+3+
00:56.124,1-4L
00:56.574,2
00:56.871,3
00:57.169,2
00:57.474,41L
00:57.774,3
00:58.075,2
00:58.380,1
00:58.682,2
00:58.992,3
00:59.284,2
00:59.589,3
00:59.891,2+3+
01:00.492,4-1-
01:00.792,3
01:01.091,2
01:01.392,1
01:01.691,2
01:01.992,3
01:02.291,4R2R
01:02.741,1L3L
01:03.341,2U3U
01:03.791,1
01:04.092,2
01:04.391,3
01:04.692,4+2+
01:05.741,4-1R
01:06.942,23
01:07.392,41
01:07.692,3
01:07.992,2
01:08.292,23
01:08.592,41
01:08.892,2
01:09.192,3
01:09.492,2
01:09.792,2R
01:10.092,3
01:10.392,3L
01:10.690,4+1+
01:11.124,4-1-
01:11.725,2R
01:12.176,4
01:12.476,2U
01:12.775,4
01:13.076,1+4+
01:13.826,2-4-
01:14.127,2+4+
01:15.176,4-1-
01:15.476,4
01:15.926,3
01:16.377,2
01:16.827,4U1U
01:17.277,2R
01:17.726,2R
01:18.948,1!
01:24.181,1+4+
01:24.482,4L1R
01:25.387,1+4+
01:25.690,4L1R
01:26.592,1+4+
01:26.893,4L1R
01:27.194,3
01:27.494,2
01:27.794,3
01:28.093,2
01:28.993,2+4+
01:29.293,4L2-
01:29.594,1
01:29.893,3
01:30.194,1+3+
01:30.494,1R3-
01:30.793,4
01:31.094,2
01:31.393,2+4+
01:31.694,4L2-
01:31.994,1
01:32.293,2
01:32.593,3
01:32.893,4
01:33.799,1+3+
01:34.094,1U3U
01:34.395,4
01:34.695,2
01:34.994,2+4+
01:35.294,4U2U
01:35.594,1
01:35.894,3
01:36.194,1+3+
01:36.494,1U3U
01:36.794,4
01:37.094,3
01:37.396,2
01:37.694,1
01:38.144,14
01:38.595,3
01:38.895,2
01:39.195,1
01:39.495,2
01:39.795,3
01:40.095,4
01:40.245,2
01:40.545,2+4+
01:42.777,1=3=
01:43.545,2=4=
01:45.179,1U3U
