0:0:4.650,2
0:0:5.053,3
0:0:5.479,2
0:0:5.885,3
0:0:6.274,2+3+
0:0:7.712,4-1R
0:0:10.335,1L4L
0:0:11.159,1+
0:0:11.566,1-
0:0:11.955,4+
0:0:12.362,4-
0:0:12.755,1R4L
0:0:13.596,2
0:0:13.999,3
0:0:14.372,4+1+
0:0:14.777,4-1-
0:0:15.196,1+4+
0:0:15.605,4-1-
0:0:16.009,1R
0:0:16.837,4+2+
0:0:19.255,1U4U
0:0:20.879,2+
0:0:22.502,1U
0:0:24.126,1+
0:0:24.532,1-3
0:0:24.939,4+
0:0:25.344,4-2
0:0:25.750,3+2+
0:0:27.351,4-1R
0:0:28.392,2+
0:0:29.593,1R
0:0:30.608,1+
0:0:31.015,1-
0:0:31.419,4+
0:0:31.826,4-
0:0:32.231,1+4+
0:0:33.652,1R4-
0:0:35.277,41L
0:0:36.305,3
0:0:36.685,2
0:0:37.088,1+3+
0:0:37.506,1-3-
0:0:37.922,4+2+
0:0:38.330,4-2-
0:0:38.739,2U4U
0:0:39.550,2U4U
0:0:40.347,4
0:0:40.759,42
0:0:41.158,3
0:0:41.561,13
0:0:41.955,2+3+
0:0:42.769,2-3-
0:0:43.569,3+2+
0:0:44.803,2-3-
0:0:45.192,4+1+
0:0:46.410,4-1-
0:0:46.817,1R4L
0:0:48.440,1+4+
0:0:49.659,1-4-
0:0:50.065,2+3+
0:0:51.705,1R4L
0:0:52.110,3
0:0:52.515,2
0:0:52.922,1
0:0:53.327,1R
0:0:53.733,3L
0:0:54.140,1R
0:0:54.545,3L
0:0:54.951,2+
0:0:55.351,2-
0:0:55.753,2
0:0:56.155,2
0:0:56.562,4+1+
0:0:57.355,4-1-
0:0:57.762,2R
0:0:58.573,2R
0:0:59.385,4R
0:0:59.791,4+1+
0:1:0.399,1U4-
0:1:1.416,1U
0:1:2.024,4R
0:1:2.430,1L
0:1:3.039,1+
0:1:3.445,1-3
0:1:3.842,4+
0:1:4.231,24-
0:1:4.627,1+
0:1:5.058,1-3
0:1:5.449,4+
0:1:5.875,4-2
0:1:6.272,3
0:1:6.680,2
0:1:7.086,3
0:1:7.491,2L3R
0:1:7.881,1+4+
0:1:8.489,1U4-
0:1:9.521,1U4
0:1:10.129,1U4
0:1:10.731,1R4
0:1:11.343,2+3+
0:1:12.375,4-1-
0:1:12.780,4+1+
0:1:13.372,1-4-
0:1:13.995,1+3+
0:1:14.993,4-1-
0:1:15.586,24
0:1:15.987,4+2+
0:1:17.612,1-3-
0:1:18.035,1
0:1:18.441,2
0:1:18.846,3
0:1:19.268,4+2+
0:1:20.469,1-3-
0:1:20.880,1+
0:1:21.278,1-3
0:1:21.684,4+
0:1:22.156,24-
0:1:22.496,2+4+
0:1:23.722,2-4-
0:1:24.136,4+2+
0:1:25.326,1-3-
0:1:25.742,4+1+
0:1:27.382,2L4-
0:1:29.005,1L4R
0:1:30.629,1L4R
0:1:32.250,1R4L
0:1:33.872,4L1R
0:1:35.492,1U4U
0:1:37.099,1+4+
0:1:38.114,4-1-
0:1:38.700,2+3+
0:1:39.946,1-4-
0:1:40.353,4+1+
0:1:41.581,4-1-
0:1:41.978,1+4+
0:1:43.162,2-3-
0:1:43.584,1+4+
0:1:44.785,1-4-
0:1:45.179,1!
0:1:51.703,4+1+
0:1:52.504,1-4-
0:1:52.911,2R
0:1:53.716,2R
0:1:54.528,1L
0:1:54.933,1+4+
0:1:55.542,4-1R
0:1:56.557,1R
0:1:57.166,3
0:1:57.572,2
0:1:58.174,1+
0:1:58.579,1-3
0:1:58.994,4+
0:1:59.395,24-
0:1:59.805,4+2+
0:2:1.022,3-1-
0:2:1.468,4+
0:2:1.851,4-2
0:2:2.256,1+
0:2:2.662,1-3
0:2:3.068,1+3+
0:2:4.271,4-2-
0:2:4.677,41U
0:2:5.266,1U4
0:2:5.876,41R
0:2:6.484,3+2+
0:2:7.499,1-4-
0:2:7.905,23
0:2:8.514,23
0:2:9.123,1+3+
0:2:11.162,1U4U
0:2:12.382,14
0:2:12.789,1+4+
0:2:16.033,1R4L
