00:02.694,1L
00:03.387,4R
00:04.541,4L1L
00:05.233,1R4R
00:06.387,1+4+
00:06.850,2=3=
00:07.284,1=4=
00:07.795,2=3=
00:08.235,4-1R
00:09.158,4U
00:10.080,1+3+
00:10.542,4-2-
00:11.004,1+3+
00:11.466,2-4-
00:11.927,1+
00:12.388,1-3
00:12.849,4+
00:13.312,24-
00:13.773,1+
00:14.235,2-
00:14.697,1+
00:15.158,2-
00:15.620,4+
00:16.075,24-
00:16.526,1+
00:16.988,1-3
00:17.449,1+4+
00:18.834,1-4-
00:19.296,2+4+
00:20.680,1-3-
00:21.142,2U
00:21.603,3R
00:22.074,4R
00:23.005,1R4L
00:23.927,4R
00:24.850,2+3+
00:25.312,1R4L
00:25.773,2
00:26.236,3
00:26.697,4+
00:27.158,4L
00:27.619,1+
00:28.081,1R
00:28.544,2+3+
00:29.467,1-4L
00:29.928,4L
00:30.389,1+
00:31.074,2=
00:31.774,1-
00:32.236,4+2+
00:32.698,2-4-
00:33.159,1+3+
00:33.621,1-3-
00:34.082,2+4+
00:34.544,2-4-
00:35.006,4U2U
00:35.928,1L4R
00:36.851,2U
00:37.313,2R
00:37.775,2+3+
00:38.699,1-4-
00:39.621,2+
00:40.313,1-3
00:40.544,1
00:41.468,3+
00:42.160,24-
00:42.391,4
00:43.297,1+
00:43.990,1-3
00:44.221,4+
00:44.914,24-
00:45.144,2+3+
00:45.836,1-4-
00:46.071,1U4U
00:46.990,2+
00:47.455,1-3
00:47.915,1+4+
00:48.386,4-1-
00:48.847,3+
00:49.313,24-
00:49.776,4+1+
00:50.237,1-4-
00:50.699,4U
00:51.161,1
00:51.622,4U
00:52.083,1
00:52.545,4L1R
00:53.468,2
00:53.930,3
00:54.392,2+3+
00:56.238,1U4U
00:57.161,4R1L
00:58.084,3+2+
00:58.546,1-4-
00:59.007,3
00:59.469,2
00:59.931,2+3+
01:00.392,4-1-
01:00.854,2
01:01.316,3
01:01.777,4+1+
01:02.239,2-3-
01:02.700,3
01:03.161,2
01:03.623,4+1+
01:04.085,1-4-
01:04.547,2
01:05.008,3
01:05.470,2+3+
01:05.931,1-4-
01:06.393,2+3+
01:06.854,1-4-
01:07.316,3
01:07.778,2
01:08.239,1
01:09.161,1+
01:09.624,2L
01:10.069,4+
01:10.531,3R
01:10.589,3R
01:10.991,4U1U
01:11.915,23
01:12.377,23
01:12.838,2+
01:13.300,1-3
01:13.761,3+
01:14.239,4-2
01:14.700,2+4+
01:15.158,1-3-
01:15.624,1+3+
01:16.087,4-2-
01:16.548,1+4+
01:17.009,2-3-
01:17.470,3
01:17.932,2
01:18.394,13
01:18.856,23
01:19.316,24
01:19.777,2+4+
01:20.689,4=
01:22.085,1U3U
01:22.431,4
01:22.779,4R1L
01:23.931,1+4+
01:24.392,1-4-
01:24.854,1+4+
01:25.317,2-3-
01:25.780,2U3U
01:26.470,1+3+
01:27.624,2=4=
01:28.300,1=3=
01:29.010,4U2U
01:29.460,1!
01:40.539,1R4L
01:42.397,4U1U
01:44.242,1U
01:45.165,2U
01:46.088,3U
01:47.010,4U
01:47.934,23
01:48.396,23
01:48.858,23
01:49.319,23
01:49.781,2+3+
01:50.217,1=4=
01:50.704,2-3-
01:51.628,3R
01:52.089,3R
01:52.550,3R
01:53.012,3R
01:53.473,4R1L
01:55.320,2+
01:55.782,1-3
01:56.244,3+
01:56.705,4-2
01:57.165,4+2+
01:57.627,1-3-
01:58.090,1+3+
01:58.551,4-2-
01:59.012,1+4+
01:59.474,2-3-
01:59.935,3
02:00.397,2
02:00.859,13
02:01.321,23
02:01.782,24
02:02.234,2+4+
02:03.124,2=4=
02:04.535,1U3U
02:04.881,4
02:05.228,4R1L
02:06.381,1+4+
02:06.858,4-1-
02:07.321,4+1+
02:07.783,2-3-
02:08.245,2U3U
02:08.936,1+3+
02:10.090,2=4=
02:10.783,1=3=
02:13.783,4U2U
