0:0:4.876,1
0:0:5.098,1
0:0:5.334,2
0:0:5.563,2
0:0:5.793,1
0:0:6.022,1
0:0:6.234,1+2+
0:0:6.682,1L2R
0:0:7.150,1
0:0:7.266,2
0:0:7.380,1
0:0:7.609,2
0:0:7.838,1
0:0:7.959,2
0:0:8.084,1+
0:0:8.314,2
0:0:8.429,1
0:0:8.543,2
0:0:9.002,2
0:0:9.116,1
0:0:9.232,2
0:0:9.461,1
0:0:9.690,2
0:0:9.805,1+
0:0:9.919,2
0:0:10.132,1
0:0:10.247,2
0:0:10.361,1
0:0:10.820,1
0:0:10.934,2
0:0:11.049,1
0:0:11.278,2
0:0:11.508,1
0:0:11.623,2
0:0:11.737,1
0:0:11.966,2
0:0:12.187,12
0:0:12.406,1
0:0:12.636,12
0:0:12.865,2
0:0:13.095,12
0:0:13.324,1
0:0:13.553,1+2+
0:0:14.023,2-1L
0:0:15.413,1
0:0:15.642,1
0:0:15.872,1+2+
0:0:16.330,1
0:0:16.812,1
0:0:17.224,12-
0:0:17.692,1+2
0:0:18.164,2
0:0:18.623,2
0:0:19.081,1-2
0:0:19.311,1
0:0:19.540,12+
0:0:19.999,1+2-
0:0:20.437,1-2+
0:0:20.896,12-
0:0:21.354,1+2+
0:0:21.813,1-2-
0:0:22.272,1+
0:0:22.730,12
0:0:22.959,2
0:0:23.189,1+2
0:0:23.648,1-2
0:0:24.106,12+
0:0:24.565,12-
0:0:25.022,1U2U
0:0:25.482,12
0:0:25.941,1L2R
0:0:26.416,1L2R
0:0:26.858,12+
0:0:27.317,12-
0:0:27.776,1+2L
0:0:28.234,1-2
0:0:28.694,1U2U
0:0:29.150,12
0:0:29.609,1L
0:0:30.053,1L
0:0:30.290,2
0:0:30.518,1+2+
0:0:30.977,1+2-
0:0:31.436,1U2U
0:0:31.895,2
0:0:32.124,1+
0:0:32.353,2
0:0:32.582,1-2+
0:0:32.811,1
0:0:33.042,1+2-
0:0:33.270,2
0:0:33.499,1-2+
0:0:33.729,1
0:0:33.958,12-
0:0:34.073,2
0:0:34.188,1
0:0:34.417,2+
0:0:34.646,1
0:0:35.086,12-
0:0:35.532,12
0:0:35.756,1
0:0:35.872,2+
0:0:36.226,1+2-
0:0:36.669,1-2
0:0:36.915,1
0:0:37.144,2
