00:02.542,1L2
00:03.527,1R
00:03.773,2L
00:04.495,12L
00:05.481,2U
00:05.724,1U
00:06.461,1U2
00:07.444,2L
00:07.691,1R
00:08.429,12U
00:08.922,2
00:09.414,1
00:09.906,2
00:10.397,1L2L
00:10.889,1U2U
00:11.382,1R2R
00:11.628,2
00:11.875,1
00:12.121,2
00:12.367,1+
00:12.613,1-2+
00:12.859,1+2-
00:13.100,1-2+
00:13.360,12-
00:13.592,2
00:13.714,1
00:13.838,2+
00:14.083,12-
00:14.331,2
00:14.577,1
00:14.823,2
00:15.070,1+2+
00:15.562,1-2-
00:15.809,12
00:16.295,12
00:16.541,2
00:16.788,12
00:17.035,1
00:17.281,12
00:17.526,2
00:17.773,12U
00:18.265,2
00:18.429,1
00:18.511,2
00:18.675,1
00:18.920,2
00:19.002,1
00:19.167,2
00:19.249,1
00:19.495,12
00:19.725,2
00:19.889,1
00:19.971,2+
00:20.134,1+
00:22.181,1-2-
00:22.679,1
00:22.929,2
00:23.172,1+2+
00:23.569,1-2-
00:24.324,2
00:24.405,1
00:24.651,12
00:24.895,12
00:25.128,2
00:25.292,1+
00:25.540,1-2
00:25.870,12
00:26.113,1+2+
00:26.608,1-2-
00:27.097,1U2U
00:27.473,1U2U
00:27.728,1
00:27.854,2
00:27.975,1+
00:28.223,1-2+
00:28.469,12-
00:28.592,2
00:28.716,1
00:28.838,2
00:28.962,1+
00:29.577,1-2
00:29.823,12
00:30.069,1+2+
00:30.562,1-2-
00:31.060,1U2U
00:31.428,2U1U
00:31.675,1
00:31.798,2
00:32.044,1+
00:32.290,1-2
00:32.413,1+
00:32.659,1-2
00:32.783,1
00:32.905,2+
00:33.521,12-
00:34.259,2+
00:34.505,1+2-
00:34.752,1-2
00:34.981,1+
00:35.350,1-2
00:35.597,1
00:35.721,2
00:35.966,1
00:36.212,2
00:36.459,1
00:36.705,2
00:36.829,1+
00:37.444,1-2
00:38.182,12
00:38.429,1
00:38.675,2
00:38.921,1R
00:39.168,2
00:39.413,1
00:39.660,2
00:39.906,21U
00:40.399,21U
00:40.892,2+1+
00:41.384,1-2-
00:42.125,12
00:42.369,1
00:42.491,2
00:42.737,1+
00:43.116,1-2+
00:43.352,12-
00:43.598,2
00:44.090,12
00:44.334,2
00:44.456,1
00:44.700,2+
00:45.069,1+2-
00:45.315,1-2
00:45.439,1
00:45.561,2
00:45.685,1
00:46.037,12
00:46.284,1
00:46.406,2
00:46.653,1+
00:47.022,1-2
00:47.269,1
00:47.515,2
00:47.761,1+
00:48.008,1-2
00:48.130,1
00:48.376,1+2
00:48.745,1-2+
00:49.238,12-
00:49.731,2+
00:50.224,12-
00:50.480,1+
00:51.218,1-2
00:51.465,2
00:51.708,1
00:51.964,2
00:52.077,1+
00:52.319,1-2
00:52.554,2+
00:53.174,12-
00:53.678,2+
00:53.915,12-
00:54.047,2
00:54.293,1+
00:54.540,1-2
00:54.663,1
00:54.908,2
00:55.156,1+
00:55.279,2+
00:56.139,1-2-
00:56.633,1U
00:57.125,2
00:57.617,1R2L
00:57.864,1
00:57.987,2
00:58.233,1+
00:58.479,1-2
00:58.603,1
00:58.844,2+
00:59.090,12-
00:59.213,2
00:59.582,1R2L
00:59.829,2
00:59.952,1
01:00.199,2+
01:00.445,12-
01:00.568,2
01:00.813,1+
01:01.060,1-2
01:01.183,1
01:01.799,1+
01:02.045,1-2+
01:02.291,12-
01:02.414,2
01:02.784,1
01:03.030,2
01:03.277,1
01:03.522,2+
01:03.769,12-
01:03.891,2+
01:04.133,12-
01:04.502,1+2+
01:04.995,1-2-
01:05.487,1R2L
01:05.734,2
01:05.856,1
01:06.101,2+
01:06.348,12-
01:06.471,2
01:06.717,1+
01:06.961,1-2
01:07.081,1
01:07.451,1R2L
01:07.697,1
01:07.821,2
01:08.067,1
01:08.313,1+2+
01:08.682,1-2-
01:08.929,12
01:09.174,1L2R
01:09.667,2
01:09.913,1
01:10.160,2
01:10.406,1+
01:10.774,1-2+
01:11.143,12-
01:11.390,1+2+
01:11.865,1-2-
01:12.604,2
01:12.847,1L
01:12.971,2U
01:13.340,2
01:13.462,1+
01:13.709,1-2+
01:13.955,12-
01:14.078,2
01:14.324,1R
01:14.570,2R
01:14.940,2
01:15.063,1
01:15.186,2
01:15.309,1+
01:15.555,1-2
01:15.679,1+
01:15.925,1-2
01:16.048,1
01:16.172,2
01:16.298,1
01:16.554,12
01:17.036,2
01:17.155,1
01:17.265,2
01:17.512,1
01:17.635,2+
01:17.881,12-
01:18.127,2
01:18.250,1
01:18.497,2
01:18.619,1
01:18.880,2+
01:19.137,12-
01:19.250,2
01:19.357,1
01:19.484,2
01:19.605,1
01:19.986,1
01:20.108,2
01:20.230,1
01:20.355,2
01:21.217,12+
01:21.709,1+2-
01:22.202,1-2+
01:22.695,12-
01:23.187,1+
01:23.433,1-2
01:23.567,1
01:23.802,2
01:24.048,1+2+
01:24.418,1-2-
01:24.664,12
01:24.910,1U2L
01:25.403,1
01:25.649,2
01:25.895,1
01:26.141,2+
01:26.387,12-
01:26.511,2
01:26.757,1
01:27.002,1+2+
01:28.111,1-2-
01:29.588,1R2L
01:30.573,1R2L
01:31.559,1R2L
01:32.297,1R2L
01:32.544,1R2L
01:33.528,1R2L
