00:02.567,3L6
00:03.551,3R
00:03.797,6L
00:04.532,25L
00:05.500,5U
00:05.746,2U
00:06.485,1U4
00:07.475,4L
00:07.730,1R
00:08.462,25U
00:08.963,6
00:09.455,1
00:09.948,6
00:10.440,2L5L
00:10.932,1U4U
00:11.425,5R2R
00:11.671,4
00:11.918,3
00:12.165,5
00:12.411,2+
00:12.657,2-6+
00:12.904,1+6-
00:13.150,1-5+
00:13.397,25-
00:13.645,6
00:13.755,3
00:13.878,6+
00:14.123,26-
00:14.370,5
00:14.616,4
00:14.863,3
00:15.108,2+5+
00:15.601,2-5-
00:15.849,25
00:16.340,25
00:16.587,6
00:16.832,26
00:17.079,1
00:17.325,15
00:17.572,6
00:17.817,16U
00:18.310,6
00:18.474,3
00:18.555,6
00:18.721,3
00:18.965,5
00:19.048,2
00:19.212,5
00:19.295,2
00:19.541,16
00:19.780,5
00:19.945,2
00:20.027,5+
00:20.191,2+
00:22.236,2-5-
00:22.729,3
00:22.974,4
00:23.218,2+5+
00:23.615,2-5-
00:24.353,5
00:24.435,2
00:24.682,16
00:24.927,16
00:25.174,5
00:25.337,2+
00:25.584,2-5
00:25.913,16
00:26.142,1+6+
00:26.652,2-5-
00:27.129,2U5U
00:27.497,2U5U
00:27.743,2
00:27.866,4
00:27.989,1+
00:28.235,1-6+
00:28.481,26-
00:28.605,5
00:28.728,2
00:28.851,5
00:28.974,2+
00:29.605,2-5
00:29.852,16
00:30.098,1+6+
00:30.591,2-5-
00:31.083,2U5U
00:31.452,2U5U
00:31.699,2
00:31.821,5
00:32.068,1+
00:32.314,1-4
00:32.437,2+
00:32.683,2-5
00:32.807,3
00:32.935,6+
00:33.545,36-
00:34.286,6+
00:34.532,2+6-
00:34.789,2-5
00:35.038,1+
00:35.407,1-4
00:35.654,1
00:35.777,4
00:36.023,2
00:36.269,5
00:36.515,2
00:36.762,5
00:36.885,1+
00:37.483,3-6
00:38.221,16
00:38.468,2
00:38.715,5
00:38.962,2R
00:39.207,5
00:39.453,4
