0:00:04.07,6+
0:00:06.73,15-
0:00:06.82,5
0:00:06.92,1+
0:00:07.68,4+
0:00:08.43,4-2-
0:00:08.52,2
0:00:08.63,5
0:00:08.71,2
0:00:08.81,5
0:00:08.91,2
0:00:09.02,5
0:00:09.10,2
0:00:09.21,5
0:00:09.30,2
0:00:09.39,6
0:00:09.49,1
0:00:09.57,6
0:00:09.67,1
0:00:09.77,6
0:00:09.95,1
0:00:10.14,1U6U
0:00:10.70,2+
0:00:11.09,62-
0:00:11.29,5
0:00:11.48,4
0:00:11.67,2R
0:00:12.24,3
0:00:12.42,4
0:00:12.62,5
0:00:12.80,4
0:00:12.99,3
0:00:13.19,6+2+
0:00:13.32,(1.5)=(5.5)=
0:00:14.15,(1.5)=(5.5)=
0:00:14.32,6-2-
0:00:14.42,3
0:00:14.51,5
0:00:14.60,2
0:00:14.70,4
0:00:14.99,61
0:00:15.27,2R
0:00:15.64,2
0:00:15.74,5
0:00:15.84,3
0:00:15.94,4
0:00:16.03,2
0:00:16.13,5
0:00:16.22,3
0:00:16.60,61
0:00:16.79,5
0:00:16.88,2
0:00:16.97,4
0:00:17.34,61
0:00:17.53,2
0:00:17.62,5
0:00:17.73,3+
0:00:18.01,5+3-
0:00:18.29,5-2
0:00:18.49,6R1
0:00:18.87,52
0:00:19.24,6+1+
0:00:20.58,5-3-
0:00:20.77,4
0:00:20.85,1+
0:00:21.07,51-
0:00:21.16,2+
0:00:21.34,62-
0:00:21.44,3+
0:00:21.62,53-
0:00:21.72,2+
0:00:21.91,42-
0:00:22.10,2
0:00:22.29,52U
00:22.660,61
00:23.050,4
00:23.240,3
00:23.430,52
00:23.630,5+
00:23.820,1
00:24.010,5-2
00:24.200,4
00:24.390,3
00:24.580,52
00:24.780,3
00:24.960,4
0:00:25.16,5+2+
0:00:25.33,5-
0:00:25.53,62-
0:00:25.72,3
0:00:25.92,4+1
0:00:26.11,4-2+
0:00:26.30,5+2-
0:00:26.47,5-1
0:00:26.67,6+
0:00:26.87,2
0:00:27.05,6-3
0:00:27.24,4
0:00:27.44,5+
0:00:27.62,2
0:00:27.99,5-3
0:00:28.09,6
0:00:28.19,2
0:00:28.28,5
0:00:28.38,1+
0:00:28.76,6+
0:00:28.95,6-
0:00:29.14,5+
0:00:29.33,5-
0:00:29.52,4+
0:00:29.71,4-
0:00:29.90,5+
0:00:30.28,5-
0:00:30.48,6
0:00:30.66,6+
0:00:31.42,6-1-
0:00:31.78,1+5+
0:00:31.98,1-
0:00:32.17,2+
0:00:32.37,2-
0:00:32.54,3+
0:00:32.72,3-
0:00:32.91,1
0:00:33.21,2
0:00:33.49,3
0:00:33.67,1+
0:00:34.24,1-5-
0:00:34.43,5
0:00:34.62,4
0:00:34.82,3
0:00:34.99,42+
0:00:35.19,5+2-
0:00:35.37,1+5-
0:00:35.57,61-
0:00:35.75,5+3
0:00:35.94,2
0:00:36.14,5-3
0:00:36.32,4
0:00:36.51,63+
0:00:36.71,5+3-
0:00:36.89,5-2+
0:00:37.09,62-
0:00:37.29,1+
0:00:37.47,5
0:00:37.86,4
0:00:38.13,52-
0:00:38.22,3
0:00:38.41,4
