00:01.942,2
00:02.098,1
00:02.251,2
00:02.405,1
00:02.560,2
00:02.715,1
00:02.870,2
00:03.026,1U
00:03.798,1
00:04.108,2
00:04.416,1
00:04.571,2
00:04.726,1
00:04.881,2
00:05.036,1
00:05.345,2
00:05.499,2
00:05.808,1
00:05.964,1
00:06.548,2
00:06.704,1
00:06.858,2
00:07.167,1
00:07.322,1
00:07.631,2
00:07.785,2
00:08.714,2
00:08.869,1
00:09.023,2
00:09.178,1
00:09.332,2
00:09.642,1
00:09.796,2
00:10.106,1
00:10.260,2R
00:10.879,1+
00:11.189,1-2
00:11.346,1
00:11.498,2
00:11.808,1L
00:12.116,2
00:12.270,1L
00:12.587,2
00:12.748,1U
00:13.678,2
00:13.988,1
00:14.296,12
00:14.607,2
00:14.762,1
00:14.916,2
00:15.226,1
00:15.381,1
00:15.690,2
00:15.844,2
00:16.153,12
00:16.772,12
00:17.082,2
00:17.236,2
00:17.546,1
00:17.700,1
00:18.628,12
00:18.937,1
00:19.092,2
00:19.246,1
00:19.556,2
00:19.710,1
00:20.020,2
00:20.174,1L
00:20.792,2
00:20.947,1
00:21.102,2
00:21.256,1
00:21.411,2
00:21.566,1
00:21.720,2L
00:22.031,2
00:22.185,1R
00:22.493,1
00:22.647,2L
00:24.195,1+2+
00:24.660,2R1R
00:25.123,1
00:25.278,2
00:25.433,1+2+
00:25.897,1R2L
00:26.206,2
00:26.361,1
00:26.670,12
00:26.979,1
00:27.134,2
00:27.443,1
00:27.598,2
00:27.753,1U
00:28.526,1+2+
00:29.144,2R1L
00:29.762,1+2+
00:30.382,1L2R
00:31.309,1
00:31.465,2
00:31.620,1R
00:31.929,2
00:32.237,2L
00:32.547,1
00:32.857,1U
00:33.165,2
00:33.474,2U
00:34.092,1+2+
00:35.004,1-2-
00:35.313,1L2R
00:35.777,1R2L
00:36.242,1L2R
00:36.551,1+
00:36.861,1-2+
00:37.169,1+2-
00:37.479,1-2+
00:37.787,1+2-
00:38.097,1-2+
00:38.406,12-
00:38.722,12
00:39.028,1+2
00:39.347,2R
00:39.653,1-2
00:39.967,1U
00:40.898,1
00:41.053,2
00:41.207,1
00:41.362,2+
00:41.671,12-
00:41.826,2+
00:42.135,1+2-
00:42.444,1-2
00:42.754,1
00:42.909,2
00:43.064,1
00:43.681,2
00:43.836,1
00:43.990,2
00:44.301,12
00:44.609,12
00:44.919,1U2U
00:45.692,2
00:45.847,1
00:46.001,2
00:46.156,1U
00:46.464,2+
00:46.774,1+2-
00:47.083,1-2+
00:47.393,1+2-
00:47.700,1-2+
00:48.011,1+2-
00:48.320,1-2
00:48.631,12
00:48.939,1+2
00:49.249,2R
00:49.558,1-2
00:49.868,1U
00:50.796,1+
00:51.105,1-2
00:51.416,1R
00:51.723,1L
00:52.033,1R
00:52.342,1L
00:52.652,1+2+
00:52.961,2-1U
00:53.580,2+
00:53.889,1+2-
00:54.198,1-2+
00:54.507,2-1+
00:54.817,1-2+
00:55.126,12-
00:55.745,12
00:56.363,1+2+
00:57.909,1-2-
00:58.374,1
00:58.521,2
00:58.665,1+2+
01:00.058,2-1-
01:00.832,2
01:00.987,1
01:01.141,1+2+
01:02.533,1-2-
01:03.770,1U
01:04.387,1U
01:04.851,1U
01:06.266,1!
01:15.849,2
01:16.158,21
01:16.467,1
01:16.777,12
01:17.086,2
01:17.397,12
01:18.324,1
01:18.632,1+2
01:18.942,1-2
01:19.252,1+2
01:19.561,1-2
01:19.871,12
01:20.489,1+2+
01:21.107,1U2U
01:21.727,1+2+
01:22.345,2U1U
01:23.273,1
01:23.582,1R
01:23.892,2
01:24.200,2L
01:24.510,1
01:24.819,1+2+
01:25.438,1-2-
01:26.056,1+2+
01:28.515,1U2U
01:29.752,1+2+
01:30.988,1L2R
01:32.236,1L2R
01:33.481,1U2L
01:34.098,1U2L
01:34.716,1U2L
01:35.335,1
01:35.490,2
01:35.645,1
01:35.799,2+
01:36.109,12-
01:36.264,2+
01:36.571,1+2-
01:36.882,1-2
01:37.192,1
01:37.346,2
01:37.500,1
01:38.118,2
01:38.273,1
01:38.428,2
01:38.737,12
01:39.046,12
01:39.356,1U2U
01:40.130,2
01:40.284,1
01:40.440,2
01:40.593,1U
01:40.903,2+
01:41.212,1+2-
01:41.521,1-2+
01:41.831,1+2-
01:42.140,1-2+
01:42.450,1+2-
01:42.758,1-2
01:43.068,12
01:43.377,1+2
01:43.687,2R
01:43.995,1-2
01:44.305,1U
01:45.233,1+
01:45.543,1-2
01:45.852,1R
01:46.161,1L
01:46.470,1R
01:46.780,1L
01:47.090,1+2+
01:47.399,2-1U
01:48.017,2+
01:48.326,1+2-
01:48.636,1-2+
01:48.945,1+2-
01:49.254,1-2+
01:49.563,12-
01:50.182,12
01:50.801,1+2+
01:52.038,1-2-
01:52.812,1
01:52.975,2
01:53.136,1+2+
01:54.496,1-2-
01:55.269,2
01:55.426,1
01:55.578,1+2+
01:56.970,1-2-
01:57.899,1+2+
01:58.214,1U2U
02:00.694,1
02:01.314,1R2L
02:01.932,2
02:02.550,1R2L
02:03.167,1
02:03.789,1R2L
02:04.405,2
02:05.024,1R2L
02:05.642,1
02:06.262,1R2L
02:06.881,2
02:07.503,1R2L
02:08.118,1+2+
02:09.201,1R2L
