0:0:5.963,2U5U
0:0:6.296,1+6+
0:0:6.511,1U6U
0:0:6.736,2
0:0:6.820,5
0:0:6.895,2
0:0:6.970,5
0:0:7.196,16
0:0:7.400,5
0:0:7.481,2
0:0:7.556,5
0:0:7.631,2
0:0:7.857,61
0:0:8.082,25
0:0:8.308,1L6R
0:0:8.535,2
0:0:8.610,5
0:0:8.686,2
0:0:8.761,4
0:0:8.993,16
0:0:9.213,5
0:0:9.326,2+
0:0:9.551,53-
0:0:9.665,3+
0:0:9.890,2-5
0:0:10.132,2R5L
0:0:10.375,5
0:0:10.450,2
0:0:10.525,5
0:0:10.601,3
0:0:10.826,16
0:0:11.052,2
0:0:11.125,5
0:0:11.190,2
0:0:11.262,4
0:0:11.488,16
0:0:11.713,25
0:0:11.940,6
0:0:12.052,3
0:0:12.165,5
0:0:12.275,2
0:0:12.394,4
0:0:12.510,6
0:0:12.616,3
0:0:12.737,5
0:0:12.843,2+
0:0:12.899,5+
0:0:12.955,2-
0:0:13.013,5-
0:0:13.069,2
0:0:13.289,25
0:0:13.744,61U
0:0:13.988,4
0:0:14.213,61U
0:0:14.413,4
0:0:14.631,6+1U
0:0:14.857,36-
0:0:14.933,5
0:0:15.008,2
0:0:15.083,4
0:0:15.309,25
0:0:15.567,16R
0:0:15.794,2
0:0:16.002,16R
0:0:16.227,2
0:0:16.453,1+6R
0:0:16.679,1-4
0:0:16.754,2
0:0:16.830,5
0:0:16.904,3
0:0:17.131,25
0:0:17.356,61U
0:0:17.583,4
0:0:17.810,61U
0:0:18.035,4
0:0:18.260,6+1U
0:0:18.471,36-
0:0:18.545,5
0:0:18.628,2
0:0:18.694,4
0:0:18.917,25
0:0:19.143,16R
0:0:19.368,2
0:0:19.594,16R
0:0:19.820,2
0:0:20.063,16
0:0:20.107,1
0:0:20.176,3
0:0:20.290,4
0:0:20.402,1
0:0:20.515,5
0:0:20.628,3
0:0:20.741,4
0:0:20.853,1
0:0:20.966,16
0:0:21.192,6
0:0:21.419,4
0:0:21.611,26
0:0:21.849,4
0:0:22.079,6
0:0:22.193,4
0:0:22.306,2
0:0:22.532,4
0:0:22.757,62
0:0:22.983,4
0:0:23.209,2+
0:0:23.435,2-6
0:0:23.548,3
0:0:23.661,5
0:0:23.886,3
0:0:23.962,6
0:0:24.037,2
0:0:24.113,5+
0:0:24.338,1
0:0:24.564,25-
0:0:24.790,1
0:0:25.016,3
0:0:25.242,15
0:0:25.468,3
0:0:25.693,1
0:0:25.807,3
0:0:25.919,5
0:0:26.146,3
0:0:26.371,15
0:0:26.597,3
0:0:26.823,5+
0:0:27.049,15-
0:0:27.162,4
0:0:27.276,2
0:0:27.517,4
0:0:27.593,1
0:0:27.666,5
0:0:27.726,2+
0:0:27.952,6
0:0:28.178,2-5
0:0:28.404,6
0:0:28.630,4
0:0:28.873,62
0:0:29.098,4
0:0:29.325,6
0:0:29.437,4+
0:0:29.550,2
0:0:29.776,14-
0:0:30.002,25
0:0:30.227,36
0:0:30.453,4+
0:0:30.644,14-
0:0:30.764,4
0:0:30.899,2
0:0:31.125,5
0:0:31.193,2
0:0:31.242,4
0:0:31.302,1+
0:0:31.560,1-6
0:0:31.785,25
0:0:32.016,1
0:0:32.253,3
0:0:32.462,15
0:0:32.687,3
0:0:32.880,1
0:0:33.007,3+
0:0:33.130,5
0:0:33.348,3-6
0:0:33.589,25
0:0:33.799,14
0:0:34.037,3+
0:0:34.254,63-
0:0:34.349,3
0:0:34.470,5
0:0:34.687,2
0:0:34.763,5
0:0:34.838,3
0:0:34.912,6+
0:0:35.138,6-3
0:0:35.253,5
0:0:35.381,2+
0:0:35.607,62-
0:0:35.720,6
0:0:35.833,1+
0:0:36.059,1-5
0:0:36.268,3U
0:0:36.511,24
