00:02.631,1
00:02.866,1
00:03.104,1
00:03.339,1+2+
00:03.813,1-2-
00:04.048,1+2+
00:04.521,1R2-
00:04.757,2
00:04.993,1
00:05.230,2+
00:05.683,12-
00:05.921,2
00:06.159,1
00:06.395,12
00:06.630,2
00:06.867,1
00:07.102,2+
00:07.575,12-
00:07.813,2
00:08.048,1+
00:08.537,1-2
00:08.773,1
00:09.009,2+
00:09.482,12-
00:09.718,2
00:09.954,1
00:10.190,2
00:10.426,2
00:10.664,2
00:10.883,1+2+
00:11.355,1-2-
00:11.591,1+2+
00:12.064,1L2-
00:12.300,2
00:12.537,1
00:12.772,2
00:13.009,12
00:13.245,1
00:13.364,2
00:13.717,1
00:13.955,12
00:14.190,2
00:14.429,12
00:14.666,1
00:14.913,12
00:15.256,12
00:15.623,1+
00:15.854,2
00:16.097,1-2
00:16.328,1
00:16.567,2
00:16.805,12
00:17.278,2
00:17.396,1
00:17.514,2
00:17.632,1
00:17.751,2R
00:18.222,1L2R
00:18.696,1U2U
00:19.640,12
00:19.876,12
00:20.129,2
00:20.246,1
00:20.482,12
00:21.311,1
00:21.529,2+
00:21.883,1+2-
00:22.239,1-2
00:22.474,1+
00:22.830,1-2
00:23.183,2
00:23.420,1+
00:23.774,1-2+
00:24.129,12-
00:24.365,2+
00:24.720,12-
00:25.547,1
00:25.665,2
00:25.783,1
00:26.255,2+
00:26.609,1+2-
00:26.964,1-2
00:27.200,1U
00:27.437,2
00:27.672,12
00:28.146,12
00:28.500,12
00:28.853,12
00:29.090,1+2+
00:29.800,1-2-
00:30.035,1
00:30.390,2
00:30.744,1
00:30.861,2
00:30.980,1+
00:31.335,1-2+
00:31.688,2-1L
00:31.925,12
00:32.279,12
00:32.634,12
00:33.106,2
00:33.224,1
00:33.343,2
00:33.578,1
00:33.697,2
00:33.816,1R
00:34.406,2
00:34.524,1
00:34.642,2
00:34.761,1
00:34.878,2
00:34.997,1
00:35.233,2
00:35.351,1
00:35.469,2
00:35.587,1
00:35.706,2R
00:36.633,1L2L
00:36.870,1+
00:37.342,1-2
00:37.579,1+
00:37.933,1-2
00:38.287,1R2R
00:38.760,1
00:38.996,2
00:39.233,1
00:39.468,2+
00:39.823,12-
00:40.413,12
00:40.655,1
00:40.889,2
00:41.133,2
00:41.375,1+
00:41.727,1-2
00:42.084,2+
00:42.556,12-
00:42.793,2
00:43.029,1R2L
00:43.737,1L2R
00:43.972,1
00:44.210,2+
00:44.564,1+2-
00:44.918,1-2
00:45.153,1+
00:45.508,1-2
00:45.864,2
00:46.099,1+
00:46.453,1-2+
00:46.808,12-
00:47.044,2+
00:47.399,12-
00:48.225,1
00:48.343,2
00:48.462,1
00:48.816,1
00:48.933,2+
00:49.284,1+2-
00:49.643,1-2
00:49.880,1U
00:50.113,2
00:50.350,12
00:50.824,12
00:51.179,12
00:51.533,12
00:51.768,1
00:52.123,1
00:52.478,1
00:52.715,2
00:53.069,2
00:53.305,1
00:53.423,2
00:53.659,1+
00:54.014,1-2+
00:54.368,2-1U
00:54.603,12
00:54.959,21
00:55.313,12
00:55.786,2
00:55.903,1
00:56.022,2
00:56.258,1
00:56.376,2
00:56.494,1R
00:57.085,2
00:57.203,1
00:57.313,2
00:57.426,1
00:57.557,2
00:57.675,1
00:57.912,2
00:58.029,1
00:58.148,2
00:58.266,1
00:58.384,2R
00:59.328,1L2L
00:59.565,2+
01:00.037,12-
01:00.274,1+
01:00.629,1-2
01:00.983,1R2R
01:01.455,1
01:01.692,2
01:01.928,1
01:02.164,2+
01:02.518,12-
01:03.109,12
01:03.345,1
01:03.582,2
01:03.804,2
01:04.037,1+
01:04.391,1-2
01:04.748,2+
01:05.219,12-
01:05.454,2
01:05.691,1R2L
01:06.399,1L2R
01:06.875,2
01:07.239,2
01:07.597,2
01:07.831,1
01:08.188,1
01:08.542,1
01:08.779,2
01:09.134,1
01:09.487,2
01:09.724,1
01:10.078,2
01:10.432,1
01:10.669,1+2
01:11.377,1-2+
01:12.558,2-1
01:12.675,2
01:12.794,1
01:13.030,2
01:13.148,1
01:13.384,2
01:13.504,1U
01:14.448,1U
01:14.802,1
01:15.156,1
01:15.391,2
01:15.747,2
01:16.100,2
01:16.338,1
01:16.692,2
01:17.047,1
01:17.283,2
01:17.638,1
01:17.992,2
01:18.229,12+
01:18.937,1+2-
01:20.119,1-2
01:20.354,1
01:20.472,2
01:20.589,1
01:20.824,2R
01:22.007,1L
01:23.189,1
01:23.426,2
01:23.662,1
01:23.898,2+
01:24.370,12-
01:24.606,2+1+
01:25.080,1-
01:25.315,1+
01:25.788,2-1R
01:27.425,12+
01:27.897,12-
01:28.134,2
01:28.370,1
01:28.606,2
01:28.842,1
01:29.079,2
01:29.315,1+2+
01:29.786,1-2-
01:30.024,1
01:30.259,2
01:30.378,1
01:30.732,2
01:30.969,1
01:31.205,2
01:31.441,1+
01:31.913,1-2
01:32.153,1+2+
01:32.621,2-
01:32.866,2+
01:33.344,1R2U
01:35.001,1+2
01:35.473,1-2
01:35.710,1
01:35.946,2
01:36.182,1
01:36.419,2
01:36.891,1+2+
01:37.363,1R2L
01:38.308,1
01:38.545,2
01:38.781,1
01:39.017,2+
01:39.490,12-
01:39.726,2+1+
01:40.214,1-
01:40.452,1+
01:40.923,1L2R
01:42.578,12+
01:43.051,12-
01:43.287,2
01:43.522,1
01:43.759,2
01:43.995,1
01:44.468,1+2+
01:44.940,1-2-
01:45.176,1
01:45.412,1U2U
01:46.594,2
01:46.830,1
01:47.066,2
01:47.303,1+
01:47.775,1-2
01:48.011,1
01:48.248,2+
01:48.720,12-
01:48.956,2
01:49.192,1+
01:49.546,1-2
01:49.664,1
01:50.373,1
01:50.610,2
01:50.847,1
01:51.082,2+
01:51.555,12-
01:51.791,2
01:52.028,1+
01:52.500,1-2
01:52.736,1
01:52.972,2+
01:53.327,12-
01:53.445,2
01:54.146,1!
