00:00.496,1L2U
00:02.772,1L
00:03.531,2R
00:04.290,1L
00:05.050,2R
00:05.809,1R2L
00:07.329,1R
00:08.088,2L
00:08.847,2U1U
00:10.367,1R2L
00:11.888,1U2U
00:13.404,1R2R
00:14.924,2R
00:15.683,2R
00:16.443,1L
00:16.822,1L
00:17.962,1U2U
00:19.481,1U2U
00:21.000,2R1L
00:21.569,1L
00:21.760,2R
00:23.658,1
00:23.848,1
00:24.038,2+
00:25.178,1D-
00:25.367,1
00:26.696,12
00:27.076,1+
00:28.216,2S-
00:28.405,2
00:28.975,2
00:29.355,12
00:29.734,2
00:30.115,2+
00:31.254,1D-
00:31.443,1
00:32.773,1
00:32.963,2+
00:33.153,1+
00:33.533,1U2U
00:33.912,1+2+
00:34.291,1U
00:34.482,2U
00:35.811,1
00:36.000,2+
00:36.192,1+
00:36.949,1U2U
00:37.520,1+
00:38.090,1-2
00:38.470,2
00:38.659,1
00:38.849,2U
00:40.558,1+
00:40.748,2+
00:41.127,1L2L
00:41.507,1R2R
00:41.887,12
00:42.268,2+
00:43.026,1D-
00:43.406,1
00:43.596,1+
00:44.546,2S-
00:44.925,12
00:45.305,1+2+
00:46.823,1L2L
00:47.584,1
00:47.963,12
00:48.343,1+2
00:48.723,1-2+
00:49.103,12-
00:49.483,1+
00:49.672,2+
00:50.622,1-2-
00:51.001,1
00:51.192,1
00:51.382,2+
00:51.761,12-
00:51.951,2+
00:52.521,2-
00:52.710,2+
00:53.279,1D-
00:53.660,2L1R
00:54.040,2+
00:54.229,1+
00:55.179,1-2-
00:55.559,1+
00:55.939,2+1R
00:56.318,1+2L
00:56.698,2+1R
00:57.077,2L
00:57.458,1+2+
00:58.217,1U2U
00:58.597,12
00:58.787,1+2+
00:59.736,1L2R
01:00.116,1
01:00.306,1
01:00.496,2+
01:01.256,1D-
01:01.824,1
01:02.015,1+
01:02.395,2S-
01:03.154,12
01:03.535,1
01:03.914,12
01:04.293,2
01:04.673,12
01:05.053,1R
01:05.622,2L
01:05.813,1U
01:06.572,1+2+
01:07.331,1-2-
01:07.711,1
01:07.901,2
01:08.091,2
01:08.471,1U2U
01:09.230,12
01:09.610,1+2
01:09.989,2
01:10.370,1-2L
01:10.750,1R
01:11.129,2L
01:11.700,1R
01:11.888,2L
01:12.459,1
01:12.648,2+
01:12.838,1+
01:15.686,1L2-
01:16.446,1L
01:17.205,2R
01:17.965,2R
01:18.725,1+2
01:19.104,1-2
01:19.485,12+
01:19.864,12-
01:20.054,1+2+
01:21.003,1-2-
01:21.193,2
01:21.382,1
01:21.573,2
01:22.143,1+2+
01:22.523,1-2-
01:22.712,1+2+
01:23.282,1R2L
01:24.042,1
01:24.422,2
01:24.801,12
01:25.180,2
01:25.561,1
01:25.940,1U
01:26.130,2U
01:27.460,1
01:27.649,1
01:27.839,2
01:28.219,1
01:28.409,1
01:28.598,2
01:28.978,1R
01:29.168,2L
01:29.738,2
01:30.118,12
01:30.497,2U
01:30.687,1U
01:32.017,1
01:32.396,12
01:32.776,2
01:33.156,12
01:33.535,1
01:33.915,1+2+
01:34.675,1-2-
01:35.055,2R
01:35.245,1L
01:36.574,1
01:36.763,2+
01:36.954,1+
01:37.713,1U2U
01:38.283,1
01:38.472,2
01:38.852,1U2U
01:39.612,12
01:39.991,1+2
01:40.371,2
01:40.750,1-2+
01:41.131,1
01:41.511,2-1L
01:42.080,2L
01:42.271,1R
01:43.030,2+1+
01:43.790,1-2-
01:44.169,1
01:44.359,1
01:44.549,2
01:44.928,1R2L
01:45.687,1
01:46.068,12
01:46.448,2
01:46.827,12
01:47.206,1
01:47.586,1L2R
01:47.966,2+
01:48.156,1+
01:48.536,1R2L
01:49.093,(1.5)
02:01.259,1+
02:02.018,2S-
02:02.398,2
02:02.587,2
02:02.778,1
02:03.157,1+
02:03.917,1-
02:04.296,2+
02:05.056,1D-
02:05.436,1
02:05.815,1+
02:06.385,1-2
02:06.575,2
02:07.335,1R
02:07.715,2
02:08.094,1
02:08.473,2
02:08.664,1
02:08.853,1
02:09.234,12
02:09.613,12
02:09.993,1+2
02:10.752,1-2+
02:11.512,1R2-
02:12.651,2R
02:13.030,1
02:13.221,2R
02:13.601,1
02:13.791,2+
02:16.449,12-
02:17.209,1
02:17.398,2
02:17.968,1+
02:19.487,2+
02:21.196,1-2-
02:21.576,2
02:21.956,1+
02:25.183,2+
02:31.259,1-2-
