00:01.430,2U1U
00:02.087,12
00:02.749,12
00:03.407,12
00:03.741,1+2+
00:04.737,1-2-
00:05.070,1
00:05.230,2
00:05.403,1
00:05.731,2
00:06.062,12
00:06.392,1
00:07.380,1
00:07.710,2
00:07.875,1+
00:08.369,1-2
00:08.699,1
00:09.029,2
00:09.358,12+
00:10.348,12-
00:10.512,1+
00:11.337,1-2
00:11.666,1
00:11.831,2
00:11.996,1U
00:12.985,1
00:13.150,2
00:13.315,1U
00:14.304,1
00:14.468,2
00:14.633,1R2L
00:14.964,1
00:15.129,2
00:15.293,1+
00:15.623,1-2
00:15.787,1L2R
00:16.776,2
00:16.942,1
00:17.107,2
00:17.271,1+
00:17.930,1-2
00:18.260,1
00:18.425,2+
00:18.754,12-
00:18.920,2
00:19.579,1
00:19.744,2
00:19.909,1+
00:20.254,1-2+
00:20.568,12-
00:20.899,2
00:21.063,1+
00:21.393,21-
00:21.558,1
00:22.217,2
00:22.382,1+
00:22.876,1-2
00:23.187,2+
00:23.518,12-
00:23.683,1+2+
00:24.183,1-2-
00:24.854,1
00:25.019,2+
00:25.514,12-
00:25.844,1+
00:26.173,1-2
00:26.486,1L2R
00:27.145,1L2R
00:28.464,2
00:28.794,1
00:28.959,2+
00:29.453,12-
00:29.785,2
00:30.115,1
00:30.453,1+2
00:31.448,1-2
00:31.610,2+
00:32.107,2-1
00:32.437,1+2+
00:32.767,1-2-
00:32.931,1R2L
00:33.755,1+2+
00:34.083,1-2-
00:34.248,1L
00:35.075,1+2+
00:35.405,1-2-
00:35.570,1R2L
00:36.064,12+
00:36.721,1+2-
00:37.218,1-2
00:37.382,1+2+
00:37.712,1-2-
00:38.043,12
00:38.702,2
00:39.031,1+
00:39.525,1-2
00:39.690,1+
00:40.021,1-2
00:40.185,2+
00:40.515,12-
00:40.680,1+2+
00:41.340,1-2-
00:41.998,2
00:42.163,1
00:42.327,2+
00:42.658,2-1
00:42.823,2+
00:43.153,12-
00:43.482,1L2R
00:43.812,1
00:43.977,1+2+
00:44.636,1-2-
00:45.626,2
00:45.955,1
00:46.283,1U2U
00:46.943,12
00:47.274,1+2
00:47.933,1-2+
00:48.593,2-1
00:49.252,1
00:49.417,2
00:49.582,1
00:50.076,2
00:50.242,1
00:50.406,2
00:50.557,1
00:50.719,2
00:51.213,1
00:51.377,2
00:51.543,1+
00:51.873,1-2
00:52.038,1+
00:52.367,1-2
00:52.701,1L
00:53.524,1+
00:53.849,1-2
00:54.016,1U
00:54.840,1+
00:55.169,1-2
00:55.335,1U
00:55.830,2
00:56.159,1
00:56.493,2
00:56.840,1
00:57.161,2
00:57.494,1
00:57.824,12+
00:58.480,12-
00:58.813,2
00:58.978,1
00:59.143,1L2R
00:59.802,2
00:59.967,1
01:00.132,2
01:00.627,1
01:00.792,2
01:00.956,1
01:01.121,2
01:01.286,1
01:01.780,2
01:01.945,1
01:02.111,2+
01:02.440,12-
01:02.605,2+
01:02.934,12-
01:03.263,1+2+
01:04.087,1-2-
01:04.416,1
01:04.583,2
01:04.747,1+
01:05.076,1-2
01:05.242,1
01:05.733,2
01:06.065,1
01:06.393,2
01:06.725,1
01:07.055,2
01:07.219,1+2+
01:08.703,1-2-
01:09.362,12
01:09.691,1+2+
01:12.000,1-2-
01:12.659,1+
01:12.990,1-2
01:13.155,1+
01:13.650,1-2
01:13.961,2+
01:14.292,12-
01:14.456,2+
01:14.960,12-
01:15.123,1+
01:15.950,1-2
01:16.280,1
01:16.443,1+2+
01:17.266,1-2-
01:17.919,2+
01:18.248,12-
01:18.413,2+
01:18.908,12-
01:19.236,1+
01:19.568,1-2
01:19.732,1+
01:20.227,1-2
01:20.392,2+
01:21.215,12-
01:21.546,2
01:21.710,1+2+
01:22.535,1-2-
01:22.869,1
01:23.030,1+2+
01:23.868,1-2-
01:24.200,2+
01:24.530,1+2-
01:24.859,1-2
01:25.024,1+
01:25.353,1-2
01:25.684,1+2+
01:26.178,1-2-
01:26.505,2+
01:26.837,12-
01:27.002,1+
01:27.496,1-2
01:27.826,1
01:28.156,2
01:28.485,1+2+
01:28.816,1-2-
01:28.981,2R
01:29.640,2
01:29.803,1+2+
01:30.133,1-2-
01:30.299,1L2R
01:30.792,12
01:31.123,1+2+
01:31.782,1-2-
01:31.947,2
01:32.111,1
01:32.276,1+2+
01:33.101,1-2-
01:33.752,1!
01:43.982,1
01:44.147,1+2+
01:44.954,1-2-
01:45.118,1+
01:45.449,1-2
01:45.614,2+
01:45.944,12-
01:46.109,2+
01:46.436,12-
01:46.769,2
01:46.931,1L2
01:47.590,1L2
01:48.251,1U2
01:48.914,1+2+
01:49.259,1-2-
01:49.593,1
01:49.756,2
01:49.923,1
01:50.088,2
01:50.249,1
01:50.581,2
01:50.742,1+
01:51.233,1-2
01:51.564,1
01:51.894,2
01:52.059,1+2+
01:53.543,1U2U
01:54.200,12
01:54.862,12R
01:55.520,12
01:56.180,12
01:56.839,12
01:57.168,1+2+
01:58.159,1-2-
01:58.488,2
01:58.652,1
01:58.818,2
01:59.477,12
02:00.136,1L2
02:00.796,12
02:01.455,12
02:02.115,12
02:02.445,1+2+
02:03.434,1-2-
02:03.763,1
02:03.929,2
02:04.092,1
02:04.423,2
02:04.752,12
02:05.081,1
02:05.412,2+
02:08.043,2=
02:10.670,1D-
