00:01.568,1U6U
00:02.227,25
00:02.885,16
00:03.542,25
00:03.860,2+5+
00:04.849,3-6-
00:05.178,2
00:05.344,5
00:05.509,3
00:05.838,4
00:06.167,25
00:06.497,6
00:07.487,3
00:07.817,4
00:07.981,2+
00:08.475,2-5
00:08.808,4
00:09.134,3
00:09.465,26+
00:10.453,16-
00:10.618,2+
00:11.443,2-5
00:11.774,1
00:11.937,4
00:12.101,2U
00:13.108,1
00:13.273,4
00:13.437,2U
00:14.427,2
00:14.591,5
00:14.757,2R5L
00:15.086,3
00:15.250,4
00:15.416,2+
00:15.745,2-5
00:15.910,1L6R
00:16.899,5
00:17.064,2
00:17.228,4
00:17.394,1+
00:18.053,1-6
00:18.383,2
00:18.547,4+
00:18.877,14-
00:19.042,4
00:19.700,2
00:19.866,5
00:20.031,1+
00:20.360,1-6+
00:20.690,26-
00:21.020,5
00:21.185,3+
00:21.515,3-6
00:21.679,3
00:22.339,4
00:22.504,1+
00:22.999,1-4
00:23.329,5+
00:23.656,25-
00:23.822,1+6+
00:24.318,1-6-
00:24.978,3
00:25.142,6+
00:25.636,36-
00:25.966,2+
00:26.296,2-5
00:26.623,1L6R
00:27.284,1L6R
00:28.604,4
00:28.933,3
00:29.098,5+
00:29.593,25-
00:29.922,3
00:30.252,4
00:30.581,1+5
00:31.571,1-6
00:31.732,5+
00:32.213,25-
00:32.543,1+6+
00:32.873,1-6-
00:33.039,2R5L
00:33.862,2+5+
00:34.191,2-5-
00:34.357,2L
00:35.180,1+6+
00:35.511,1-6-
00:35.676,2R5L
00:36.170,16+
00:36.829,2+6-
00:37.324,2-5
00:37.490,2+5+
00:37.820,1-6-
00:38.159,25
00:38.818,5
00:39.152,2+
00:39.649,2-5
00:39.812,1+
00:40.143,1-4
00:40.308,5+
00:40.637,25-
00:40.801,1+6+
00:41.462,1-6-
00:42.121,5
00:42.285,2
00:42.451,6+
00:42.780,36-
00:42.945,5+
00:43.274,25-
00:43.604,2L5R
00:43.934,1
00:44.098,1+6+
00:44.758,2-5-
00:45.747,4
00:46.077,3
00:46.405,2U5U
00:47.066,25
00:47.396,1+6
00:48.055,1-5+
00:48.715,25-
00:49.375,1
00:49.539,4
00:49.704,1
00:50.199,4
00:50.364,2
00:50.529,5
00:50.693,3
00:50.858,6
00:51.353,2
00:51.518,5
00:51.683,3+
00:52.012,3-6
00:52.177,2+
00:52.507,2-5
00:52.836,1L
00:53.660,2+
00:53.991,2-5
00:54.154,2U
00:54.979,2+
00:55.310,2-5
00:55.473,2U
00:55.969,4
00:56.298,3
00:56.628,2
00:56.958,35
00:57.287,4
00:57.617,5
00:57.948,26+
00:58.606,16-
00:58.936,5
00:59.101,2
00:59.265,1L6R
00:59.909,6
01:00.073,3
01:00.238,6
01:00.733,3
01:00.897,5
01:01.062,2
01:01.227,4
01:01.392,1
01:01.886,5
01:02.052,2
01:02.216,4+
01:02.545,14-
01:02.721,5+
01:03.046,25-
01:03.370,2+5+
01:04.205,1-6-
01:04.529,3
01:04.705,4
01:04.871,2+
01:05.194,2-5
01:05.365,2
01:05.860,14
01:06.189,25
01:06.518,36
01:06.848,25
01:07.178,4
01:07.343,2+5+
01:08.822,1-6-
01:09.485,36
01:09.538,6
01:09.815,3+6+
01:12.123,1-6-
01:12.782,2+
01:13.111,1-5
01:13.276,1+
01:13.772,1-6
01:14.101,5+
01:14.431,26-
01:14.596,6+
01:15.091,16-
01:15.256,2+5
01:16.080,2-4
01:16.410,3
01:16.574,2+5+
01:17.399,2-5-
01:18.058,5+
01:18.388,26-
01:18.553,6+
01:19.048,16-
01:19.382,2+
01:19.723,1-5
01:19.888,1+
01:20.383,1-6
01:20.547,25+
01:21.355,5-3
01:21.685,4
01:21.850,2+5+
01:22.670,2-5-
01:22.987,1
01:23.152,1+6+
01:23.975,1-6-
01:24.306,4+
01:24.635,2+4-
01:24.965,2-5
01:25.129,1+
01:25.459,1-4
01:25.790,2+5+
01:26.284,2-5-
01:26.617,6+
01:26.945,16-
01:27.109,2+
01:27.603,2-5
01:27.933,4
01:28.262,3
01:28.592,3+6+
01:28.921,3-6+
01:29.087,6R
01:29.747,5
01:29.920,2+5+
01:30.253,2-5-
01:30.411,1L6R
01:30.915,25
01:31.245,1+6+
01:31.902,2-5-
01:32.069,4
01:32.234,3
01:32.400,2+5+
01:33.224,2-5-
01:33.878,1!
01:44.104,6
01:44.270,1+6+
01:45.093,1-6-
01:45.257,2+
01:45.588,2-5
01:45.753,6+
01:46.083,36-
01:46.248,5+
01:46.577,25-
01:46.907,4
01:47.071,1L4L
01:47.730,1L4L
01:48.389,2U5
01:49.049,1+6+
01:49.380,1-6-
01:49.709,1
01:49.874,4
01:50.039,2
01:50.187,5
01:50.352,3
01:50.682,4
01:50.846,2+
01:51.341,2-5
01:51.671,3
01:52.001,4
01:52.165,2+5+
01:53.649,1U6U
01:54.310,25
01:54.968,3R6R
01:55.627,25
01:56.287,14
01:56.960,25
01:57.292,2+5+
01:58.281,1-4-
01:58.610,5
01:58.776,2
01:58.940,4
01:59.271,3
01:59.600,25
02:00.249,4L1L
02:00.919,25
02:01.579,36
02:02.237,25
02:02.566,2+5+
02:03.557,6-3-
02:03.885,2
02:04.051,5
02:04.215,3
02:04.545,4
02:04.875,25
02:05.204,6
02:05.534,2+5+
02:06.826,1=6=
02:08.160,3=4=
02:10.145,1=6=
02:10.810,1-6-
