00:04.397,1U6U
00:05.044,25
00:05.702,16
00:06.363,25
00:06.693,1+4
00:07.352,2-6
00:07.517,3
00:07.682,5
00:07.847,2
00:08.010,4
00:08.176,3
00:08.340,25
00:08.670,34
00:08.999,16
00:09.330,34
00:09.661,25
00:10.319,3
00:10.649,4
00:10.814,2+
00:10.979,5
00:11.309,2-5
00:11.639,4
00:11.968,3
00:12.297,26+
00:12.957,1
00:13.286,16-
00:13.451,2+
00:13.617,5
00:14.276,2-5
00:14.605,1
00:14.771,4
00:14.934,2U
00:15.591,35
00:15.902,1
00:16.056,4
00:16.221,2U
00:16.880,16
00:17.210,2
00:17.375,5
00:17.540,2R5L
00:17.870,3
00:18.033,4
00:18.198,2+
00:18.529,2-5
00:18.694,2
00:18.857,1L6R
00:19.517,16
00:19.689,5
00:19.855,2
00:20.012,4
00:20.187,1+
00:20.868,1-6
00:21.199,2
00:21.364,4+
00:21.694,14-
00:21.859,4
00:22.188,36
00:22.518,2
00:22.683,5
00:22.848,1+
00:23.178,1-6+
00:23.507,26-
00:23.837,5
00:24.002,3+
00:24.332,3-6
00:24.497,3
00:24.826,25
00:25.156,4
00:25.320,1+
00:25.485,5
00:25.815,1-4
00:26.145,5+
00:26.475,25-
00:26.638,1+6+
00:27.133,1-6-
00:27.464,25
00:27.792,3
00:27.958,6+
00:28.122,2
00:28.453,6-3
00:28.782,2+
00:29.112,2-5
00:29.442,1L
00:29.607,6R
00:30.101,1L
00:30.267,6R
00:30.761,25
00:31.420,3
00:31.749,2
00:31.914,5+
00:32.079,1
00:32.409,25-
00:32.739,3
00:33.069,4
00:33.399,1+5
00:34.058,6
00:34.387,1-5
00:34.553,2+
00:34.717,4
00:35.047,2-5
00:35.377,1+6+
00:35.706,1-6-
00:35.871,2R5L
00:36.695,2+5+
00:37.025,2-5-
00:37.190,2L
00:38.014,1+6+
00:38.344,1-6-
00:38.509,2R5L
00:39.003,16+
00:39.332,2
00:39.662,1+6-
00:39.993,1-5
00:40.157,2
00:40.322,4
00:40.487,3
00:40.651,25
00:40.981,16
00:41.625,5
00:41.955,62+
00:42.431,2-5
00:42.598,1+
00:42.926,1-4
00:43.091,2
00:43.255,5
00:43.421,3
00:43.586,6+
00:43.916,2
00:44.245,16-
00:44.574,34
00:44.905,5
00:45.073,2
00:45.234,6+
00:45.564,16-
00:45.730,5
00:45.894,2
00:46.067,4
00:46.401,2L5R
00:46.732,6
00:46.899,1+6
00:47.224,5
00:47.559,2-4
00:48.217,2
00:48.300,5
00:48.382,2
00:48.548,4
00:48.877,3
00:49.223,5U2U
00:49.553,34
00:49.883,25
00:50.214,1+6
00:50.543,5
00:50.872,1-4
00:51.203,3
00:51.367,5
00:51.531,2
00:51.697,4
00:51.861,41
00:52.191,1
00:52.356,4
00:52.520,1L4R
00:53.014,4
00:53.180,2
00:53.345,5
00:53.510,2
00:53.674,6
00:53.839,36
00:54.169,5
00:54.334,4
00:54.498,3+6
00:54.828,3-6
00:54.993,2+
00:55.158,5
00:55.323,2-5
00:55.652,1L
00:55.817,4
00:56.147,4
00:56.477,2+6
00:56.807,2-4
00:56.972,2U
00:57.135,5
00:57.466,5
00:57.796,2+6
00:58.112,2-4
00:58.279,2U
00:58.445,5
00:58.777,15
00:59.108,2
00:59.436,3
00:59.765,25
01:00.094,4
01:00.424,35
01:00.756,26+
01:01.082,1
01:01.406,6-2
01:01.735,4
01:01.900,3
01:02.066,2L5R
01:02.395,36
01:02.724,6
01:02.890,3
01:03.055,63
01:03.549,5
01:03.714,25
01:03.879,3
01:04.044,4
01:04.209,2
01:04.373,1L6R
01:04.703,2
01:04.867,3
01:05.033,24+
01:05.363,14-
01:05.527,5+
01:05.692,2
01:05.857,25-
01:06.186,3+
01:06.351,5
01:07.011,1-6
01:07.340,3
01:07.506,4
01:07.670,2+5
01:07.983,2-6
01:08.148,3
01:08.313,5
01:08.642,14
01:08.972,25
01:09.300,36
01:09.631,25
01:09.965,14
01:10.126,4+
01:10.291,3
01:10.620,1
01:10.950,3
01:11.280,1
01:11.617,6-3
01:11.944,14
01:12.269,25
01:12.605,3+6
01:12.945,4
01:13.275,6
01:13.617,4
01:13.951,1-6
01:14.281,25
01:14.611,14
01:14.940,25
01:15.599,2+6
01:15.929,1-4
01:16.094,2+
01:16.260,5
01:16.589,62-
01:16.919,15+
01:17.249,36-
01:17.413,5+
01:17.578,2
01:17.908,15-
01:18.072,2+
01:18.236,6
01:18.567,5
01:18.896,2-6
01:19.226,4
01:19.390,1+
01:19.556,5U
01:19.885,4
01:20.215,1-5
01:20.380,1
01:20.544,4
01:20.710,2
01:20.874,15+
01:21.204,6-3
01:21.369,5+
01:21.534,2
01:21.864,15-
01:22.193,2+6
01:22.524,1-4
01:22.688,2+
01:22.852,5
01:23.182,2-6
01:23.347,5+
01:23.512,1
01:23.843,2
01:24.171,15-
01:24.501,3
01:24.666,6+
01:24.831,2U
01:25.161,3
01:25.490,6-2U
01:25.819,5
01:25.984,2
01:26.149,1L6R
01:26.479,4
01:26.809,25
01:27.139,16+
01:27.470,2+6-
01:27.799,2-5
01:27.963,2
01:28.127,4
01:28.293,1+
01:28.623,1-5
01:28.787,24
01:29.116,5
01:29.448,26+
01:29.777,16-
01:29.941,2+
01:30.106,5
01:30.436,2-4
01:30.766,35
01:31.096,26
01:31.425,15+
01:31.755,35-
01:31.919,4
01:32.083,25
01:32.562,6
01:32.727,2+6
01:33.057,2-4
01:33.221,3
01:33.386,25
01:33.716,34
01:34.046,16+
01:34.361,2
01:34.704,35-
01:34.852,4
01:35.029,2
01:35.183,5+
01:35.349,1
01:35.677,1
01:36.029,25-
01:36.658,1!
01:46.903,2
01:47.068,5
01:47.233,1L6R
01:47.563,3
01:47.893,25
01:48.058,1+
01:48.387,1-6
01:48.552,25+
01:48.883,35-
01:49.047,6
01:49.212,2
01:49.377,25
01:49.706,4
01:49.871,1L4L
01:50.530,1L4L
01:51.191,2U5
01:51.520,34
01:51.850,1+6+
01:52.180,1-6-
01:52.509,1
01:52.674,4
01:52.839,2
01:53.004,5
01:53.170,35
01:53.498,4
01:53.663,2+
01:53.828,5
01:54.158,2-6
01:54.488,15
01:54.833,4
01:54.998,3+
01:55.164,5+
01:56.482,1U6U
01:57.141,25
01:57.801,3R6R
01:58.461,25
01:59.119,14
01:59.764,25
02:00.092,6+3
02:00.734,15-
02:00.899,4
02:01.063,2
02:01.230,5
02:01.395,3
02:01.559,4
02:01.725,25
02:02.052,34
02:02.384,16
02:02.713,25
02:03.042,1L4L
02:03.702,25
02:04.366,36
02:05.029,25
02:05.367,1+4
02:06.026,2-6
02:06.192,3
02:06.356,5
02:06.521,2
02:06.685,4
02:06.851,3
02:07.016,25
02:07.346,34
02:07.675,16
02:08.004,34
02:08.334,2+5+
02:09.634,1=6=
02:10.967,3=4=
02:12.934,1=6=
02:13.626,1-6-
