00:02.080,34
00:02.400,16
00:02.720,34
00:02.926,5U2U
00:03.133,6
00:03.239,3
00:03.344,5
00:03.453,2
00:03.562,4
00:03.669,1
00:03.777,6+
00:03.984,2
00:04.193,1
00:04.616,1
00:04.831,26-
00:04.938,5+
00:05.046,3
00:05.260,4
00:05.475,16
00:05.689,5
00:05.795,2
00:05.903,4
00:06.116,3
00:06.331,15
00:06.542,5
00:06.762,26
00:06.974,2
00:07.189,1+4
00:07.403,5
00:07.619,6
00:08.046,6
00:08.260,1-5
00:08.371,2
00:08.480,4
00:08.721,3
00:08.825,5
00:08.936,2
00:09.139,16+
00:09.460,2+6-
00:09.792,2-5
00:09.898,2
00:09.990,6
00:10.094,3
00:10.204,5+
00:10.313,2
00:10.420,4
00:10.526,1
00:10.632,6+
00:10.846,2
00:11.062,1
00:11.491,1
00:11.710,26-
00:11.806,5
00:11.916,3
00:12.141,4
00:12.355,16
00:12.564,2
00:12.688,5
00:12.793,3
00:12.993,4
00:13.210,15
00:13.428,2
00:13.533,4
00:13.642,2
00:13.848,5
00:14.061,15
00:14.274,4
00:14.491,3
00:14.705,2
00:14.813,5
00:14.919,2
00:15.134,3
00:15.348,4
00:15.562,5+
00:15.670,2
00:15.777,5
00:15.987,16
00:16.312,34
00:16.633,16
00:16.847,2
00:16.955,4
00:17.062,3
00:17.276,4
00:17.384,3
00:17.490,5
00:17.597,2
00:17.705,5
00:17.920,25
00:18.133,3
00:18.240,6
00:18.454,2
00:18.559,5
00:18.775,1+
00:18.990,1-4
00:19.205,2
00:19.313,5
00:19.419,2
00:19.633,25
00:19.847,4
00:19.955,1
00:20.170,5
00:20.277,2
00:20.491,6+
00:20.706,36-
00:20.920,5
00:21.029,2
00:21.135,5
00:21.243,2
00:21.349,5
00:21.562,3
00:21.670,6
00:21.884,2
00:21.991,5
00:22.206,1+
00:22.421,1-4
00:22.634,2
00:22.741,5
00:22.849,2
00:23.080,25
00:23.294,4
00:23.401,3
00:23.616,6
00:23.722,1
00:23.830,5
00:23.937,2
00:24.044,4
00:24.150,3
00:24.366,2
00:24.474,5
00:24.581,2
00:24.795,25
00:25.008,4
00:25.113,1
00:25.327,5
00:25.437,2
00:25.651,6+
00:25.864,36-
00:26.078,25
00:26.294,5
00:26.401,2
00:26.508,5
00:26.723,3
00:26.829,6
00:27.045,2
00:27.152,5
00:27.367,1+
00:27.580,1-4
00:27.783,2
00:27.885,5+
00:27.993,2
00:28.208,25
00:28.421,4
00:28.528,1
00:28.743,5
00:28.849,2
00:29.064,6+
00:29.274,36-
00:29.706,2
00:29.814,4
00:29.921,3
00:30.135,25
00:30.343,4
00:30.450,3
00:30.559,5
00:30.772,2+6
00:30.977,2-5
00:31.208,1
00:31.299,4
00:31.405,1
00:31.512,4
00:31.620,1U
00:31.834,25
00:32.057,6
00:32.156,3
00:32.262,6
00:32.370,3
00:32.477,6U
00:32.691,25
00:32.908,3
00:33.013,4
00:33.120,2
00:33.333,1+6
00:33.546,1-5
00:33.657,2
00:33.765,4
00:33.980,5+3
00:34.190,25-
00:34.300,5
00:34.408,2
00:34.622,4
00:34.729,3
00:34.846,5
00:35.055,16+
00:35.279,26-
00:35.386,5
00:35.494,3
00:35.601,4
00:35.708,2
00:35.815,5+
00:35.922,1
00:36.151,25-
00:36.368,4
00:36.475,3
00:36.582,5+
00:36.689,2
00:36.796,4
00:36.903,3
00:37.009,5
00:37.116,2
00:37.224,4
00:37.332,3
00:37.439,5
00:37.544,2
00:37.652,4
00:37.760,3
00:37.867,5+
00:38.082,1
00:38.188,4
00:38.296,1
00:38.403,4
00:38.512,1U
00:38.722,25
00:38.937,6
00:39.045,3
00:39.154,6
00:39.260,3
00:39.365,6U
00:39.581,25
00:39.797,3
00:39.903,4
00:40.009,2
00:40.220,1+6
00:40.439,1-5
00:40.546,2
00:40.654,4
00:40.760,3+
00:40.974,3-5
00:41.082,2
00:41.188,5
00:41.296,2
00:41.510,4
00:41.617,3
00:41.725,5
00:41.832,2
00:41.936,6+
00:42.132,26-
00:42.240,5
00:42.350,3
00:42.458,4
00:42.565,2
00:42.672,5+
00:42.779,1
00:42.993,25-
00:43.100,4
00:43.207,3
00:43.422,16
00:43.746,25
00:44.064,2
00:44.171,5
00:44.279,1
00:44.385,4
00:44.490,2
00:44.606,5
00:44.724,3
00:44.927,2+6
00:45.353,1-4
00:45.567,5
00:45.786,36+
00:46.102,26-
00:46.208,5
00:46.422,3
00:46.636,24+
00:46.956,2+5-
00:47.061,5
00:47.279,1-6+
00:47.493,1
00:47.707,25-
00:47.815,4
00:47.922,3
00:48.137,5
00:48.349,2+6
00:48.779,1-4
00:48.994,5
00:49.204,36+
00:49.534,26-
00:49.649,5
00:49.866,3
00:50.082,25+
00:50.401,1+6-
00:50.510,6
00:50.707,2-5
00:50.812,2
00:50.920,4
00:51.154,3
00:51.259,5
00:51.369,2
00:51.583,6
00:51.783,16+
00:52.209,35-
00:52.424,2
00:52.637,1+6
00:52.958,1-5
00:53.067,2
00:53.280,4
00:53.494,3+5
00:53.817,2-5+
00:53.923,2
00:54.137,1+6-
00:54.352,6
00:54.566,2-5
00:54.674,3
00:54.781,4
00:54.886,2
00:54.994,5
00:55.102,1
00:55.209,6
00:55.422,2
00:55.529,5+
00:55.644,3
00:55.849,4
00:56.067,25
00:56.276,6
00:56.383,3
00:56.596,5
00:56.693,2
00:56.908,14
00:57.134,5
00:57.227,2
00:57.336,4
00:57.550,3
00:57.765,25
00:57.979,1
00:58.086,4
00:58.304,2
00:58.414,5
00:58.621,36
00:58.836,2
00:58.944,5
00:59.054,3
00:59.265,4
00:59.478,16
00:59.696,2
00:59.801,5
01:00.020,2
01:00.121,5
01:00.335,3
01:00.657,3+
01:00.986,3-5+
01:01.205,15-
01:01.316,6
01:01.424,3
01:01.531,4
01:01.638,1
01:01.743,6
01:01.841,3
01:01.959,4
01:02.066,2
01:02.281,3
01:02.496,4
01:02.707,5
01:02.924,6+
01:03.138,16-
01:03.246,5+
01:03.566,25-
01:03.674,4
01:03.782,3
01:03.994,16
01:04.316,25
01:04.639,1U6U
01:04.849,2
01:04.953,5
01:05.059,1
01:05.168,4
01:05.280,2
01:05.388,5
01:05.493,3+
01:05.711,3-6
01:05.818,2+
01:06.032,2-5
01:06.137,1+
01:06.351,1-4
01:06.565,36+
01:06.780,2+6-
01:06.996,2-5
01:07.213,4+
01:07.429,14-
01:07.533,5+
01:07.741,25-
01:07.857,6+
01:08.065,1
01:08.281,26-
01:08.495,35
01:08.710,4
01:08.817,1
01:08.924,4
01:09.138,2
01:09.245,5
01:09.458,3
01:09.564,6+
01:09.778,3
01:09.994,25-
01:10.210,1+6
01:10.426,1-5
01:10.531,2
01:10.636,4
01:10.853,16
01:11.173,34
01:11.493,1
01:11.601,5
01:11.708,2
01:11.817,4
01:11.923,3
01:12.031,5
01:12.137,2
01:12.353,4+
01:12.581,14-
01:12.688,5+
01:12.900,25-
01:12.999,6+
01:13.211,36-
01:13.425,1+4
01:13.635,1-5+
01:13.851,25-
01:14.071,3+
01:14.287,3-6
01:14.389,2+
01:14.603,2-5
01:14.710,1+
01:14.921,6
01:15.134,1-5
01:15.354,24
01:15.584,3
01:15.691,6
01:15.798,3
01:16.013,5
01:16.119,2
01:16.226,5
01:16.439,1+6
01:16.656,5
01:16.865,2-4
01:17.068,3
01:17.282,25
01:17.497,1L6R
01:17.707,5
01:17.924,2+4
01:18.139,2-5+
01:18.353,16+
01:18.567,26-
01:18.674,5
01:18.781,3
01:18.888,4
01:18.993,2
01:19.103,5
01:19.212,1L
01:19.426,5
01:19.636,26R
01:19.853,2
01:20.068,1L5
01:20.282,5
01:20.390,2
01:20.497,4
01:20.604,3
01:20.712,5
01:20.925,26R
01:21.139,2
01:21.353,1L5
01:21.569,5
01:21.783,26R
01:21.990,2
01:22.104,5
01:22.209,3
01:22.306,4
01:22.426,2
01:22.634,2U5
01:22.838,5
01:23.069,25U
01:23.267,2
01:23.481,52U
01:23.696,5
01:23.803,1
01:23.910,4
01:24.016,2
01:24.124,5
01:24.232,3
01:24.341,6
01:24.551,25
01:24.766,1L4L
01:25.212,14
01:25.432,25
01:25.642,6R3R
01:26.069,51L
01:26.283,5
01:26.499,26R
01:26.719,2
01:26.928,1L5
01:27.150,6
01:27.251,2
01:27.362,5
01:27.476,3
01:27.582,4
01:27.800,2L
01:28.013,5R
01:28.227,2L
