00:01.190,12
00:01.619,12
00:02.049,2
00:02.263,1
00:02.692,2+
00:03.121,12-
00:03.335,2
00:03.549,1+
00:04.194,1-2
00:04.623,12
00:05.052,12
00:05.480,1
00:05.696,2
00:06.125,1+
00:06.554,1-2
00:06.768,1
00:06.982,2+
00:07.607,12-
00:08.036,12
00:08.465,12
00:08.895,2
00:09.108,1
00:09.537,2+
00:09.966,12-
00:10.181,2
00:10.395,1+
00:11.038,1-2
00:11.466,2
00:11.681,1
00:11.895,2
00:12.110,1
00:12.536,12
00:12.947,1+
00:13.379,1-2
00:13.593,1
00:13.807,2
00:14.021,1U
00:15.091,2
00:15.305,1
00:15.522,2
00:15.734,1+
00:16.055,1-2
00:16.814,2
00:17.028,1
00:17.251,2
00:17.465,1+
00:17.787,1-2
00:18.537,1
00:18.752,2
00:18.965,1
00:19.073,2+
00:19.394,12-
00:19.608,2
00:19.822,1
00:20.036,2+
00:20.359,1+2-
00:20.680,1-2
00:20.895,1
00:21.966,1
00:22.180,2
00:22.395,1
00:22.610,2+
00:22.931,12-
00:23.680,1
00:23.895,2
00:24.109,1
00:24.323,2+
00:24.645,12-
00:25.181,1+
00:25.610,1-2+
00:26.038,1+2-
00:26.467,1-2
00:26.681,1+2+
00:28.180,1-2-
00:28.836,2
00:29.055,1
00:29.269,2
00:29.483,1+
00:29.804,1-2
00:30.554,2
00:30.769,1
00:30.983,2
00:31.198,1+
00:31.519,1-2
00:32.269,1
00:32.483,2
00:32.697,1
00:32.803,2+
00:33.125,12-
00:33.340,2
00:33.554,1
00:33.768,2+
00:34.088,1+2-
00:34.410,1-2
00:34.623,1
00:35.696,1
00:35.910,2
00:36.126,1
00:36.339,2+
00:36.661,12-
00:37.394,1
00:37.608,2
00:37.822,1
00:38.037,2+
00:38.358,12-
00:38.894,1+
00:39.309,1-2+
00:39.742,1+2-
00:40.163,1-2
00:40.377,1+2+
00:41.895,1-2-
00:42.323,2
00:42.538,1
00:42.752,2
00:42.973,1+
00:43.410,1-2
00:43.612,1
00:43.831,2+
00:44.267,12-
00:44.481,2
00:44.695,1+2+
00:45.338,1-2-
00:45.767,1
00:45.982,2
00:46.196,1
00:46.410,2+
00:46.839,12-
00:47.053,2
00:47.268,1+
00:47.693,1-2
00:47.905,1
00:48.120,1+2+
00:48.763,1-2-
00:48.977,2
00:49.084,1
00:49.191,2+
00:49.514,1+2-
00:49.835,1-2
00:50.050,1+
00:50.371,1-2+
00:50.694,12-
00:50.908,1+2+
00:51.338,1-2-
00:51.767,2
00:52.196,1
00:52.625,1+2+
00:53.482,1-2-
00:53.697,1
00:53.912,2
00:54.126,1
00:54.338,12
00:54.555,12
00:54.982,12
00:55.197,12
00:55.625,12
00:55.839,12
00:56.482,1U2U
00:56.911,12
00:57.340,12
00:57.768,2+
00:58.196,12-
00:58.411,1+
00:58.840,1-2
00:59.268,2+
00:59.697,12-
00:59.912,2
01:00.125,1+2+
01:00.763,1-2-
01:00.979,1
01:01.085,2
01:01.193,1+
01:01.621,1-2
01:01.836,1
01:02.051,2
01:02.265,1
01:02.695,1+
01:03.102,1-2
01:03.315,1
01:03.530,1+2+
01:04.162,1-2-
01:04.389,1
01:04.494,2
01:04.604,1+
01:05.027,1-2
01:05.243,2+
01:05.660,12-
01:06.089,1+
01:06.518,1-2
01:06.732,1
01:06.947,2+
01:07.594,12-
01:08.037,1+
01:08.466,1-2
01:08.679,1
01:09.115,1+2+
01:09.554,1U2-
01:10.626,12
01:11.053,12
01:11.482,2+
01:11.911,12-
01:12.125,1+
01:12.547,1-2
01:12.977,2+
01:13.405,12-
01:13.620,2
01:13.834,1+2+
01:14.479,1-2-
01:14.693,1
01:14.801,2
01:14.908,1+
01:15.337,1-2
01:15.548,2+
01:15.976,12-
01:16.405,1+
01:16.834,1-2
01:17.048,1
01:17.263,1+2+
01:17.907,1-2-
01:18.336,1+
01:18.765,1-2
01:18.980,2+
01:19.623,12-
01:19.838,2
01:19.946,1
01:20.052,2+
01:20.481,12-
01:20.696,1+
01:21.339,1-2
01:21.768,1
01:21.982,2
01:22.197,1
01:22.407,2
01:22.837,1
01:23.051,2
01:23.266,1U
01:23.909,2+
01:24.316,1+2-
01:24.746,1-2
01:25.191,1+2
01:25.406,2
01:25.620,2
01:25.835,2
01:26.265,2
01:26.479,2
01:26.694,2
01:27.123,2
01:27.337,2
01:27.551,2
01:27.766,1-2
01:28.196,2
01:28.625,1+
01:29.054,1-2
01:29.269,1
01:30.111,1
01:30.325,2+
01:30.738,12-
01:30.957,2
01:31.810,2
01:32.027,1+
01:32.450,1-2
01:32.666,2+
01:33.092,12-
01:33.307,12U
01:33.739,1U2
01:35.241,1
01:35.350,2
01:35.457,1+
01:35.791,1-2+
01:36.110,12-
01:36.327,2+
01:36.647,1+2-
01:36.969,1-2
01:37.183,1+
01:37.611,1-2
01:38.040,1
01:38.469,2
01:38.897,1+2+
01:39.756,1-2-
01:39.970,1
01:40.183,2
01:40.399,1
01:40.613,12
01:40.827,12
01:41.256,12
01:41.470,12
01:41.899,12
01:42.113,12
01:42.757,1U2U
01:43.186,12
01:43.614,12
01:44.041,2+
01:44.470,12-
01:44.685,1+
01:45.113,1-2
01:45.542,2+
01:45.970,12-
01:46.185,2
01:46.399,1+2+
01:47.042,1-2-
01:47.257,1
01:47.364,2
01:47.470,1+
01:47.899,1-2
01:48.114,1
01:48.328,2
01:48.543,1
01:48.971,1+
01:49.400,1-2
01:49.614,1
01:49.829,1+2+
01:50.471,1-2-
01:50.686,1
01:50.793,2
01:50.900,1+
01:51.327,1-2
01:51.542,2+
01:51.970,12-
01:52.400,1+
01:52.828,1-2
01:53.042,1
01:53.257,2+
01:53.898,12-
01:54.326,1+
01:54.754,1-2
01:54.969,1
01:55.398,1+2+
01:55.827,1U2U
01:56.897,12
01:57.324,12
01:57.748,1!
02:04.617,1+
02:05.044,1-2
02:05.259,2+
02:05.902,12-
02:06.117,2
02:06.223,1
02:06.330,2+
02:06.758,12-
02:06.973,1+
02:07.614,1-2
02:08.044,1
02:08.257,2
02:08.473,1
02:08.685,2
02:09.115,1
02:09.330,2
02:09.544,1U
02:10.187,2+
02:10.616,1+2-
02:11.046,1-2
02:11.451,1+2
02:11.665,2
02:11.880,2
02:12.096,2
02:12.523,2
02:12.953,2
02:13.381,2
02:13.597,2
02:13.811,2
02:14.027,1U2
