00:02.866,1L2R
00:03.204,2
00:03.369,1
00:03.875,2
00:04.221,1R2L
00:04.549,1
00:04.731,2
00:05.283,1
00:05.592,1U2U
00:06.267,1
00:06.605,2
00:07.279,2
00:07.615,1
00:07.952,2
00:08.289,1+2+
00:09.302,1-2-
00:09.470,2
00:09.637,1R
00:12.334,12
00:13.009,2+
00:13.360,12-
00:13.515,2+
00:14.021,12-
00:14.359,2
00:14.696,1
00:15.034,1+
00:15.375,1-2
00:15.539,1+2+
00:16.384,1-2-
00:17.051,1
00:17.376,2
00:17.713,1
00:18.051,2
00:18.220,1+
00:18.726,1-2
00:19.063,1
00:19.739,1
00:19.908,2
00:20.077,1
00:20.414,12
00:20.752,1
00:20.933,2+
00:21.409,12-
00:21.748,1+
00:22.421,1-2
00:22.578,1+
00:23.085,1-2
00:23.760,2+
00:24.097,12-
00:24.265,2+
00:24.772,12-
00:25.109,2
00:25.446,1
00:25.783,2+
00:26.116,12-
00:26.284,1+2+
00:27.144,1-2-
00:27.819,2
00:27.987,1
00:28.148,2
00:28.306,1
00:28.469,2
00:28.806,1
00:28.975,2+
00:29.482,12-
00:29.824,2
00:30.511,1
00:30.849,2+
00:31.185,12-
00:31.873,2
00:32.212,12+
00:32.553,12-
00:33.565,2
00:33.734,1
00:33.902,2+
00:34.240,12-
00:34.409,1+
00:34.915,1-2
00:35.252,1
00:36.265,1
00:36.434,2
00:36.603,1+
00:36.940,1-2
00:37.109,2+
00:37.615,12-
00:37.952,2
00:38.628,1
00:38.965,2
00:39.303,1+
00:39.640,1-2+
00:39.978,1+2-
00:40.316,1-2
00:40.485,1+
00:40.991,1-2
00:41.329,1
00:41.665,2
00:42.001,1
00:42.674,12+
00:43.350,1+2-
00:44.024,1U2U
00:44.362,2
00:44.531,1
00:44.699,2+
00:45.037,12-
00:45.205,1+
00:45.712,1-2
00:46.048,1
00:47.059,1
00:47.227,2
00:47.396,1+
00:47.733,1-2
00:47.902,2+
00:48.408,12-
00:48.743,2
00:49.403,1
00:49.739,12
00:50.414,12
00:50.751,1
00:51.087,12+
00:51.745,12-
00:52.082,2
00:52.419,1+2
00:53.094,1-2
00:53.431,2+
00:54.104,12-
00:54.443,2
00:54.779,1
00:55.116,1+2+
00:55.790,1-2-
00:55.960,1+
00:57.837,1-2
00:58.008,1
00:58.179,2+
00:58.855,1+2-
00:59.531,1U2U
00:59.867,1
01:00.191,1U2U
01:00.527,1
01:00.864,2+
01:01.184,12-
01:01.352,2+
01:01.858,12-
01:02.197,1+
01:02.533,1-2
01:02.702,1+
01:03.209,1-2
01:03.377,1
01:03.546,2+
01:03.900,12-
01:04.069,1+
01:04.407,1-2+
01:04.913,12-
01:05.587,2
01:05.755,1
01:05.924,2
01:06.262,2+
01:06.599,12-
01:06.767,2+
01:07.105,12-
01:07.273,2
01:07.611,1+
01:07.949,1-2
01:08.117,1
01:08.625,1+
01:08.962,1-2+
01:09.299,1+2-
01:09.636,1-2+
01:09.974,1+2-
01:10.312,1-2+
01:10.650,12-
01:10.985,2
01:11.154,1R
01:11.659,2+
01:11.997,12-
01:12.164,2+
01:12.666,12-
01:13.003,1+
01:13.343,1-2
01:13.493,1+
01:13.999,1-2
01:14.338,2+
01:14.674,12-
01:14.843,1+
01:15.349,1-2
01:15.518,1+2+
01:16.025,1-2-
01:16.362,12
01:16.700,1U2U
01:17.375,1+
01:17.713,1-2+
01:18.033,12-
01:18.203,2+
01:18.708,1+2-
01:19.046,1-2+
01:19.383,12-
01:19.720,2+
01:20.057,1+2-
01:20.226,1+
01:20.732,1-2
01:20.899,1+2+
01:21.741,1-2-
01:22.407,1!
01:27.829,2R
01:28.165,1
01:28.503,2+
01:29.177,1+2-
01:29.669,1-2
01:29.838,1
01:30.007,2
01:30.175,1
01:30.344,2
01:30.513,1L
01:30.681,2
01:30.850,1
01:31.188,1+2
01:31.863,1-2+
01:32.369,12-
01:32.537,2
01:32.707,1
01:32.874,2
01:33.044,1
01:33.213,2
01:33.549,1
01:33.719,2+
01:34.225,12-
01:34.394,1+
01:34.900,1-2
01:35.069,2+
01:35.575,12-
01:35.916,12
01:36.604,1+2+
01:37.281,1U2U
01:37.933,1
01:38.101,2
01:38.269,1
01:38.438,2
01:38.607,1+
01:38.946,1-2
01:39.282,2+
01:39.950,1+2-
01:40.443,1-2+
01:40.777,12-
01:40.946,1+2+
01:41.298,1-2-
01:41.621,2
01:41.958,12+
01:42.633,12-
01:42.971,1+
01:43.308,1-2+
01:43.645,12-
01:44.321,1+2
01:44.657,1-2+
01:44.994,12-
01:45.332,12+
01:45.669,1+2-
01:46.006,1-2+
01:46.343,12-
01:46.683,1U2U
01:47.020,2
01:47.188,1
01:47.695,2
01:48.032,1
01:48.370,1
01:48.712,2
01:49.045,2
01:49.390,1+
01:49.737,1-2
01:49.905,1+2+
01:53.450,1-2-
01:54.123,1
01:54.287,2
01:54.456,1
01:54.794,2R1L
01:55.469,1
01:55.806,12
01:56.481,2
01:56.819,12
01:57.494,2
01:58.169,2
01:58.845,1
01:59.517,1
02:00.207,1+2+
02:02.815,2-1L
